HNK Gorica,Inter Zaprešić,2019-07-20,1,1,2,y,1,0,0,1,1,0,1,1,0,1,0,2,2,6,3,3,6,9,1. HNL - Croatia,3029812
Osijek,Slaven Koprivnica,2019-07-19,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,4,5,5,5,5,5,10,1. HNL - Croatia,3029813
Dinamo Zagreb,Lokomotiva Zagreb,2019-07-19,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,4,5,2,5,5,2,7,1. HNL - Croatia,3029814
Rijeka,Varaždin,2019-07-20,2,1,3,y,1,1,1,1,2,1,0,0,1,1,0,4,4,4,0,0,4,4,1. HNL - Croatia,3029815
Hajduk Split,Istra 1961,2019-07-21,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,11,3,3,11,14,1. HNL - Croatia,3029816
Inter Zaprešić,Istra 1961,2019-07-26,0,2,2,n,0,0,0,0,0,0,2,2,0,2,4,4,8,4,2,2,4,6,1. HNL - Croatia,3029817
Varaždin,Hajduk Split,2019-07-28,0,3,3,n,0,0,0,0,0,0,3,3,0,3,2,2,4,3,5,5,3,8,1. HNL - Croatia,3029818
Lokomotiva Zagreb,Rijeka,2019-07-27,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,2,5,6,2,2,6,8,1. HNL - Croatia,3029819
Slaven Koprivnica,Dinamo Zagreb,2019-07-27,0,3,3,n,0,2,2,0,2,0,1,1,0,1,4,2,6,2,2,2,2,4,1. HNL - Croatia,3029820
HNK Gorica,Osijek,2019-07-28,3,1,4,y,1,0,0,1,1,2,1,1,2,3,6,5,11,4,7,7,4,11,1. HNL - Croatia,3029821
Osijek,Inter Zaprešić,2019-08-04,3,1,4,y,0,1,1,0,1,3,0,0,3,3,1,3,4,7,3,3,7,10,1. HNL - Croatia,3029822
Dinamo Zagreb,HNK Gorica,2019-08-02,3,1,4,y,1,0,0,1,1,2,1,1,2,3,1,5,6,10,3,3,10,13,1. HNL - Croatia,3029823
Rijeka,Slaven Koprivnica,2019-08-03,3,1,4,y,2,0,0,2,2,1,1,1,1,2,2,3,5,-1,-1,-1,-1,-1,1. HNL - Croatia,3029824
Hajduk Split,Lokomotiva Zagreb,2019-08-04,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,0,2,5,3,3,5,8,1. HNL - Croatia,3029825
Istra 1961,Varaždin,2019-08-03,3,1,4,y,1,0,0,1,1,2,1,1,2,3,3,4,7,-1,-1,-1,-1,-1,1. HNL - Croatia,3029826
Inter Zaprešić,Varaždin,2019-08-10,2,2,4,y,2,1,1,2,3,0,1,1,0,1,2,6,8,7,3,3,7,10,1. HNL - Croatia,3029827
Lokomotiva Zagreb,Istra 1961,2019-08-10,4,1,5,y,2,0,0,2,2,2,1,1,2,3,1,1,2,5,5,5,5,10,1. HNL - Croatia,3029828
Slaven Koprivnica,Hajduk Split,2019-08-11,2,1,3,y,1,0,0,1,1,1,1,1,1,2,7,6,13,3,6,6,3,9,1. HNL - Croatia,3029829
HNK Gorica,Rijeka,2019-08-11,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,3,5,5,6,6,5,11,1. HNL - Croatia,3029830
Osijek,Dinamo Zagreb,2019-08-09,0,0,0,n,0,0,0,0,0,0,0,0,0,0,5,1,6,-1,-1,-1,-1,-1,1. HNL - Croatia,3029831
Dinamo Zagreb,Inter Zaprešić,2019-11-02,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,1,1,13,3,3,13,16,1. HNL - Croatia,3029832
Rijeka,Osijek,2019-08-18,1,1,2,y,1,0,0,1,1,0,1,1,0,1,4,2,6,6,6,6,6,12,1. HNL - Croatia,3029833
Hajduk Split,HNK Gorica,2019-08-18,3,0,3,n,1,0,0,1,1,2,0,0,2,2,5,6,11,4,4,4,4,8,1. HNL - Croatia,3029834
Istra 1961,Slaven Koprivnica,2019-08-17,2,3,5,y,2,2,2,2,4,0,1,1,0,1,4,3,7,7,4,4,7,11,1. HNL - Croatia,3029835
Varaždin,Lokomotiva Zagreb,2019-08-17,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,2,3,9,8,8,9,17,1. HNL - Croatia,3029836
Inter Zaprešić,Lokomotiva Zagreb,2019-08-25,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,3,5,1,2,2,1,3,1. HNL - Croatia,3029837
Slaven Koprivnica,Varaždin,2019-08-24,1,1,2,y,0,0,0,0,0,1,1,1,1,2,4,5,9,6,6,6,6,12,1. HNL - Croatia,3029838
HNK Gorica,Istra 1961,2019-08-25,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,1,3,3,4,4,3,7,1. HNL - Croatia,3029839
Osijek,Hajduk Split,2019-08-25,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,3,7,6,8,8,6,14,1. HNL - Croatia,3029840
Dinamo Zagreb,Rijeka,2019-12-18,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,1,3,6,3,3,6,9,1. HNL - Croatia,3029841
Rijeka,Inter Zaprešić,2019-09-01,1,1,2,y,1,1,1,1,2,0,0,0,0,0,3,8,11,0,3,3,0,3,1. HNL - Croatia,3029842
Hajduk Split,Dinamo Zagreb,2019-08-31,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,6,10,4,3,3,4,7,1. HNL - Croatia,3029843
Istra 1961,Osijek,2019-08-31,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,8,6,6,8,14,1. HNL - Croatia,3029844
Varaždin,HNK Gorica,2019-09-01,1,3,4,y,1,1,1,1,2,0,2,2,0,2,2,3,5,5,4,4,5,9,1. HNL - Croatia,3029845
Lokomotiva Zagreb,Slaven Koprivnica,2019-08-30,6,1,7,y,2,0,0,2,2,4,1,1,4,5,4,2,6,3,4,4,3,7,1. HNL - Croatia,3029846
Inter Zaprešić,Slaven Koprivnica,2019-09-14,3,1,4,y,0,0,0,0,0,3,1,1,3,4,4,2,6,7,5,5,7,12,1. HNL - Croatia,3029847
HNK Gorica,Lokomotiva Zagreb,2019-09-14,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,8,2,2,8,10,1. HNL - Croatia,3029848
Osijek,Varaždin,2019-09-15,2,2,4,y,2,0,0,2,2,0,2,2,0,2,2,1,3,3,4,4,3,7,1. HNL - Croatia,3029849
Dinamo Zagreb,Istra 1961,2019-09-13,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,10,3,3,10,13,1. HNL - Croatia,3029850
Rijeka,Hajduk Split,2019-09-15,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,4,5,5,4,4,5,9,1. HNL - Croatia,3029851
Hajduk Split,Inter Zaprešić,2019-09-22,3,1,4,y,1,0,0,1,1,2,1,1,2,3,2,2,4,12,1,1,12,13,1. HNL - Croatia,3029852
Istra 1961,Rijeka,2019-09-22,0,3,3,n,0,2,2,0,2,0,1,1,0,1,2,2,4,1,10,10,1,11,1. HNL - Croatia,3029853
Varaždin,Dinamo Zagreb,2019-09-21,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,5,9,3,9,9,3,12,1. HNL - Croatia,3029854
Lokomotiva Zagreb,Osijek,2019-09-20,2,1,3,y,1,1,1,1,2,1,0,0,1,1,6,2,8,5,5,5,5,10,1. HNL - Croatia,3029855
Slaven Koprivnica,HNK Gorica,2019-09-21,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,5,7,2,8,8,2,10,1. HNL - Croatia,3029856
Inter Zaprešić,HNK Gorica,2019-09-29,0,2,2,n,0,1,1,0,1,0,1,1,0,1,4,4,8,8,5,5,8,13,1. HNL - Croatia,3029857
Slaven Koprivnica,Osijek,2019-09-28,0,4,4,n,0,3,3,0,3,0,1,1,0,1,2,2,4,3,3,3,3,6,1. HNL - Croatia,3029858
Lokomotiva Zagreb,Dinamo Zagreb,2019-09-27,0,4,4,n,0,1,1,0,1,0,3,3,0,3,1,0,1,2,7,7,2,9,1. HNL - Croatia,3029859
Varaždin,Rijeka,2019-09-28,0,2,2,n,0,2,2,0,2,0,0,0,0,0,3,3,6,3,12,12,3,15,1. HNL - Croatia,3029860
Istra 1961,Hajduk Split,2019-09-29,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,4,8,2,6,6,2,8,1. HNL - Croatia,3029861
Istra 1961,Inter Zaprešić,2019-10-04,2,2,4,y,0,1,1,0,1,2,1,1,2,3,2,0,2,3,2,2,3,5,1. HNL - Croatia,3029862
Hajduk Split,Varaždin,2019-10-05,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,5,6,10,3,3,10,13,1. HNL - Croatia,3029863
Rijeka,Lokomotiva Zagreb,2019-10-06,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,5,7,7,3,3,7,10,1. HNL - Croatia,3029864
Dinamo Zagreb,Slaven Koprivnica,2019-10-05,1,0,1,n,1,0,0,1,1,0,0,0,0,0,0,2,2,6,1,1,6,7,1. HNL - Croatia,3029865
Osijek,HNK Gorica,2019-10-05,2,1,3,y,0,0,0,0,0,2,1,1,2,3,7,6,13,5,5,5,5,10,1. HNL - Croatia,3029866
Inter Zaprešić,Osijek,2019-10-20,3,3,6,y,2,1,1,2,3,1,2,2,1,3,3,3,6,1,5,5,1,6,1. HNL - Croatia,3029867
HNK Gorica,Dinamo Zagreb,2019-10-18,2,4,6,y,0,2,2,0,2,2,2,2,2,4,2,3,5,4,4,4,4,8,1. HNL - Croatia,3029868
