8 March 2020,Chelsea vs Everton,Over 1.5 Goals,Premier League
28 March 2020,Leyton Orient vs Morecambe,Over 1.5 Goals,League Two
21 March 2020,Hearts vs Ross County,Over 1.5 Goals,Scotland Premier
8 March 2020,Bologna vs Juventus,Over 1.5 Goals,Serie A
13 March 2020,Juventus vs Lecce,Over 1.5 Goals,Serie A
11 March 2020,Borussia M'gladbach vs Köln,Over 1.5 Goals,Bundesliga
6 March 2020,Paderborn vs Köln,Over 1.5 Goals,Bundesliga
15 March 2020,Augsburg vs Wolfsburg,Over 1.5 Goals,Bundesliga
13 March 2020,Greuther Fürth vs Hamburger SV,Over 1.5 Goals,2. Bundesliga
6 March 2020,Excelsior vs MVV,Over 1.5 Goals,Eerste Divisie
13 March 2020,De Graafschap vs Helmond Sport,Over 1.5 Goals,Eerste Divisie
16 March 2020,Ajax II vs Excelsior,Over 1.5 Goals,Eerste Divisie
20 March 2020,AZ II vs PSV II,Over 1.5 Goals,Eerste Divisie
22 March 2020,Utrecht II vs MVV,Over 1.5 Goals,Eerste Divisie
8 March 2020,Salzburg vs Sturm Graz,Over 1.5 Goals,Austria
7 March 2020,Wolfsberger AC vs Rapid Wien,Over 1.5 Goals,Austria
7 March 2020,Hartberg vs Swarovski Tirol,Over 1.5 Goals,Austria
15 March 2020,Austria Klagenfurt vs Kapfenberger SV,Over 1.5 Goals,Austria 2
14 March 2020,Dornbirn vs Amstetten,Over 1.5 Goals,Austria 2
20 March 2020,Blau-Weiß Linz vs Austria Klagenfurt,Over 1.5 Goals,Austria 2
7 March 2020,Fatih Karagümrük vs Adana Demirspor,Over 1.5 Goals,Turkey 2
9 March 2020,Necaxa vs Morelia,Over 1.5 Goals,Liga MX
9 March 2020,Juárez vs León,Over 1.5 Goals,Liga MX
15 March 2020,León vs Pumas UNAM,Over 1.5 Goals,Liga MX
10 March 2020,Al Mokawloon vs El Geish,Over 1.5 Goals,Egypt
