Hvidovre,Viborg,2019-08-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,5,3,8,1,2,2,1,3,1st Division - Denmark,3034138
Vejle,Nykøbing,2019-08-04,2,4,6,y,0,3,3,0,3,2,1,1,2,3,1,2,3,9,1,1,9,10,1st Division - Denmark,3034143
Fredericia,Næstved,2019-08-11,3,1,4,y,1,1,1,1,2,2,0,0,2,2,3,3,6,5,5,5,5,10,1st Division - Denmark,3034145
Kolding IF,Roskilde,2019-08-11,4,3,7,y,3,3,3,3,6,1,0,0,1,1,1,3,4,-1,-1,-1,-1,-1,1st Division - Denmark,3034149
Roskilde,Vendsyssel,2019-08-18,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,4,7,4,2,2,4,6,1st Division - Denmark,3034152
Roskilde,HB Køge,2019-08-21,2,3,5,y,1,1,1,1,2,1,2,2,1,3,1,1,2,1,6,6,1,7,1st Division - Denmark,3034160
Fredericia,Kolding IF,2019-08-25,4,3,7,y,4,2,2,4,6,0,1,1,0,1,3,3,6,2,4,4,2,6,1st Division - Denmark,3034162
Hvidovre,Roskilde,2019-08-25,3,2,5,y,0,0,0,0,0,3,2,2,3,5,1,4,5,8,3,3,8,11,1st Division - Denmark,3034163
Viborg,Nykøbing,2019-08-25,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,1,2,8,7,7,8,15,1st Division - Denmark,3034164
Roskilde,Fredericia,2019-09-01,1,2,3,y,1,1,1,1,2,0,1,1,0,1,4,2,6,2,8,8,2,10,1st Division - Denmark,3034170
Vendsyssel,Hvidovre,2019-09-01,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,3,4,4,3,3,4,7,1st Division - Denmark,3034171
Fredericia,Nykøbing,2019-09-08,2,2,4,y,0,1,1,0,1,2,1,1,2,3,2,2,4,8,4,4,8,12,1st Division - Denmark,3034174
HB Køge,Næstved,2019-09-15,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,1,2,2,11,11,2,13,1st Division - Denmark,3034181
Roskilde,Nykøbing,2019-09-15,3,1,4,y,2,0,0,2,2,1,1,1,1,2,2,6,8,1,6,6,1,7,1st Division - Denmark,3034182
Skive,Fredericia,2019-09-13,2,2,4,y,1,2,2,1,3,1,0,0,1,1,2,1,3,8,8,8,8,16,1st Division - Denmark,3034184
Kolding IF,Skive,2019-09-22,4,2,6,y,2,0,0,2,2,2,2,2,2,4,1,3,4,9,6,6,9,15,1st Division - Denmark,3034191
Skive,Nykøbing,2019-09-28,3,3,6,y,2,1,1,2,3,1,2,2,1,3,0,1,1,3,6,6,3,9,1st Division - Denmark,3034197
HB Køge,Skive,2019-10-06,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,3,5,-1,-1,-1,-1,-1,1st Division - Denmark,3034199
Roskilde,Viborg,2019-10-06,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,1st Division - Denmark,3034202
Fredericia,Roskilde,2019-11-06,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,0,0,2,4,4,2,6,1st Division - Denmark,3034205
Nykøbing,Viborg,2019-10-27,1,2,3,y,0,2,2,0,2,1,0,0,1,1,0,2,2,-1,-1,-1,-1,-1,1st Division - Denmark,3034219
Kolding IF,Vendsyssel,2019-10-25,1,2,3,y,1,0,0,1,1,0,2,2,0,2,3,3,6,4,6,6,4,10,1st Division - Denmark,3034221
Hvidovre,Kolding IF,2019-11-01,1,2,3,y,0,2,2,0,2,1,0,0,1,1,0,2,2,3,1,1,3,4,1st Division - Denmark,3034222
