Arsenal,Southampton,Arsenal Asian Card Handicap,23 November 2019,Premier League
Arsenal,Southampton,Arsenal Corner Match Bet,23 November 2019,Premier League
Brighton & Hove Albion,Leicester City,Under 5 matchCards,23 November 2019,Premier League
Manchester City,Chelsea,Manchester City Corner Match Bet,23 November 2019,Premier League
Liverpool,Brighton & Hove Albion,Liverpool Corner Match Bet,30 November 2019,Premier League
Newcastle United,Manchester City,Under 5 matchCards,30 November 2019,Premier League
Southampton,Watford,Watford Asian Card Handicap,30 November 2019,Premier League
Juventus,Milan,Milan Asian Card Handicap,10 November 2019,Serie A
Juventus,Milan,Over 3 matchCards,10 November 2019,Serie A
Juventus,Milan,Milan Over 1.5 Cards,10 November 2019,Serie A
Atalanta,Juventus,Over 3 matchCards,23 November 2019,Serie A
Bologna,Parma,Over 3 matchCards,24 November 2019,Serie A
Lecce,Cagliari,Lecce Over 1.5 Cards,24 November 2019,Serie A
Sampdoria,Udinese,Sampdoria Over 1.5 Cards,24 November 2019,Serie A
Sassuolo,Lazio,Over 3 matchCards,24 November 2019,Serie A
Sassuolo,Lazio,Over 8 matchCorners,24 November 2019,Serie A
Torino,Internazionale,Over 3 matchCards,23 November 2019,Serie A
Fiorentina,Lecce,Lecce Over 1.5 Cards,30 November 2019,Serie A
Fiorentina,Lecce,Fiorentina Corner Match Bet,30 November 2019,Serie A
Real Betis,Sevilla,Over 3 matchCards,10 November 2019,La Liga
Real Betis,Sevilla,Real Betis Over 1.5 Cards,10 November 2019,La Liga
Real Betis,Valencia,Real Betis Over 1.5 Cards,23 November 2019,La Liga
Eibar,Deportivo Alavés,Under 12 matchCorners,24 November 2019,La Liga
Espanyol,Getafe,Getafe Asian Card Handicap,24 November 2019,La Liga
Espanyol,Getafe,Getafe Over 1.5 Cards,24 November 2019,La Liga
Espanyol,Getafe,Under 12 matchCorners,24 November 2019,La Liga
Deportivo Alavés,Real Madrid,Deportivo Alavés Over 1.5 Cards,30 November 2019,La Liga
Deportivo Alavés,Real Madrid,Real Madrid Corner Match Bet,30 November 2019,La Liga
Celta Vigo,Real Valladolid,Under 12 matchCorners,29 November 2019,La Liga
Olympique Marseille,Olympique Lyonnais,Olympique Marseille Asian Card Handicap,10 November 2019,Ligue 1
Olympique Marseille,Olympique Lyonnais,Under 12 matchCorners,10 November 2019,Ligue 1
PSG,Lille,Under 5 matchCards,22 November 2019,Ligue 1
Bordeaux,Monaco,Monaco Over 1.5 Cards,24 November 2019,Ligue 1
Metz,Reims,Under 4 matchCards,23 November 2019,Ligue 1
Metz,Reims,Under 5 matchCards,23 November 2019,Ligue 1
Metz,Reims,Under 12 matchCorners,23 November 2019,Ligue 1
Amiens SC,Strasbourg,Under 12 matchCorners,23 November 2019,Ligue 1
Olympique Marseille,Brest,Olympique Marseille Asian Card Handicap,29 November 2019,Ligue 1
Montpellier,Amiens SC,Under 12 matchCorners,30 November 2019,Ligue 1
Lille,Dijon,Under 5 matchCards,30 November 2019,Ligue 1
Bayer Leverkusen,Freiburg,Bayer Leverkusen Corner Match Bet,23 November 2019,Bundesliga
Eintracht Frankfurt,Wolfsburg,Under 5 matchCards,23 November 2019,Bundesliga
Union Berlin,Borussia M'gladbach,Under 5 matchCards,23 November 2019,Bundesliga
Bayern Munich,Bayer Leverkusen,Under 12 matchCorners,30 November 2019,Bundesliga
Hertha BSC,Borussia Dortmund,Borussia Dortmund Corner Match Bet,30 November 2019,Bundesliga
Schalke 04,Union Berlin,Under 12 matchCorners,29 November 2019,Bundesliga
Köln,Augsburg,Köln Corner Match Bet,30 November 2019,Bundesliga
Paderborn,RB Leipzig,Under 5 matchCards,30 November 2019,Bundesliga
