AFC Bournemouth,Wolverhampton Wanderers,13,23 November 2019,Premier League,3029193
Arsenal,Southampton,13,23 November 2019,Premier League,3029194
Aston Villa,Newcastle United,13,25 November 2019,Premier League,3029195
Brighton & Hove Albion,Leicester City,13,23 November 2019,Premier League,3029196
Crystal Palace,Liverpool,13,23 November 2019,Premier League,3029197
Everton,Norwich City,13,23 November 2019,Premier League,3029198
Manchester City,Chelsea,13,23 November 2019,Premier League,3029199
Sheffield United,Manchester United,13,24 November 2019,Premier League,3029200
Watford,Burnley,13,23 November 2019,Premier League,3029201
Burnley,Crystal Palace,14,30 November 2019,Premier League,3029203
Chelsea,West Ham United,14,30 November 2019,Premier League,3029204
Leicester City,Everton,14,1 December 2019,Premier League,3029205
Liverpool,Brighton & Hove Albion,14,30 November 2019,Premier League,3029206
Manchester United,Aston Villa,14,1 December 2019,Premier League,3029207
Newcastle United,Manchester City,14,30 November 2019,Premier League,3029208
Norwich City,Arsenal,14,1 December 2019,Premier League,3029209
Southampton,Watford,14,30 November 2019,Premier League,3029210
Tottenham Hotspur,AFC Bournemouth,14,30 November 2019,Premier League,3029211
Wolverhampton Wanderers,Sheffield United,14,1 December 2019,Premier League,3029212
Arsenal,Brighton & Hove Albion,15,5 December 2019,Premier League,3029213
Burnley,Manchester City,15,3 December 2019,Premier League,3029214
Leicester City,Watford,15,4 December 2019,Premier League,3029215
Manchester United,Tottenham Hotspur,15,4 December 2019,Premier League,3029216
Sheffield United,Newcastle United,15,5 December 2019,Premier League,3029217
Wolverhampton Wanderers,West Ham United,15,4 December 2019,Premier League,3029218
Chelsea,Aston Villa,15,4 December 2019,Premier League,3029219
Crystal Palace,AFC Bournemouth,15,3 December 2019,Premier League,3029220
Liverpool,Everton,15,4 December 2019,Premier League,3029221
Southampton,Norwich City,15,4 December 2019,Premier League,3029222
AFC Bournemouth,Liverpool,16,7 December 2019,Premier League,3029223
Aston Villa,Leicester City,16,8 December 2019,Premier League,3029224
Brighton & Hove Albion,Wolverhampton Wanderers,16,8 December 2019,Premier League,3029225
Everton,Chelsea,16,7 December 2019,Premier League,3029226
Manchester City,Manchester United,16,7 December 2019,Premier League,3029227
Newcastle United,Southampton,16,8 December 2019,Premier League,3029228
Norwich City,Sheffield United,16,8 December 2019,Premier League,3029229
Watford,Crystal Palace,16,7 December 2019,Premier League,3029231
West Ham United,Arsenal,16,9 December 2019,Premier League,3029232
Arsenal,Manchester City,17,15 December 2019,Premier League,3029233
Burnley,Newcastle United,17,14 December 2019,Premier League,3029234
Chelsea,AFC Bournemouth,17,14 December 2019,Premier League,3029235
Crystal Palace,Brighton & Hove Albion,17,16 December 2019,Premier League,3029236
Leicester City,Norwich City,17,14 December 2019,Premier League,3029237
Liverpool,Watford,17,14 December 2019,Premier League,3029238
Manchester United,Everton,17,15 December 2019,Premier League,3029239
Sheffield United,Aston Villa,17,14 December 2019,Premier League,3029240
Southampton,West Ham United,17,14 December 2019,Premier League,3029241
Wolverhampton Wanderers,Tottenham Hotspur,17,15 December 2019,Premier League,3029242
AFC Bournemouth,Burnley,18,21 December 2019,Premier League,3029243
Aston Villa,Southampton,18,21 December 2019,Premier League,3029244
Brighton & Hove Albion,Sheffield United,18,21 December 2019,Premier League,3029245
