Grêmio,Santos,1,3,p,Serie A,2988916
Atlético Mineiro,Avaí,1,3,p,Serie A,2988917
Ceará,CSA,1,4,n,Serie A,2988918
Palmeiras,Fortaleza,1,4,n,Serie A,2988919
São Paulo,Botafogo,1,2,y,Serie A,2988920
Flamengo,Cruzeiro,1,4,n,Serie A,2988921
Fluminense,Goiás,1,1,y,Serie A,2988922
Chapecoense,Internacional,1,2,y,Serie A,2988923
Bahia,Corinthians,1,5,n,Serie A,2988924
Athletico Paranaense,Vasco da Gama,1,5,n,Serie A,2988925
Internacional,Flamengo,2,3,p,Serie A,2988926
Cruzeiro,Ceará,2,1,y,Serie A,2988927
Fortaleza,Athletico Paranaense,2,3,p,Serie A,2988928
Corinthians,Chapecoense,2,1,y,Serie A,2988929
Santos,Fluminense,2,3,p,Serie A,2988930
Vasco da Gama,Atlético Mineiro,2,3,p,Serie A,2988931
Botafogo,Bahia,2,5,n,Serie A,2988932
Avaí,Grêmio,2,2,y,Serie A,2988933
Goiás,São Paulo,2,3,p,Serie A,2988934
CSA,Palmeiras,2,2,y,Serie A,2988935
Grêmio,Fluminense,3,9,n,Serie A,2988936
Cruzeiro,Goiás,3,3,p,Serie A,2988937
Ceará,Atlético Mineiro,3,3,p,Serie A,2988938
Palmeiras,Internacional,3,1,y,Serie A,2988939
São Paulo,Flamengo,3,2,y,Serie A,2988940
Vasco da Gama,Corinthians,3,2,y,Serie A,2988941
Botafogo,Fortaleza,3,1,y,Serie A,2988942
Chapecoense,Athletico Paranaense,3,2,y,Serie A,2988943
Bahia,Avaí,3,1,y,Serie A,2988944
CSA,Santos,3,0,y,Serie A,2988945
Internacional,Cruzeiro,4,4,n,Serie A,2988946
Atlético Mineiro,Palmeiras,4,2,y,Serie A,2988947
Fortaleza,São Paulo,4,1,y,Serie A,2988948
Corinthians,Grêmio,4,0,y,Serie A,2988949
Santos,Vasco da Gama,4,3,p,Serie A,2988950
Flamengo,Chapecoense,4,3,p,Serie A,2988951
Fluminense,Botafogo,4,1,y,Serie A,2988952
Avaí,CSA,4,0,y,Serie A,2988953
Goiás,Ceará,4,3,p,Serie A,2988954
Athletico Paranaense,Bahia,4,1,y,Serie A,2988955
Internacional,CSA,5,2,y,Serie A,2988956
Atlético Mineiro,Flamengo,5,3,p,Serie A,2988957
Ceará,Grêmio,5,3,p,Serie A,2988958
Palmeiras,Santos,5,4,n,Serie A,2988959
São Paulo,Bahia,5,0,y,Serie A,2988960
Vasco da Gama,Avaí,5,2,y,Serie A,2988961
Fluminense,Cruzeiro,5,5,n,Serie A,2988962
Chapecoense,Fortaleza,5,4,n,Serie A,2988963
Goiás,Botafogo,5,1,y,Serie A,2988964
Athletico Paranaense,Corinthians,5,2,y,Serie A,2988965
Grêmio,Atlético Mineiro,6,1,y,Serie A,2988966
Cruzeiro,Chapecoense,6,3,p,Serie A,2988967
Fortaleza,Vasco da Gama,6,2,y,Serie A,2988968
Corinthians,São Paulo,6,1,y,Serie A,2988969
Santos,Internacional,6,0,y,Serie A,2988970
Flamengo,Athletico Paranaense,6,5,n,Serie A,2988971
Botafogo,Palmeiras,6,1,y,Serie A,2988972
Avaí,Ceará,6,3,p,Serie A,2988973
Bahia,Fluminense,6,5,n,Serie A,2988974
CSA,Goiás,6,1,y,Serie A,2988975
Internacional,Avaí,7,2,y,Serie A,2988976
Atlético Mineiro,CSA,7,4,n,Serie A,2988977
Ceará,Santos,7,1,y,Serie A,2988978
Corinthians,Goiás,7,2,y,Serie A,2988979
São Paulo,Cruzeiro,7,2,y,Serie A,2988980
Flamengo,Fortaleza,7,2,y,Serie A,2988981
Botafogo,Vasco da Gama,7,1,y,Serie A,2988982
Chapecoense,Palmeiras,7,3,p,Serie A,2988983
Bahia,Grêmio,7,1,y,Serie A,2988984
Athletico Paranaense,Fluminense,7,3,p,Serie A,2988985
Grêmio,Fortaleza,8,1,y,Serie A,2988986
Cruzeiro,Corinthians,8,0,y,Serie A,2988987
Ceará,Bahia,8,0,y,Serie A,2988988
Palmeiras,Athletico Paranaense,8,1,y,Serie A,2988989
Santos,Atlético Mineiro,8,4,n,Serie A,2988990
Vasco da Gama,Internacional,8,3,p,Serie A,2988991
Fluminense,Flamengo,8,0,y,Serie A,2988992
Avaí,São Paulo,8,0,y,Serie A,2988993
Goiás,Chapecoense,8,4,n,Serie A,2988994
CSA,Botafogo,8,3,p,Serie A,2988995
Internacional,Bahia,9,4,n,Serie A,2988996
Atlético Mineiro,São Paulo,9,2,y,Serie A,2988997
Fortaleza,Cruzeiro,9,3,p,Serie A,2988998
Palmeiras,Avaí,9,2,y,Serie A,2988999
Santos,Corinthians,9,1,y,Serie A,2989000
Vasco da Gama,Ceará,9,1,y,Serie A,2989001
Botafogo,Grêmio,9,1,y,Serie A,2989002
Chapecoense,Fluminense,9,2,y,Serie A,2989003
Goiás,Athletico Paranaense,9,3,p,Serie A,2989004
CSA,Flamengo,9,2,y,Serie A,2989005
Grêmio,Vasco da Gama,10,3,p,Serie A,2989006
Cruzeiro,Botafogo,10,0,y,Serie A,2989007
Fortaleza,Avaí,10,2,y,Serie A,2989008
Corinthians,CSA,10,1,y,Serie A,2989009
São Paulo,Palmeiras,10,2,y,Serie A,2989010
Flamengo,Goiás,10,7,n,Serie A,2989011
Fluminense,Ceará,10,2,y,Serie A,2989012
Chapecoense,Atlético Mineiro,10,3,p,Serie A,2989013
Bahia,Santos,10,1,y,Serie A,2989014
Athletico Paranaense,Internacional,10,1,y,Serie A,2989015
Internacional,Grêmio,11,2,y,Serie A,2989016
Atlético Mineiro,Fortaleza,11,4,n,Serie A,2989017
Ceará,Palmeiras,11,2,y,Serie A,2989018
Corinthians,Flamengo,11,2,y,Serie A,2989019
São Paulo,Chapecoense,11,4,n,Serie A,2989020
Vasco da Gama,Fluminense,11,3,p,Serie A,2989021
Botafogo,Santos,11,1,y,Serie A,2989022
Avaí,Goiás,11,0,y,Serie A,2989023
Bahia,Cruzeiro,11,0,y,Serie A,2989024
CSA,Athletico Paranaense,11,4,n,Serie A,2989025
Internacional,Ceará,12,1,y,Serie A,2989026
Cruzeiro,Athletico Paranaense,12,2,y,Serie A,2989027
Fortaleza,Corinthians,12,4,n,Serie A,2989028
Palmeiras,Vasco da Gama,12,2,y,Serie A,2989029
Santos,Avaí,12,4,n,Serie A,2989030
Flamengo,Botafogo,12,5,n,Serie A,2989031
Fluminense,São Paulo,12,3,p,Serie A,2989032
Chapecoense,Bahia,12,0,y,Serie A,2989033
Goiás,Atlético Mineiro,12,0,y,Serie A,2989034
CSA,Grêmio,12,0,y,Serie A,2989035
Grêmio,Chapecoense,13,6,n,Serie A,2989036
Atlético Mineiro,Cruzeiro,13,2,y,Serie A,2989037
Ceará,Fortaleza,13,3,p,Serie A,2989038
Corinthians,Palmeiras,13,2,y,Serie A,2989039
Santos,Goiás,13,7,n,Serie A,2989040
Vasco da Gama,CSA,13,0,y,Serie A,2989041
Fluminense,Internacional,13,3,p,Serie A,2989042
Avaí,Botafogo,13,2,y,Serie A,2989043
Bahia,Flamengo,13,3,p,Serie A,2989044
Athletico Paranaense,São Paulo,13,1,y,Serie A,2989045
Internacional,Corinthians,14,0,y,Serie A,2989046
Atlético Mineiro,Fluminense,14,3,p,Serie A,2989047
Ceará,Chapecoense,14,5,n,Serie A,2989048
Palmeiras,Bahia,14,4,n,Serie A,2989049
São Paulo,Santos,14,5,n,Serie A,2989050
Flamengo,Grêmio,14,4,n,Serie A,2989051
Botafogo,Athletico Paranaense,14,3,p,Serie A,2989052
Avaí,Cruzeiro,14,4,n,Serie A,2989053
Goiás,Vasco da Gama,14,1,y,Serie A,2989054
CSA,Fortaleza,14,2,y,Serie A,2989055
Grêmio,Palmeiras,15,2,y,Serie A,2989056
Cruzeiro,Santos,15,2,y,Serie A,2989057
Fortaleza,Internacional,15,1,y,Serie A,2989058
Corinthians,Botafogo,15,2,y,Serie A,2989059
São Paulo,Ceará,15,1,y,Serie A,2989060
Vasco da Gama,Flamengo,15,5,n,Serie A,2989061
Fluminense,CSA,15,1,y,Serie A,2989062
Chapecoense,Avaí,15,1,y,Serie A,2989063
Bahia,Goiás,15,2,y,Serie A,2989064
Athletico Paranaense,Atlético Mineiro,15,1,y,Serie A,2989065
Grêmio,Athletico Paranaense,16,3,p,Serie A,2989066
Atlético Mineiro,Bahia,16,1,y,Serie A,2989067
Ceará,Flamengo,16,3,p,Serie A,2989068
Santos,Fortaleza,16,6,n,Serie A,2989070
Vasco da Gama,São Paulo,16,2,y,Serie A,2989071
Botafogo,Chapecoense,16,0,y,Serie A,2989072
Avaí,Corinthians,16,2,y,Serie A,2989073
Goiás,Internacional,16,3,p,Serie A,2989074
CSA,Cruzeiro,16,2,y,Serie A,2989075
Internacional,Botafogo,17,5,n,Serie A,2989076
Cruzeiro,Vasco da Gama,17,1,y,Serie A,2989077
Fortaleza,Goiás,17,2,y,Serie A,2989078
Corinthians,Atlético Mineiro,17,1,y,Serie A,2989079
São Paulo,Grêmio,17,0,y,Serie A,2989080
Flamengo,Palmeiras,17,3,p,Serie A,2989081
Fluminense,Avaí,17,1,y,Serie A,2989082
Chapecoense,Santos,17,1,y,Serie A,2989083
Bahia,CSA,17,1,y,Serie A,2989084
Athletico Paranaense,Ceará,17,1,y,Serie A,2989085
Corinthians,Ceará,18,4,n,Serie A,2989089
Goiás,Palmeiras,18,3,p,Serie A,2989094
Guarani,Figueirense,1,0,y,Serie B,2987874
Botafogo SP,Vitória,1,4,n,Serie B,2987875
São Bento,Atlético GO,1,4,n,Serie B,2987876
Vila Nova,Paraná,1,2,y,Serie B,2987877
Coritiba,Ponte Preta,1,2,y,Serie B,2987878
Operário PR,América Mineiro,1,1,y,Serie B,2987879
Criciúma,Cuiabá,1,1,y,Serie B,2987880
Brasil de Pelotas,RB Bragantino,1,1,y,Serie B,2987881
Sport Recife,Oeste,1,2,y,Serie B,2987882
CRB,Londrina,1,3,p,Serie B,2987883
Ponte Preta,Criciúma,2,2,y,Serie B,2987884
RB Bragantino,Sport Recife,2,2,y,Serie B,2987885
Oeste,Guarani,2,2,y,Serie B,2987886
Atlético GO,Coritiba,2,2,y,Serie B,2987887
Paraná,CRB,2,1,y,Serie B,2987888
Londrina,Brasil de Pelotas,2,1,y,Serie B,2987889
Figueirense,São Bento,2,4,n,Serie B,2987890
América Mineiro,Botafogo SP,2,1,y,Serie B,2987891
Vitória,Vila Nova,2,3,p,Serie B,2987892
Cuiabá,Operário PR,2,3,p,Serie B,2987893
