Date,Teams,Type,League,Odds,Staked,Won?,Returns,Profit,Final Bankroll,,Stake,£1.97,,,,,,,,,,
06/12/2019,Benevento vs Trapani,Over 1.0 FH Goal Line,Serie B,1.725,£2.50,y,£4.31,£1.81,,,Starting Bankroll,£100.00,,Recent Form,Bets,Win%,Win/Push %,Profit,Staked,ROI,Avg Odds,
06/12/2019,Eintracht Frankfurt vs Hertha BSC,Over 1.0 FH Goal Line,Bundesliga,1.550,£2.50,p,£2.50,£0.00,,,Total Staked,"£1,496.63",,Past Week,93,34.41%,59.14%,-£6.93,£165.00,-4.20%,1.47,
06/12/2019,Arminia Bielefeld vs Karlsruher SC,BTTS Yes,2. Bundesliga,1.660,£2.50,y,£4.15,£1.65,,,Total Returns,"£1,475.26",,Past Two Weeks,159,38.99%,55.35%,-£7.49,£310.74,-2.41%,1.49,
06/12/2019,Ajax vs Willem II,Over 1.0 FH Goal Line,Eredivisie,1.190,£2.50,p,£2.50,£0.00,,,Profit,-£21.37,,Past Month,291,39.52%,51.55%,-£51.73,£659.44,-7.84%,1.53,
06/12/2019,Eindhoven vs Volendam,Over 2.5 Goals,Eerste Divisie,1.475,£2.50,y,£3.69,£1.19,,,ROI,-1.43%,,,,,,,,,,
06/12/2019,Hobro vs Horsens,Over 1.0 FH Goal Line,Superliga,2.300,£2.50,n,£0.00,-£2.50,,,,,,Type,Bets,Win%,Win/Push %,Profit,Staked,ROI,Avg Odds,
06/12/2019,Waasland-Beveren vs Antwerp,BTTS Yes,Belgium Pro,1.625,£2.50,n,£0.00,-£2.50,,,Number of Bets,633,,Over 2.5 Goals,24,62.50%,62.50%,-£1.36,£59.58,-2.29%,1.53,
06/12/2019,Waasland-Beveren vs Antwerp,Over 1.0 FH Goal Line,Belgium Pro,1.700,£2.50,p,£2.50,£0.00,,,Bets Won,272,,Under 2.5 Goals,20,40.00%,40.00%,-£6.55,£41.23,-15.88%,1.61,
06/12/2019,Colón vs Aldosivi,Over 1.0 FH Goal Line,Argentina,2.375,£2.50,p,£2.50,£0.00,£99.65,,Bets Half Won,90,,Over 1.0 FH Goal Line,115,35.65%,71.30%,-£12.07,£299.61,-4.03%,1.71,Changed 0.5/1.0 Criteria to be <0.4 Over 1.5. 16/01/2020
07/12/2019,Gillingham vs Sunderland,Over 1.0 FH Goal Line,League One,2.050,£2.49,n,£0.00,-£2.49,,,Bets Push,49,,Under 1.0 FH Goal Line,24,16.67%,50.00%,-£26.15,£66.38,-39.39%,1.82,
07/12/2019,Rotherham United vs Rochdale,Over 1.0 FH Goal Line,League One,1.625,£2.49,p,£2.49,£0.00,,,Bets Half Lost,0,,BTTS Yes,40,62.50%,62.50%,£10.90,£99.16,10.99%,1.62,
07/12/2019,Cardiff City vs Barnsley,Over 1.0 FH Goal Line,Championship,1.650,£2.49,y,£4.11,£1.62,,,Bets Lost,169,,BTTS No,5,80.00%,80.00%,£7.30,£14.48,,1.81,
07/12/2019,Bradford City vs Newport County,Over 1.0 FH Goal Line,League Two,2.025,£2.49,n,£0.00,-£2.49,,,Win %,42.97%,,Over 1.5 SH Goals,6,66.67%,66.67%,£4.63,£17.04,,1.88,
07/12/2019,Eastleigh vs Ebbsfleet United,Over 1.0 FH Goal Line,National League,1.700,£2.49,y,£4.23,£1.74,,,Win/Push %,64.93%,,Under 1.5 SH Goals,22,40.91%,40.91%,-£20.90,£62.64,-33.37%,1.64,
07/12/2019,Harrogate Town vs Torquay United,Over 1.0 FH Goal Line,National League,1.575,£2.49,p,£2.49,£0.00,,,Current Bankroll,£78.63,,Over 3 Match Cards,56,80.36%,80.36%,£6.31,£129.98,4.85%,1.23,
07/12/2019,Bradford (Park Avenue) vs Altrincham,Over 1.0 FH Goal Line,National League North,1.500,£2.49,p,£2.49,£0.00,,,,,,Over 4 Match Cards,16,68.75%,68.75%,£0.14,£38.14,0.36%,1.45,
07/12/2019,Darlington vs Chester,Over 1.0 FH Goal Line,National League North,1.725,£2.49,y,£4.30,£1.81,,,Bankroll Peak,£135.00,,Under 4 Match Cards,1,0.00%,0.00%,-£2.05,£2.05,,1.57,
07/12/2019,Gateshead vs Alfreton Town,Over 1.0 FH Goal Line,National League North,1.850,£2.49,p,£2.49,£0.00,,,Bankroll Trough,£77.52,,Under 5 Match Cards,8,87.50%,87.50%,£5.34,£20.30,,1.40,
07/12/2019,Kidderminster Harriers vs Boston United,Over 1.0 FH Goal Line,National League North,1.775,£2.49,y,£4.42,£1.93,,,,,,Over 9 Match Corners,12,66.67%,66.67%,£1.29,£32.20,4.01%,1.51,
07/12/2019,Leamington vs Spennymoor Town,Over 1.0 FH Goal Line,National League North,1.600,£2.49,y,£3.98,£1.49,,,Av Winning Odds,1.512,,Over 10 Match Corners,3,100.00%,100.00%,£5.77,£8.27,,1.70,
07/12/2019,Hibernian vs Aberdeen,Over 1.0 FH Goal Line,Scotland Premier,1.800,£2.49,n,£0.00,-£2.49,,,,,,Under 10 Match Corners,4,50.00%,50.00%,£1.25,£6.98,,1.84,
07/12/2019,Clyde vs Forfar Athletic,Over 1.0 FH Goal Line,Scotland League One,1.825,£2.49,n,£0.00,-£2.49,,,Biggest Win,£3.37,,Under 11 Match Corners,18,44.44%,44.44%,-£3.85,£32.80,-11.73%,1.44,
07/12/2019,East Fife vs Falkirk,Over 1.0 FH Goal Line,Scotland League One,1.900,£2.49,n,£0.00,-£2.49,,,Biggest Loss,-£3.37,,Goal In Each Half,38,63.16%,63.16%,£1.96,£89.13,2.20%,1.55,
07/12/2019,Albion Rovers vs Queen's Park,Over 2.5 Goals,Scotland League Two,1.600,£2.49,y,£3.98,£1.49,,,,,,Over 0.5/1.0 FH Goal Line,208,24.52%,65.87%,£6.53,£456.90,1.43%,1.50,
07/12/2019,Albion Rovers vs Queen's Park,Over 1.0 FH Goal Line,Scotland League Two,1.625,£2.49,y,£4.05,£1.56,,,Average Stake,£2.58,,Under 1.0/1.5 FH Goal Line,13,23.08%,53.85%,£0.14,£19.76,0.69%,1.40,
