Olimpia Grudziądz,Chrobry Głogów,2019-07-26,5,0,5,n,3,0,0,3,3,2,0,0,2,2,1,3,4,6,10,10,6,16,I Liga - Poland,3034379
Radomiak Radom,Tychy 71,2019-07-27,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,4,5,2,5,5,2,7,I Liga - Poland,3034384
Miedź Legnica,Odra Opole,2019-07-27,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,3,5,5,2,2,5,7,I Liga - Poland,3034381
Zagłębie Sosnowiec,Podbeskidzie,2019-07-27,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,2,3,4,11,11,4,15,I Liga - Poland,3034383
Bełchatów,Stomil Olsztyn,2019-07-27,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,1,2,4,7,7,4,11,I Liga - Poland,3034385
Puszcza Niepołomice,Jastrzębie,2019-07-27,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,I Liga - Poland,3034382
Nieciecza,Sandecja Nowy Sącz,2019-07-27,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,2,3,9,4,4,9,13,I Liga - Poland,3034380
Chrobry Głogów,Nieciecza,2019-08-02,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,1,5,4,7,7,4,11,I Liga - Poland,3034391
Sandecja Nowy Sącz,Miedź Legnica,2019-08-02,1,2,3,y,1,2,2,1,3,0,0,0,0,0,4,5,9,2,1,1,2,3,I Liga - Poland,3034390
Stal Mielec,Wigry Suwałki,2019-08-02,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,4,6,11,4,4,11,15,I Liga - Poland,3034394
Zagłębie Sosnowiec,Olimpia Grudziądz,2019-08-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,2,5,7,7,7,7,14,I Liga - Poland,3034392
Jastrzębie,Tychy 71,2019-08-03,2,1,3,y,2,1,1,2,3,0,0,0,0,0,1,2,3,4,1,1,4,5,I Liga - Poland,3034388
Chojniczanka Chojnice,Podbeskidzie,2019-08-04,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,3,7,9,5,5,9,14,I Liga - Poland,3034393
Olimpia Grudziądz,Chojniczanka Chojnice,2019-08-09,3,5,8,y,0,2,2,0,2,3,3,3,3,6,2,3,5,4,7,7,4,11,I Liga - Poland,3034397
Stomil Olsztyn,Jastrzębie,2019-08-09,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,4,7,2,7,7,2,9,I Liga - Poland,3034402
Miedź Legnica,Chrobry Głogów,2019-08-10,2,1,3,y,1,1,1,1,2,1,0,0,1,1,1,5,6,5,2,2,5,7,I Liga - Poland,3034399
