Górnik Polkowice,Stargard Szczeciński,2019-07-27,1,2,3,y,0,2,2,0,2,1,0,0,1,1,4,2,6,-1,-1,-1,-1,-1,II Liga - Poland,3037028
Elana Toruń,Bytovia Bytów,2019-07-27,2,1,3,y,0,0,0,0,0,2,1,1,2,3,3,3,6,-1,-1,-1,-1,-1,II Liga - Poland,3037029
Stal Stalowa Wola,Resovia Rzeszów,2019-07-27,1,3,4,y,0,2,2,0,2,1,1,1,1,2,1,2,3,-1,-1,-1,-1,-1,II Liga - Poland,3037031
Garbarnia Kraków,Górnik Łęczna,2019-07-27,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,2,4,-1,-1,-1,-1,-1,II Liga - Poland,3037027
Stal Rzeszów,Pogoń Siedlce,2019-07-27,3,2,5,y,1,0,0,1,1,2,2,2,2,4,0,0,0,-1,-1,-1,-1,-1,II Liga - Poland,3037026
Legionovia Legionowo,SKRA Częstochowa,2019-07-27,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,II Liga - Poland,3079215
Gryf Wejherowo,Widzew Łódź,2019-07-27,1,2,3,y,0,0,0,0,0,1,2,2,1,3,3,1,4,-1,-1,-1,-1,-1,II Liga - Poland,3037033
GKS Katowice,Znicz Pruszków,2019-07-28,1,3,4,y,0,3,3,0,3,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,II Liga - Poland,3037030
Olimpia Elbląg,Lech Poznań II,2019-07-28,4,0,4,n,2,0,0,2,2,2,0,0,2,2,3,5,8,-1,-1,-1,-1,-1,II Liga - Poland,3037032
SKRA Częstochowa,Garbarnia Kraków,2019-08-03,1,3,4,y,1,1,1,1,2,0,2,2,0,2,2,0,2,-1,-1,-1,-1,-1,II Liga - Poland,3037041
Stargard Szczeciński,Elana Toruń,2019-08-03,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,3,6,-1,-1,-1,-1,-1,II Liga - Poland,3037038
Gryf Wejherowo,GKS Katowice,2019-08-03,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,3,4,-1,-1,-1,-1,-1,II Liga - Poland,3037036
Pogoń Siedlce,Resovia Rzeszów,2019-08-03,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,5,6,-1,-1,-1,-1,-1,II Liga - Poland,3037034
Bytovia Bytów,Widzew Łódź,2019-08-03,2,1,3,y,1,0,0,1,1,1,1,1,1,2,5,1,6,-1,-1,-1,-1,-1,II Liga - Poland,3037037
Olimpia Elbląg,Górnik Polkowice,2019-08-03,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,4,5,-1,-1,-1,-1,-1,II Liga - Poland,3037039
Stal Rzeszów,Legionovia Legionowo,2019-08-04,3,1,4,y,1,0,0,1,1,2,1,1,2,3,0,2,2,-1,-1,-1,-1,-1,II Liga - Poland,3079216
Widzew Łódź,Stargard Szczeciński,2019-08-09,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,3,5,-1,-1,-1,-1,-1,II Liga - Poland,3037046
Resovia Rzeszów,Znicz Pruszków,2019-08-10,3,0,3,n,1,0,0,1,1,2,0,0,2,2,0,1,1,-1,-1,-1,-1,-1,II Liga - Poland,3037049
Stal Stalowa Wola,Gryf Wejherowo,2019-08-10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,1,4,-1,-1,-1,-1,-1,II Liga - Poland,3037048
Elana Toruń,Olimpia Elbląg,2019-08-10,0,2,2,n,0,2,2,0,2,0,0,0,0,0,4,3,7,-1,-1,-1,-1,-1,II Liga - Poland,3037045
Garbarnia Kraków,Stal Rzeszów,2019-08-10,2,1,3,y,2,0,0,2,2,0,1,1,0,1,2,3,5,-1,-1,-1,-1,-1,II Liga - Poland,3037042
Legionovia Legionowo,Pogoń Siedlce,2019-08-10,1,3,4,y,0,2,2,0,2,1,1,1,1,2,4,4,8,-1,-1,-1,-1,-1,II Liga - Poland,3079217
GKS Katowice,Bytovia Bytów,2019-08-10,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,5,7,-1,-1,-1,-1,-1,II Liga - Poland,3037047
Górnik Polkowice,Górnik Łęczna,2019-08-10,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,2,3,-1,-1,-1,-1,-1,II Liga - Poland,3037044
Lech Poznań II,SKRA Częstochowa,2019-08-11,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,5,7,-1,-1,-1,-1,-1,II Liga - Poland,3037043
SKRA Częstochowa,Górnik Polkowice,2019-08-17,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,5,7,-1,-1,-1,-1,-1,II Liga - Poland,3037056
Stargard Szczeciński,GKS Katowice,2019-08-17,1,3,4,y,1,2,2,1,3,0,1,1,0,1,3,3,6,-1,-1,-1,-1,-1,II Liga - Poland,3037053
Stal Rzeszów,Lech Poznań II,2019-08-17,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,2,3,-1,-1,-1,-1,-1,II Liga - Poland,3037057
Gryf Wejherowo,Resovia Rzeszów,2019-08-17,0,3,3,n,0,1,1,0,1,0,2,2,0,2,3,2,5,-1,-1,-1,-1,-1,II Liga - Poland,3037051
Pogoń Siedlce,Znicz Pruszków,2019-08-17,0,1,1,n,0,1,1,0,1,0,0,0,0,0,6,4,10,-1,-1,-1,-1,-1,II Liga - Poland,3037050
Legionovia Legionowo,Garbarnia Kraków,2019-08-17,0,2,2,n,0,1,1,0,1,0,1,1,0,1,5,4,9,-1,-1,-1,-1,-1,II Liga - Poland,3079218
Górnik Łęczna,Elana Toruń,2019-08-18,1,3,4,y,1,2,2,1,3,0,1,1,0,1,1,2,3,-1,-1,-1,-1,-1,II Liga - Poland,3037055
Lech Poznań II,Legionovia Legionowo,2019-08-21,2,1,3,y,1,1,1,1,2,1,0,0,1,1,3,4,7,-1,-1,-1,-1,-1,II Liga - Poland,3079219
Resovia Rzeszów,Bytovia Bytów,2019-08-21,1,1,2,y,1,0,0,1,1,0,1,1,0,1,4,6,10,-1,-1,-1,-1,-1,II Liga - Poland,3037064
Stal Stalowa Wola,Stargard Szczeciński,2019-08-21,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,0,3,-1,-1,-1,-1,-1,II Liga - Poland,3037063
Elana Toruń,SKRA Częstochowa,2019-08-21,1,1,2,y,0,0,0,0,0,1,1,1,1,2,5,1,6,-1,-1,-1,-1,-1,II Liga - Poland,3037060
Garbarnia Kraków,Pogoń Siedlce,2019-08-21,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,-1,-1,-1,-1,-1,II Liga - Poland,3037058
Widzew Łódź,Górnik Łęczna,2019-08-21,2,2,4,y,0,1,1,0,1,2,1,1,2,3,1,2,3,-1,-1,-1,-1,-1,II Liga - Poland,3037061
Znicz Pruszków,Gryf Wejherowo,2019-08-21,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,1,2,-1,-1,-1,-1,-1,II Liga - Poland,3037065
GKS Katowice,Olimpia Elbląg,2019-08-21,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,3,5,-1,-1,-1,-1,-1,II Liga - Poland,3037062
Górnik Polkowice,Stal Rzeszów,2019-08-21,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,2,4,-1,-1,-1,-1,-1,II Liga - Poland,3037059
Stal Rzeszów,Elana Toruń,2019-08-24,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,1,1,-1,-1,-1,-1,-1,II Liga - Poland,3037072
Garbarnia Kraków,Lech Poznań II,2019-08-24,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,2,4,-1,-1,-1,-1,-1,II Liga - Poland,3037073
Górnik Łęczna,GKS Katowice,2019-08-25,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,3,6,-1,-1,-1,-1,-1,II Liga - Poland,3037070
SKRA Częstochowa,Widzew Łódź,2019-08-25,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,4,5,-1,-1,-1,-1,-1,II Liga - Poland,3037071
Stargard Szczeciński,Resovia Rzeszów,2019-08-25,1,2,3,y,0,0,0,0,0,1,2,2,1,3,4,3,7,-1,-1,-1,-1,-1,II Liga - Poland,3037068
Legionovia Legionowo,Górnik Polkowice,2019-08-25,1,2,3,y,1,0,0,1,1,0,2,2,0,2,5,3,8,-1,-1,-1,-1,-1,II Liga - Poland,3079220
Bytovia Bytów,Znicz Pruszków,2019-08-25,2,2,4,y,2,0,0,2,2,0,2,2,0,2,1,5,6,-1,-1,-1,-1,-1,II Liga - Poland,3037067
