Puebla,Tijuana,2019-07-20,1,3,4,y,1,1,1,1,2,0,2,2,0,2,1,0,1,7,4,4,7,11,Liga MX - Mexico,3040957
Atlas,Juárez,2019-07-20,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,3,6,5,7,7,5,12,Liga MX - Mexico,3040958
América,Monterrey,2019-07-21,4,2,6,y,2,2,2,2,4,2,0,0,2,2,2,3,5,7,3,3,7,10,Liga MX - Mexico,3040962
Santos Laguna,Guadalajara,2019-07-22,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,1,3,6,8,8,6,14,Liga MX - Mexico,3040965
León,América,2019-07-28,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,5,8,7,4,4,7,11,Liga MX - Mexico,3040968
Cruz Azul,Toluca,2019-07-28,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,1,3,7,5,5,7,12,Liga MX - Mexico,3040970
Atlético San Luis,Monterrey,2019-07-29,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,3,7,5,8,8,5,13,Liga MX - Mexico,3040972
Guadalajara,Tigres UANL,2019-07-29,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,4,6,8,6,6,8,14,Liga MX - Mexico,3040973
Santos Laguna,Juárez,2019-07-29,3,0,3,n,0,0,0,0,0,3,0,0,3,3,0,2,2,8,3,3,8,11,Liga MX - Mexico,3040974
Puebla,Guadalajara,2019-08-03,1,1,2,y,1,1,1,1,2,0,0,0,0,0,5,4,9,5,5,5,5,10,Liga MX - Mexico,3040975
Atlas,Santos Laguna,2019-08-03,1,2,3,y,0,1,1,0,1,1,1,1,1,2,5,3,8,2,5,5,2,7,Liga MX - Mexico,3040976
Querétaro,Cruz Azul,2019-08-04,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,2,4,5,2,2,5,7,Liga MX - Mexico,3040977
Necaxa,Veracruz,2019-08-04,7,0,7,n,1,0,0,1,1,6,0,0,6,6,1,1,2,1,7,7,1,8,Liga MX - Mexico,3040981
Querétaro,Pachuca,2019-08-11,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,4,5,6,2,2,6,8,Liga MX - Mexico,3040987
Guadalajara,Atlético San Luis,2019-08-11,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,1,2,6,6,6,6,12,Liga MX - Mexico,3040990
Toluca,América,2019-08-11,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,5,7,9,5,5,9,14,Liga MX - Mexico,3040991
Puebla,Pachuca,2019-08-17,0,4,4,n,0,2,2,0,2,0,2,2,0,2,0,1,1,4,1,1,4,5,Liga MX - Mexico,3040993
Atlas,Cruz Azul,2019-08-17,1,3,4,y,0,2,2,0,2,1,1,1,1,2,5,3,8,4,4,4,4,8,Liga MX - Mexico,3040994
Atlético San Luis,Tigres UANL,2019-08-18,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,0,3,2,8,8,2,10,Liga MX - Mexico,3040995
León,Guadalajara,2019-08-18,4,3,7,y,2,1,1,2,3,2,2,2,2,4,1,3,4,7,5,5,7,12,Liga MX - Mexico,3040996
Monterrey,Toluca,2019-08-18,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,5,0,0,5,5,Liga MX - Mexico,3040998
Juárez,Querétaro,2019-08-19,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,3,5,-1,-1,-1,-1,-1,Liga MX - Mexico,3041001
Veracruz,Atlético San Luis,2019-08-24,1,2,3,y,1,1,1,1,2,0,1,1,0,1,2,2,4,2,1,1,2,3,Liga MX - Mexico,3041002
Querétaro,León,2019-08-25,0,4,4,n,0,1,1,0,1,0,3,3,0,3,2,2,4,5,4,4,5,9,Liga MX - Mexico,3041005
Cruz Azul,Puebla,2019-08-25,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,3,4,7,1,1,7,8,Liga MX - Mexico,3041007
Tigres UANL,América,2019-08-25,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,3,4,3,2,2,3,5,Liga MX - Mexico,3041008
Guadalajara,Necaxa,2019-08-26,1,2,3,y,0,2,2,0,2,1,0,0,1,1,1,3,4,4,3,3,4,7,Liga MX - Mexico,3041010
Veracruz,Querétaro,2019-08-28,0,5,5,n,0,3,3,0,3,0,2,2,0,2,0,0,0,3,2,2,3,5,Liga MX - Mexico,3041011
Atlético San Luis,Morelia,2019-08-28,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,6,9,6,2,2,6,8,Liga MX - Mexico,3041012
Atlas,Tigres UANL,2019-08-28,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,2,10,10,2,12,Liga MX - Mexico,3041013
Tijuana,Cruz Azul,2019-08-29,3,2,5,y,1,2,2,1,3,2,0,0,2,2,6,6,12,4,2,2,4,6,Liga MX - Mexico,3041016
Necaxa,Toluca,2019-08-29,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,0,0,4,7,7,4,11,Liga MX - Mexico,3041017
Necaxa,Tijuana,2019-09-01,3,2,5,y,1,2,2,1,3,2,0,0,2,2,3,1,4,7,3,3,7,10,Liga MX - Mexico,3041022
Pachuca,Atlético San Luis,2019-09-01,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,1,1,10,5,5,10,15,Liga MX - Mexico,3041024
León,Juárez,2019-09-15,3,1,4,y,0,1,1,0,1,3,0,0,3,3,3,5,8,8,1,1,8,9,Liga MX - Mexico,3041033
Santos Laguna,Pachuca,2019-09-16,2,2,4,y,1,2,2,1,3,1,0,0,1,1,1,2,3,8,5,5,8,13,Liga MX - Mexico,3041036
Atlético San Luis,Santos Laguna,2019-09-22,2,3,5,y,2,2,2,2,4,0,1,1,0,1,1,3,4,6,6,6,6,12,Liga MX - Mexico,3041040
Necaxa,León,2019-09-22,2,4,6,y,0,1,1,0,1,2,3,3,2,5,6,3,9,3,6,6,3,9,Liga MX - Mexico,3041041
Monterrey,Puebla,2019-09-22,3,2,5,y,2,0,0,2,2,1,2,2,1,3,1,1,2,8,3,3,8,11,Liga MX - Mexico,3041042
