Nashville SC,Atlanta United,2020-03-01,1,2,3,y,1,2,2,1,3,0,0,0,0,0,1,1,2,5,4,4,5,9,MLS - United-states,3195741
D.C. United,Colorado Rapids,2020-02-29,1,2,3,y,1,2,2,1,3,0,0,0,0,0,3,1,4,1,8,8,1,9,MLS - United-states,3195742
Houston Dynamo,LA Galaxy,2020-02-29,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,1,2,6,1,1,6,7,MLS - United-states,3195744
SJ Earthquakes,Toronto,2020-02-29,2,2,4,y,2,2,2,2,4,0,0,0,0,0,4,2,6,3,7,7,3,10,MLS - United-states,3195745
Dallas,Philadelphia Union,2020-03-01,2,0,2,n,2,0,0,2,2,0,0,0,0,0,1,4,5,3,8,8,3,11,MLS - United-states,3195746
Orlando City,Real Salt Lake,2020-03-01,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,MLS - United-states,3195747
Vancouver Whitecaps,Sporting KC,2020-03-01,1,3,4,y,1,3,3,1,4,0,0,0,0,0,1,2,3,4,3,3,4,7,MLS - United-states,3195748
Columbus Crew,New York City,2020-03-01,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,2,6,6,2,2,6,8,MLS - United-states,3195749
New York RB,Cincinnati,2020-03-01,3,2,5,y,3,2,2,3,5,0,0,0,0,0,2,0,2,3,2,2,3,5,MLS - United-states,3195750
Seattle Sounders,Chicago Fire,2020-03-01,2,1,3,y,2,1,1,2,3,0,0,0,0,0,2,1,3,8,4,4,8,12,MLS - United-states,3195751
Los Angeles,Inter Miami,2020-03-01,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,3,5,7,8,8,7,15,MLS - United-states,3195752
Portland Timbers,Minnesota United,2020-03-02,1,3,4,y,1,3,3,1,4,0,0,0,0,0,3,2,5,2,7,7,2,9,MLS - United-states,3195753
Montreal Impact,New England,2020-02-29,2,1,3,y,2,1,1,2,3,0,0,0,0,0,0,0,0,4,3,3,4,7,MLS - United-states,3195743
New England,Chicago Fire,2020-03-07,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,MLS - United-states,3195754
Real Salt Lake,New York RB,2020-03-07,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,2,4,-1,-1,-1,-1,-1,MLS - United-states,3195755
Toronto,New York City,2020-03-07,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,3,4,-1,-1,-1,-1,-1,MLS - United-states,3195756
Atlanta United,Cincinnati,2020-03-08,2,1,3,y,2,1,1,2,3,0,0,0,0,0,1,4,5,-1,-1,-1,-1,-1,MLS - United-states,3195757
Sporting KC,Houston Dynamo,2020-03-08,4,0,4,n,4,0,0,4,4,0,0,0,0,0,2,5,7,-1,-1,-1,-1,-1,MLS - United-states,3195758
Colorado Rapids,Orlando City,2020-03-08,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,2,5,-1,-1,-1,-1,-1,MLS - United-states,3195759
LA Galaxy,Vancouver Whitecaps,2020-03-08,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,0,4,-1,-1,-1,-1,-1,MLS - United-states,3195760
Dallas,Montreal Impact,2020-03-07,2,2,4,y,2,2,2,2,4,0,0,0,0,0,2,0,2,-1,-1,-1,-1,-1,MLS - United-states,3195765
D.C. United,Inter Miami,2020-03-07,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,3,6,-1,-1,-1,-1,-1,MLS - United-states,3195766
SJ Earthquakes,Minnesota United,2020-03-08,2,5,7,y,2,5,5,2,7,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,MLS - United-states,3195767
Seattle Sounders,Columbus Crew,2020-03-08,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,MLS - United-states,3195768
Portland Timbers,Nashville SC,2020-03-09,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,1,4,-1,-1,-1,-1,-1,MLS - United-states,3195769
Los Angeles,Philadelphia Union,2020-03-09,3,3,6,y,3,3,3,3,6,0,0,0,0,0,1,4,5,-1,-1,-1,-1,-1,MLS - United-states,3195770
