Altay,Ümraniyespor,2019-08-18,1,3,4,y,0,1,1,0,1,1,2,2,1,3,2,5,7,4,6,6,4,10,1. Lig - Turkey,3083169
Adana Demirspor,Balıkesirspor,2019-08-17,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,0,2,3,3,3,3,6,1. Lig - Turkey,3083170
Osmanlıspor,Boluspor,2019-08-17,2,1,3,y,0,0,0,0,0,2,1,1,2,3,3,2,5,4,2,2,4,6,1. Lig - Turkey,3083171
BB Erzurumspor,İstanbulspor,2019-08-18,2,2,4,y,0,2,2,0,2,2,0,0,2,2,3,5,8,5,4,4,5,9,1. Lig - Turkey,3083172
Eskişehirspor,Keçiörengücü,2019-08-19,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,2,5,7,6,6,7,13,1. Lig - Turkey,3083173
Akhisarspor,Adanaspor,2019-08-18,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,4,6,13,8,8,13,21,1. Lig - Turkey,3083174
Fatih Karagümrük,Bursaspor,2019-08-17,3,1,4,y,1,0,0,1,1,2,1,1,2,3,2,4,6,5,6,6,5,11,1. Lig - Turkey,3083175
Hatayspor,Altınordu,2019-08-18,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,0,2,8,1,1,8,9,1. Lig - Turkey,3083176
Giresunspor,Menemenspor,2019-08-16,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,4,7,5,8,8,5,13,1. Lig - Turkey,3083177
Balıkesirspor,BB Erzurumspor,2019-08-24,2,1,3,y,1,0,0,1,1,1,1,1,1,2,4,2,6,4,5,5,4,9,1. Lig - Turkey,3083178
Altınordu,Fatih Karagümrük,2019-08-24,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,4,6,6,5,5,6,11,1. Lig - Turkey,3083179
Bursaspor,Akhisarspor,2019-08-25,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,5,6,2,5,5,2,7,1. Lig - Turkey,3083180
Adanaspor,Eskişehirspor,2019-08-25,3,2,5,y,1,1,1,1,2,2,1,1,2,3,3,4,7,6,6,6,6,12,1. Lig - Turkey,3083181
Boluspor,Adana Demirspor,2019-08-23,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,3,8,8,3,11,1. Lig - Turkey,3083182
İstanbulspor,Altay,2019-08-26,2,2,4,y,1,2,2,1,3,1,0,0,1,1,3,2,5,6,5,5,6,11,1. Lig - Turkey,3083183
Ümraniyespor,Giresunspor,2019-08-25,4,1,5,y,2,0,0,2,2,2,1,1,2,3,4,3,7,2,10,10,2,12,1. Lig - Turkey,3083184
Keçiörengücü,Osmanlıspor,2019-08-24,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,3,4,3,3,3,3,6,1. Lig - Turkey,3083185
Menemenspor,Hatayspor,2019-08-25,0,4,4,n,0,1,1,0,1,0,3,3,0,3,4,0,4,7,4,4,7,11,1. Lig - Turkey,3083186
Giresunspor,Hatayspor,2019-09-01,2,2,4,y,1,0,0,1,1,1,2,2,1,3,6,3,9,3,3,3,3,6,1. Lig - Turkey,3083187
BB Erzurumspor,Boluspor,2019-08-31,1,0,1,n,0,0,0,0,0,1,0,0,1,1,5,1,6,7,1,1,7,8,1. Lig - Turkey,3083188
Eskişehirspor,Bursaspor,2019-09-01,0,2,2,n,0,0,0,0,0,0,2,2,0,2,1,3,4,6,0,0,6,6,1. Lig - Turkey,3083189
Altay,Balıkesirspor,2019-08-31,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,1,1,6,2,2,6,8,1. Lig - Turkey,3083190
Adana Demirspor,Keçiörengücü,2019-09-01,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,3,5,4,4,4,4,8,1. Lig - Turkey,3083191
Osmanlıspor,Adanaspor,2019-08-30,2,2,4,y,1,0,0,1,1,1,2,2,1,3,5,4,9,8,4,4,8,12,1. Lig - Turkey,3083192
Fatih Karagümrük,Menemenspor,2019-09-01,1,1,2,y,0,0,0,0,0,1,1,1,1,2,4,4,8,4,2,2,4,6,1. Lig - Turkey,3083193
