Stuttgart,Hannover 96,2019-07-26,2,1,3,y,2,1,1,2,3,0,0,0,0,0,6,3,9,4,3,3,4,7,2. Bundesliga - Germany,3047327
Hamburger SV,Darmstadt 98,2019-07-28,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,4,6,7,2,2,7,9,2. Bundesliga - Germany,3047328
Holstein Kiel,Sandhausen,2019-07-27,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,4,4,5,7,7,5,12,2. Bundesliga - Germany,3047329
Arminia Bielefeld,St. Pauli,2019-07-29,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,2,4,8,0,0,8,8,2. Bundesliga - Germany,3047330
Jahn Regensburg,Bochum,2019-07-28,3,1,4,y,1,0,0,1,1,2,1,1,2,3,2,2,4,5,3,3,5,8,2. Bundesliga - Germany,3047331
Dynamo Dresden,Nürnberg,2019-07-27,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,2,4,12,1,1,12,13,2. Bundesliga - Germany,3047332
Greuther Fürth,Erzgebirge Aue,2019-07-28,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,4,5,9,2,2,9,11,2. Bundesliga - Germany,3047333
Osnabrück,Heidenheim,2019-07-27,1,3,4,y,0,0,0,0,0,1,3,3,1,4,2,1,3,6,6,6,6,12,2. Bundesliga - Germany,3047334
Wehen Wiesbaden,Karlsruher SC,2019-07-28,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,2,4,5,4,4,5,9,2. Bundesliga - Germany,3047335
Hannover 96,Jahn Regensburg,2019-08-03,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,2,3,8,1,1,8,9,2. Bundesliga - Germany,3047336
Nürnberg,Hamburger SV,2019-08-05,0,4,4,n,0,2,2,0,2,0,2,2,0,2,1,1,2,4,3,3,4,7,2. Bundesliga - Germany,3047337
Heidenheim,Stuttgart,2019-08-04,2,2,4,y,0,0,0,0,0,2,2,2,2,4,0,1,1,3,10,10,3,13,2. Bundesliga - Germany,3047338
St. Pauli,Greuther Fürth,2019-08-02,1,3,4,y,1,2,2,1,3,0,1,1,0,1,0,1,1,7,1,1,7,8,2. Bundesliga - Germany,3047339
Darmstadt 98,Holstein Kiel,2019-08-04,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,1,1,4,15,15,4,19,2. Bundesliga - Germany,3047340
Bochum,Arminia Bielefeld,2019-08-02,3,3,6,y,0,0,0,0,0,3,3,3,3,6,3,2,5,4,5,5,4,9,2. Bundesliga - Germany,3047341
Erzgebirge Aue,Wehen Wiesbaden,2019-08-04,3,2,5,y,2,1,1,2,3,1,1,1,1,2,4,5,9,1,5,5,1,6,2. Bundesliga - Germany,3047342
Sandhausen,Osnabrück,2019-08-02,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,1,5,5,2,2,5,7,2. Bundesliga - Germany,3047343
Karlsruher SC,Dynamo Dresden,2019-08-03,4,2,6,y,1,1,1,1,2,3,1,1,3,4,1,3,4,4,6,6,4,10,2. Bundesliga - Germany,3047344
Stuttgart,St. Pauli,2019-08-17,2,1,3,y,0,1,1,0,1,2,0,0,2,2,0,2,2,4,9,9,4,13,2. Bundesliga - Germany,3047345
Hamburger SV,Bochum,2019-08-16,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,14,0,0,14,14,2. Bundesliga - Germany,3047346
Holstein Kiel,Karlsruher SC,2019-08-18,2,1,3,y,1,1,1,1,2,1,0,0,1,1,1,2,3,6,3,3,6,9,2. Bundesliga - Germany,3047347
Arminia Bielefeld,Erzgebirge Aue,2019-08-17,3,1,4,y,1,0,0,1,1,2,1,1,2,3,1,3,4,9,1,1,9,10,2. Bundesliga - Germany,3047348
Dynamo Dresden,Heidenheim,2019-08-18,2,1,3,y,0,0,0,0,0,2,1,1,2,3,0,1,1,5,6,6,5,11,2. Bundesliga - Germany,3047349
Greuther Fürth,Jahn Regensburg,2019-08-18,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,2,2,5,3,3,5,8,2. Bundesliga - Germany,3047350
Sandhausen,Nürnberg,2019-08-16,3,2,5,y,2,1,1,2,3,1,1,1,1,2,3,3,6,3,6,6,3,9,2. Bundesliga - Germany,3047351
Osnabrück,Darmstadt 98,2019-08-19,4,0,4,n,1,0,0,1,1,3,0,0,3,3,3,4,7,3,6,6,3,9,2. Bundesliga - Germany,3047352
Wehen Wiesbaden,Hannover 96,2019-08-17,0,3,3,n,0,1,1,0,1,0,2,2,0,2,4,1,5,4,6,6,4,10,2. Bundesliga - Germany,3047353
Hannover 96,Greuther Fürth,2019-08-24,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,4,7,4,6,6,4,10,2. Bundesliga - Germany,3047354
Nürnberg,Osnabrück,2019-08-25,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,2,4,14,1,1,14,15,2. Bundesliga - Germany,3047355
Heidenheim,Sandhausen,2019-08-25,0,2,2,n,0,0,0,0,0,0,2,2,0,2,1,0,1,8,5,5,8,13,2. Bundesliga - Germany,3047356
Jahn Regensburg,Arminia Bielefeld,2019-08-24,1,3,4,y,0,1,1,0,1,1,2,2,1,3,4,1,5,5,7,7,5,12,2. Bundesliga - Germany,3047357
St. Pauli,Holstein Kiel,2019-08-26,2,1,3,y,0,0,0,0,0,2,1,1,2,3,4,3,7,6,6,6,6,12,2. Bundesliga - Germany,3047358
Darmstadt 98,Dynamo Dresden,2019-08-23,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,8,2. Bundesliga - Germany,3047359
Bochum,Wehen Wiesbaden,2019-08-24,3,3,6,y,0,3,3,0,3,3,0,0,3,3,4,1,5,7,3,3,7,10,2. Bundesliga - Germany,3047360
Erzgebirge Aue,Stuttgart,2019-08-23,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,6,7,2,7,7,2,9,2. Bundesliga - Germany,3047361
Karlsruher SC,Hamburger SV,2019-08-25,2,4,6,y,0,2,2,0,2,2,2,2,2,4,2,3,5,5,2,2,5,7,2. Bundesliga - Germany,3047362
Stuttgart,Bochum,2019-09-02,2,1,3,y,1,1,1,1,2,1,0,0,1,1,0,1,1,3,6,6,3,9,2. Bundesliga - Germany,3047363
Nürnberg,Heidenheim,2019-08-30,2,2,4,y,1,0,0,1,1,1,2,2,1,3,2,3,5,8,7,7,8,15,2. Bundesliga - Germany,3047364
Hamburger SV,Hannover 96,2019-09-01,3,0,3,n,1,0,0,1,1,2,0,0,2,2,0,0,0,4,3,3,4,7,2. Bundesliga - Germany,3047365
Holstein Kiel,Erzgebirge Aue,2019-09-01,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,3,6,6,8,8,6,14,2. Bundesliga - Germany,3047366
Arminia Bielefeld,Greuther Fürth,2019-08-31,2,2,4,y,1,2,2,1,3,1,0,0,1,1,0,3,3,10,3,3,10,13,2. Bundesliga - Germany,3047367
Dynamo Dresden,St. Pauli,2019-08-31,3,3,6,y,1,3,3,1,4,2,0,0,2,2,2,2,4,4,9,9,4,13,2. Bundesliga - Germany,3047368
Sandhausen,Darmstadt 98,2019-08-30,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,5,7,7,7,7,7,14,2. Bundesliga - Germany,3047369
Osnabrück,Karlsruher SC,2019-09-01,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,3,5,8,6,6,8,14,2. Bundesliga - Germany,3047370
Wehen Wiesbaden,Jahn Regensburg,2019-08-31,0,5,5,n,0,2,2,0,2,0,3,3,0,3,1,0,1,7,5,5,7,12,2. Bundesliga - Germany,3047371
Hannover 96,Arminia Bielefeld,2019-09-14,0,2,2,n,0,1,1,0,1,0,1,1,0,1,5,1,6,6,2,2,6,8,2. Bundesliga - Germany,3047372
Heidenheim,Holstein Kiel,2019-09-14,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,1,2,5,8,8,5,13,2. Bundesliga - Germany,3047373
Jahn Regensburg,Stuttgart,2019-09-14,2,3,5,y,0,1,1,0,1,2,2,2,2,4,4,0,4,7,12,12,7,19,2. Bundesliga - Germany,3047374
St. Pauli,Hamburger SV,2019-09-16,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,2,4,4,8,8,4,12,2. Bundesliga - Germany,3047375
Darmstadt 98,Nürnberg,2019-09-15,3,3,6,y,1,2,2,1,3,2,1,1,2,3,1,1,2,5,8,8,5,13,2. Bundesliga - Germany,3047376
