1860 München,Preußen Münster,2019-07-19,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,2,6,5,1,1,5,6,3. Liga - Germany,3053138
Würzburger Kickers,Bayern München II,2019-07-20,3,1,4,y,1,0,0,1,1,2,1,1,2,3,3,2,5,5,4,4,5,9,3. Liga - Germany,3053139
Kaiserslautern,Unterhaching,2019-07-20,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,3,6,4,1,1,4,5,3. Liga - Germany,3053140
MSV Duisburg,Sonnenhof Großaspach,2019-07-20,4,1,5,y,1,1,1,1,2,3,0,0,3,3,0,0,0,3,5,5,3,8,3. Liga - Germany,3053141
Meppen,Zwickau,2019-07-20,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,4,6,10,6,6,10,16,3. Liga - Germany,3053142
Hansa Rostock,Viktoria Köln,2019-07-20,3,3,6,y,3,1,1,3,4,0,2,2,0,2,1,0,1,2,5,5,2,7,3. Liga - Germany,3053143
Magdeburg,Eintracht Braunschweig,2019-07-20,2,4,6,y,1,3,3,1,4,1,1,1,1,2,3,3,6,5,5,5,5,10,3. Liga - Germany,3053144
Chemnitzer FC,Waldhof Mannheim,2019-07-21,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,2,2,9,3,3,9,12,3. Liga - Germany,3053145
Uerdingen,Hallescher FC,2019-07-21,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,4,8,1,15,15,1,16,3. Liga - Germany,3053146
Carl Zeiss Jena,Ingolstadt,2019-07-22,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,2,4,3,5,5,3,8,3. Liga - Germany,3053147
Zwickau,Magdeburg,2019-07-28,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,5,4,4,5,9,3. Liga - Germany,3053148
Eintracht Braunschweig,1860 München,2019-07-27,2,1,3,y,1,1,1,1,2,1,0,0,1,1,4,7,11,3,5,5,3,8,3. Liga - Germany,3053149
Preußen Münster,Carl Zeiss Jena,2019-07-27,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,2,4,8,7,7,8,15,3. Liga - Germany,3053150
