Rapid Wien,Salzburg,2019-07-26,0,2,2,n,0,1,1,0,1,0,1,1,0,1,0,0,0,3,4,4,3,7,Bundesliga - Austria,3034837
Admira,Wolfsberger AC,2019-07-27,0,3,3,n,0,1,1,0,1,0,2,2,0,2,3,3,6,3,5,5,3,8,Bundesliga - Austria,3034838
Swarovski Tirol,Austria Wien,2019-07-27,3,1,4,y,1,0,0,1,1,2,1,1,2,3,0,2,2,10,7,7,10,17,Bundesliga - Austria,3034839
Mattersburg,Hartberg,2019-07-28,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,3,4,6,9,9,6,15,Bundesliga - Austria,3034840
Sturm Graz,St. Pölten,2019-07-28,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,3,5,6,3,3,6,9,Bundesliga - Austria,3034841
LASK,Rheindorf Altach,2019-07-28,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,2,3,8,4,4,8,12,Bundesliga - Austria,3034842
Austria Wien,LASK,2019-08-03,0,3,3,n,0,1,1,0,1,0,2,2,0,2,1,2,3,2,4,4,2,6,Bundesliga - Austria,3034843
Rheindorf Altach,Swarovski Tirol,2019-08-03,3,2,5,y,2,2,2,2,4,1,0,0,1,1,2,3,5,6,2,2,6,8,Bundesliga - Austria,3034844
Hartberg,Admira,2019-08-03,4,1,5,y,2,0,0,2,2,2,1,1,2,3,2,3,5,4,5,5,4,9,Bundesliga - Austria,3034845
Salzburg,Mattersburg,2019-08-04,4,1,5,y,3,0,0,3,3,1,1,1,1,2,4,2,6,11,2,2,11,13,Bundesliga - Austria,3034846
Wolfsberger AC,Sturm Graz,2019-08-04,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,3,5,11,0,0,11,11,Bundesliga - Austria,3034847
St. Pölten,Rapid Wien,2019-08-04,2,2,4,y,1,1,1,1,2,1,1,1,1,2,3,4,7,5,8,8,5,13,Bundesliga - Austria,3034848
Salzburg,Wolfsberger AC,2019-08-10,5,2,7,y,2,1,1,2,3,3,1,1,3,4,2,2,4,5,8,8,5,13,Bundesliga - Austria,3034849
Rapid Wien,Rheindorf Altach,2019-08-10,2,1,3,y,2,1,1,2,3,0,0,0,0,0,1,3,4,3,2,2,3,5,Bundesliga - Austria,3034850
Admira,LASK,2019-08-10,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,1,4,4,6,6,4,10,Bundesliga - Austria,3034851
Mattersburg,Austria Wien,2019-08-11,1,5,6,y,0,2,2,0,2,1,3,3,1,4,1,1,2,6,4,4,6,10,Bundesliga - Austria,3034852
Hartberg,Sturm Graz,2019-08-11,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,4,8,4,6,6,4,10,Bundesliga - Austria,3034853
Swarovski Tirol,St. Pölten,2019-08-11,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,2,5,4,5,5,4,9,Bundesliga - Austria,3034854
LASK,Swarovski Tirol,2019-08-17,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,3,4,9,7,7,9,16,Bundesliga - Austria,3034855
Wolfsberger AC,Mattersburg,2019-08-17,5,0,5,n,2,0,0,2,2,3,0,0,3,3,0,1,1,14,3,3,14,17,Bundesliga - Austria,3034856
St. Pölten,Salzburg,2019-08-17,0,6,6,n,0,2,2,0,2,0,4,4,0,4,4,2,6,6,6,6,6,12,Bundesliga - Austria,3034857
Austria Wien,Admira,2019-08-18,1,1,2,y,1,0,0,1,1,0,1,1,0,1,4,4,8,4,6,6,4,10,Bundesliga - Austria,3034858
Sturm Graz,Rapid Wien,2019-08-18,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,0,1,4,2,2,4,6,Bundesliga - Austria,3034859
