Bayern Munich,Hertha BSC,2019-08-16,2,2,4,y,1,2,2,1,3,1,0,0,1,1,3,3,6,12,0,0,12,12,Bundesliga - Germany,3047020
Borussia Dortmund,Augsburg,2019-08-17,5,1,6,y,1,1,1,1,2,4,0,0,4,4,0,0,0,10,0,0,10,10,Bundesliga - Germany,3047021
Bayer Leverkusen,Paderborn,2019-08-17,3,2,5,y,2,2,2,2,4,1,0,0,1,1,2,0,2,6,6,6,6,12,Bundesliga - Germany,3047022
Borussia M'gladbach,Schalke 04,2019-08-17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,2,5,8,3,3,8,11,Bundesliga - Germany,3047023
Wolfsburg,Köln,2019-08-17,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,3,4,2,6,6,2,8,Bundesliga - Germany,3047024
Eintracht Frankfurt,Hoffenheim,2019-08-18,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,1,4,10,5,5,10,15,Bundesliga - Germany,3047025
Werder Bremen,Fortuna Dusseldorf,2019-08-17,1,3,4,y,0,1,1,0,1,1,2,2,1,3,0,2,2,14,5,5,14,19,Bundesliga - Germany,3047026
Freiburg,Mainz 05,2019-08-17,3,0,3,n,0,0,0,0,0,3,0,0,3,3,1,3,4,5,5,5,5,10,Bundesliga - Germany,3047027
Union Berlin,RB Leipzig,2019-08-18,0,4,4,n,0,3,3,0,3,0,1,1,0,1,1,0,1,3,6,6,3,9,Bundesliga - Germany,3047028
RB Leipzig,Eintracht Frankfurt,2019-08-25,2,1,3,y,1,0,0,1,1,1,1,1,1,2,2,3,5,4,1,1,4,5,Bundesliga - Germany,3047029
Hoffenheim,Werder Bremen,2019-08-24,3,2,5,y,0,1,1,0,1,3,1,1,3,4,2,5,7,3,6,6,3,9,Bundesliga - Germany,3047030
Fortuna Dusseldorf,Bayer Leverkusen,2019-08-24,1,3,4,y,0,3,3,0,3,1,0,0,1,1,3,2,5,1,5,5,1,6,Bundesliga - Germany,3047031
Hertha BSC,Wolfsburg,2019-08-25,0,3,3,n,0,1,1,0,1,0,2,2,0,2,1,0,1,2,5,5,2,7,Bundesliga - Germany,3047032
Mainz 05,Borussia M'gladbach,2019-08-24,1,3,4,y,1,1,1,1,2,0,2,2,0,2,2,2,4,3,5,5,3,8,Bundesliga - Germany,3047033
Schalke 04,Bayern Munich,2019-08-24,0,3,3,n,0,1,1,0,1,0,2,2,0,2,0,0,0,3,4,4,3,7,Bundesliga - Germany,3047034
Augsburg,Union Berlin,2019-08-24,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,2,5,3,4,4,3,7,Bundesliga - Germany,3047035
Köln,Borussia Dortmund,2019-08-23,1,3,4,y,1,0,0,1,1,0,3,3,0,3,2,1,3,7,8,8,7,15,Bundesliga - Germany,3047036
Paderborn,Freiburg,2019-08-24,1,3,4,y,1,2,2,1,3,0,1,1,0,1,3,1,4,9,5,5,9,14,Bundesliga - Germany,3047037
Bayern Munich,Mainz 05,2019-08-31,6,1,7,y,2,1,1,2,3,4,0,0,4,4,3,3,6,10,1,1,10,11,Bundesliga - Germany,3047038
Bayer Leverkusen,Hoffenheim,2019-08-31,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,19,0,0,19,19,Bundesliga - Germany,3047039
