Shandong Luneng,Beijing Renhe,1,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,CSL - China-pr,2979871
Guangzhou Evergrande,Tianjin Tianhai,1,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,CSL - China-pr,2979872
Shanghai Shenhua,Shanghai SIPG,1,0,4,4,n,0,1,1,0,1,0,3,3,0,3,4,1,5,3,6,6,3,9,CSL - China-pr,2979873
Wuhan Zall,Beijing Guoan,1,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,1,1,-1,-1,-1,-1,-1,CSL - China-pr,2979874
Chongqing Dangdai Lifan,Guangzhou R&F,1,2,2,4,y,1,0,0,1,1,1,2,2,1,3,2,3,5,-1,-1,-1,-1,-1,CSL - China-pr,2979875
Shenzhen,Hebei CFFC,1,3,1,4,y,1,1,1,1,2,2,0,0,2,2,2,2,4,0,12,12,0,12,CSL - China-pr,2979876
Henan Jianye,Dalian Yifang,1,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,3,4,-1,-1,-1,-1,-1,CSL - China-pr,2979877
Jiangsu Suning,Tianjin Teda,1,3,2,5,y,1,0,0,1,1,2,2,2,2,4,1,4,5,-1,-1,-1,-1,-1,CSL - China-pr,2979878
Guangzhou Evergrande,Tianjin Teda,2,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,5,7,2,1,1,2,3,CSL - China-pr,2979879
Shandong Luneng,Henan Jianye,2,2,2,4,y,1,1,1,1,2,1,1,1,1,2,0,2,2,-1,-1,-1,-1,-1,CSL - China-pr,2979880
Guangzhou R&F,Dalian Yifang,2,3,3,6,y,1,1,1,1,2,2,2,2,2,4,3,1,4,-1,-1,-1,-1,-1,CSL - China-pr,2979881
Chongqing Dangdai Lifan,Beijing Guoan,2,0,4,4,n,0,3,3,0,3,0,1,1,0,1,0,3,3,-1,-1,-1,-1,-1,CSL - China-pr,2979882
