Luton Town,Middlesbrough,2019-08-02,3,3,6,y,2,2,2,2,4,1,1,1,1,2,2,2,4,8,11,11,8,19,Championship - England,3035402
Barnsley,Fulham,2019-08-03,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,1,4,7,5,5,7,12,Championship - England,3035405
Blackburn Rovers,Charlton Athletic,2019-08-03,1,2,3,y,0,1,1,0,1,1,1,1,1,2,0,3,3,-1,-1,-1,-1,-1,Championship - England,3035407
Brentford,Birmingham City,2019-08-03,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,3,4,-1,-1,-1,-1,-1,Championship - England,3035409
Millwall,Preston North End,2019-08-03,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,3,5,-1,-1,-1,-1,-1,Championship - England,3035411
Nottingham Forest,West Bromwich Albion,2019-08-03,1,2,3,y,1,2,2,1,3,0,0,0,0,0,0,1,1,9,5,5,9,14,Championship - England,3035413
Reading,Sheffield Wednesday,2019-08-03,1,3,4,y,0,1,1,0,1,1,2,2,1,3,0,4,4,-1,-1,-1,-1,-1,Championship - England,3035415
Stoke City,Queens Park Rangers,2019-08-03,1,2,3,y,0,1,1,0,1,1,1,1,1,2,1,3,4,-1,-1,-1,-1,-1,Championship - England,3035417
Swansea City,Hull City,2019-08-03,2,1,3,y,0,1,1,0,1,2,0,0,2,2,3,2,5,-1,-1,-1,-1,-1,Championship - England,3035420
Wigan Athletic,Cardiff City,2019-08-03,3,2,5,y,0,1,1,0,1,3,1,1,3,4,2,4,6,-1,-1,-1,-1,-1,Championship - England,3035422
Bristol City,Leeds United,2019-08-04,1,3,4,y,0,1,1,0,1,1,2,2,1,3,3,2,5,4,6,6,4,10,Championship - England,3035424
Huddersfield Town,Derby County,2019-08-05,1,2,3,y,1,2,2,1,3,0,0,0,0,0,0,0,0,8,0,0,8,8,Championship - England,3035426
Birmingham City,Bristol City,2019-08-10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,-1,-1,-1,-1,-1,Championship - England,3035428
Cardiff City,Luton Town,2019-08-10,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,2,4,-1,-1,-1,-1,-1,Championship - England,3035430
Charlton Athletic,Stoke City,2019-08-10,3,1,4,y,1,1,1,1,2,2,0,0,2,2,0,0,0,-1,-1,-1,-1,-1,Championship - England,3035432
Derby County,Swansea City,2019-08-10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,Championship - England,3035434
Fulham,Blackburn Rovers,2019-08-10,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,2,2,-1,-1,-1,-1,-1,Championship - England,3035436
Hull City,Reading,2019-08-10,2,1,3,y,2,0,0,2,2,0,1,1,0,1,2,2,4,-1,-1,-1,-1,-1,Championship - England,3035438
Leeds United,Nottingham Forest,2019-08-10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,2,4,10,3,3,10,13,Championship - England,3035440
Middlesbrough,Brentford,2019-08-10,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,1,1,-1,-1,-1,-1,-1,Championship - England,3035442
Preston North End,Wigan Athletic,2019-08-10,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,2,3,-1,-1,-1,-1,-1,Championship - England,3035444
Queens Park Rangers,Huddersfield Town,2019-08-10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,5,7,7,0,0,7,7,Championship - England,3035446
Sheffield Wednesday,Barnsley,2019-08-10,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,Championship - England,3035448
West Bromwich Albion,Millwall,2019-08-10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,2,3,-1,-1,-1,-1,-1,Championship - England,3035450
Barnsley,Charlton Athletic,2019-08-17,2,2,4,y,1,1,1,1,2,1,1,1,1,2,4,3,7,-1,-1,-1,-1,-1,Championship - England,3035452
Blackburn Rovers,Middlesbrough,2019-08-17,1,0,1,n,1,0,0,1,1,0,0,0,0,0,5,3,8,-1,-1,-1,-1,-1,Championship - England,3035454
Brentford,Hull City,2019-08-17,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,1,2,-1,-1,-1,-1,-1,Championship - England,3035456
Bristol City,Queens Park Rangers,2019-08-17,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,2,4,-1,-1,-1,-1,-1,Championship - England,3035458
Huddersfield Town,Fulham,2019-08-16,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,2,4,5,5,5,5,10,Championship - England,3035460
Luton Town,West Bromwich Albion,2019-08-17,1,2,3,y,1,0,0,1,1,0,2,2,0,2,2,1,3,-1,-1,-1,-1,-1,Championship - England,3035462
Millwall,Sheffield Wednesday,2019-08-17,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,Championship - England,3035464
Nottingham Forest,Birmingham City,2019-08-17,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,2,2,3,6,6,3,9,Championship - England,3035466
Reading,Cardiff City,2019-08-18,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,2,3,4,2,2,4,6,Championship - England,3035468
Stoke City,Derby County,2019-08-17,2,2,4,y,1,1,1,1,2,1,1,1,1,2,3,3,6,-1,-1,-1,-1,-1,Championship - England,3035470
Swansea City,Preston North End,2019-08-17,3,2,5,y,1,1,1,1,2,2,1,1,2,3,0,1,1,-1,-1,-1,-1,-1,Championship - England,3035472
Wigan Athletic,Leeds United,2019-08-17,0,2,2,n,0,1,1,0,1,0,1,1,0,1,5,2,7,-1,-1,-1,-1,-1,Championship - England,3035474
Birmingham City,Barnsley,2019-08-20,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,1,2,-1,-1,-1,-1,-1,Championship - England,3035476
Derby County,Bristol City,2019-08-20,1,2,3,y,0,2,2,0,2,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,Championship - England,3035477
Hull City,Blackburn Rovers,2019-08-20,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,1,5,1,8,8,1,9,Championship - England,3035479
Middlesbrough,Wigan Athletic,2019-08-20,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,2,4,-1,-1,-1,-1,-1,Championship - England,3035481
Sheffield Wednesday,Luton Town,2019-08-20,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,Championship - England,3035483
Cardiff City,Huddersfield Town,2019-08-21,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,1,2,-1,-1,-1,-1,-1,Championship - England,3035485
Charlton Athletic,Nottingham Forest,2019-08-21,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,3,6,-1,-1,-1,-1,-1,Championship - England,3035487
