Alloa Athletic,Partick Thistle,2019-08-03,1,1,2,y,1,0,0,1,1,0,1,1,0,1,0,1,1,-1,-1,-1,-1,-1,Championship - Scotland,3038559
Arbroath,Queen of the South,2019-08-03,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,Championship - Scotland,3038560
Ayr United,Greenock Morton,2019-08-03,4,2,6,y,1,0,0,1,1,3,2,2,3,5,1,2,3,-1,-1,-1,-1,-1,Championship - Scotland,3038561
Dundee United,Inverness CT,2019-08-03,4,1,5,y,2,1,1,2,3,2,0,0,2,2,0,2,2,-1,-1,-1,-1,-1,Championship - Scotland,3038562
Dunfermline Athletic,Dundee,2019-08-02,2,2,4,y,2,1,1,2,3,0,1,1,0,1,3,1,4,10,4,4,10,14,Championship - Scotland,3038563
Dundee,Ayr United,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,3,3,-1,-1,-1,-1,-1,Championship - Scotland,3038564
Inverness CT,Arbroath,2019-08-10,2,1,3,y,1,1,1,1,2,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,Championship - Scotland,3038565
Greenock Morton,Alloa Athletic,2019-08-10,4,1,5,y,1,1,1,1,2,3,0,0,3,3,2,6,8,-1,-1,-1,-1,-1,Championship - Scotland,3038566
Partick Thistle,Dundee United,2019-08-09,1,2,3,y,1,0,0,1,1,0,2,2,0,2,0,1,1,4,8,8,4,12,Championship - Scotland,3038567
Queen of the South,Dunfermline Athletic,2019-08-10,1,1,2,y,0,1,1,0,1,1,0,0,1,1,5,0,5,-1,-1,-1,-1,-1,Championship - Scotland,3038568
Alloa Athletic,Arbroath,2019-08-24,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,2,6,-1,-1,-1,-1,-1,Championship - Scotland,3038569
Ayr United,Queen of the South,2019-08-24,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,Championship - Scotland,3038570
Dundee,Inverness CT,2019-08-24,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,-1,-1,-1,-1,-1,Championship - Scotland,3038571
Dunfermline Athletic,Dundee United,2019-08-24,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,3,4,-1,-1,-1,-1,-1,Championship - Scotland,3038572
Greenock Morton,Partick Thistle,2019-08-23,3,2,5,y,0,2,2,0,2,3,0,0,3,3,1,2,3,5,4,4,5,9,Championship - Scotland,3038573
Arbroath,Dunfermline Athletic,2019-08-31,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,Championship - Scotland,3038574
Dundee United,Dundee,2019-08-30,6,2,8,y,4,1,1,4,5,2,1,1,2,3,1,2,3,5,6,6,5,11,Championship - Scotland,3038575
Inverness CT,Greenock Morton,2019-08-30,5,0,5,n,1,0,0,1,1,4,0,0,4,4,1,2,3,8,7,7,8,15,Championship - Scotland,3038576
Partick Thistle,Ayr United,2019-08-31,2,3,5,y,2,1,1,2,3,0,2,2,0,2,3,1,4,-1,-1,-1,-1,-1,Championship - Scotland,3038577
Queen of the South,Alloa Athletic,2019-08-31,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,2,2,-1,-1,-1,-1,-1,Championship - Scotland,3038578
Arbroath,Partick Thistle,2019-09-13,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,2,3,9,6,6,9,15,Championship - Scotland,3038579
Ayr United,Dundee United,2019-09-14,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,0,2,-1,-1,-1,-1,-1,Championship - Scotland,3038580
Dundee,Alloa Athletic,2019-09-14,2,1,3,y,2,1,1,2,3,0,0,0,0,0,0,3,3,-1,-1,-1,-1,-1,Championship - Scotland,3038581
Dunfermline Athletic,Inverness CT,2019-09-14,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,1,2,-1,-1,-1,-1,-1,Championship - Scotland,3038582
Queen of the South,Greenock Morton,2019-09-14,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,3,4,-1,-1,-1,-1,-1,Championship - Scotland,3038583
Alloa Athletic,Ayr United,2019-09-21,1,4,5,y,0,4,4,0,4,1,0,0,1,1,1,0,1,-1,-1,-1,-1,-1,Championship - Scotland,3038584
Dundee United,Arbroath,2019-09-21,2,1,3,y,0,0,0,0,0,2,1,1,2,3,4,4,8,-1,-1,-1,-1,-1,Championship - Scotland,3038585
Inverness CT,Queen of the South,2019-09-21,2,0,2,n,2,0,0,2,2,0,0,0,0,0,0,2,2,-1,-1,-1,-1,-1,Championship - Scotland,3038586
Greenock Morton,Dundee,2019-09-21,1,0,1,n,1,0,0,1,1,0,0,0,0,0,0,3,3,-1,-1,-1,-1,-1,Championship - Scotland,3038587
Partick Thistle,Dunfermline Athletic,2019-09-21,0,3,3,n,0,2,2,0,2,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,Championship - Scotland,3038588
Arbroath,Ayr United,2019-09-28,0,3,3,n,0,3,3,0,3,0,0,0,0,0,1,0,1,-1,-1,-1,-1,-1,Championship - Scotland,3038589
Dundee United,Greenock Morton,2019-09-28,6,0,6,n,3,0,0,3,3,3,0,0,3,3,1,1,2,-1,-1,-1,-1,-1,Championship - Scotland,3038590
Dunfermline Athletic,Alloa Athletic,2019-09-28,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,-1,-1,-1,-1,-1,Championship - Scotland,3038591
Inverness CT,Partick Thistle,2019-09-28,1,3,4,y,1,1,1,1,2,0,2,2,0,2,0,3,3,-1,-1,-1,-1,-1,Championship - Scotland,3038592
Queen of the South,Dundee,2019-09-27,1,1,2,y,1,1,1,1,2,0,0,0,0,0,3,2,5,1,7,7,1,8,Championship - Scotland,3038593
Alloa Athletic,Dundee United,2019-10-04,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,0,3,1,13,13,1,14,Championship - Scotland,3038594
Ayr United,Inverness CT,2019-10-05,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,3,5,-1,-1,-1,-1,-1,Championship - Scotland,3038595
Dundee,Arbroath,2019-10-05,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,3,6,-1,-1,-1,-1,-1,Championship - Scotland,3038596
Greenock Morton,Dunfermline Athletic,2019-10-05,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,1,4,-1,-1,-1,-1,-1,Championship - Scotland,3038597
Partick Thistle,Queen of the South,2019-10-05,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,0,1,-1,-1,-1,-1,-1,Championship - Scotland,3038598
Arbroath,Greenock Morton,2019-10-19,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,Championship - Scotland,3038599
Dundee,Partick Thistle,2019-10-19,1,3,4,y,1,0,0,1,1,0,3,3,0,3,0,3,3,-1,-1,-1,-1,-1,Championship - Scotland,3038600
Dunfermline Athletic,Ayr United,2019-10-19,3,2,5,y,1,1,1,1,2,2,1,1,2,3,1,4,5,-1,-1,-1,-1,-1,Championship - Scotland,3038601
Inverness CT,Alloa Athletic,2019-10-19,2,2,4,y,0,1,1,0,1,2,1,1,2,3,2,1,3,-1,-1,-1,-1,-1,Championship - Scotland,3038602
Queen of the South,Dundee United,2019-10-19,4,0,4,n,2,0,0,2,2,2,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,Championship - Scotland,3038603
Alloa Athletic,Queen of the South,2019-10-26,2,2,4,y,0,2,2,0,2,2,0,0,2,2,2,0,2,-1,-1,-1,-1,-1,Championship - Scotland,3038604
Ayr United,Dundee,2019-10-25,1,2,3,y,1,2,2,1,3,0,0,0,0,0,4,1,5,-1,-1,-1,-1,-1,Championship - Scotland,3038605
Dundee United,Dunfermline Athletic,2019-10-26,2,0,2,n,2,0,0,2,2,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,Championship - Scotland,3038606
Greenock Morton,Inverness CT,2019-10-26,2,1,3,y,1,1,1,1,2,1,0,0,1,1,0,2,2,-1,-1,-1,-1,-1,Championship - Scotland,3038607
Partick Thistle,Arbroath,2019-10-26,1,3,4,y,0,1,1,0,1,1,2,2,1,3,1,2,3,-1,-1,-1,-1,-1,Championship - Scotland,3038608
Alloa Athletic,Dundee,2019-10-29,0,3,3,n,0,2,2,0,2,0,1,1,0,1,1,2,3,-1,-1,-1,-1,-1,Championship - Scotland,3038609
Dundee United,Partick Thistle,2019-10-29,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,1,4,-1,-1,-1,-1,-1,Championship - Scotland,3038610
Dunfermline Athletic,Arbroath,2019-10-29,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,4,5,-1,-1,-1,-1,-1,Championship - Scotland,3038611
Greenock Morton,Ayr United,2019-10-29,2,3,5,y,0,0,0,0,0,2,3,3,2,5,1,1,2,-1,-1,-1,-1,-1,Championship - Scotland,3038612
Queen of the South,Inverness CT,2019-10-29,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,2,3,-1,-1,-1,-1,-1,Championship - Scotland,3038613
Arbroath,Alloa Athletic,2019-11-02,2,1,3,y,2,1,1,2,3,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,Championship - Scotland,3038614
Ayr United,Partick Thistle,2019-11-02,4,1,5,y,2,0,0,2,2,2,1,1,2,3,0,0,0,-1,-1,-1,-1,-1,Championship - Scotland,3038615
Dundee,Greenock Morton,2019-11-01,2,1,3,y,0,0,0,0,0,2,1,1,2,3,0,1,1,-1,-1,-1,-1,-1,Championship - Scotland,3038616
Dunfermline Athletic,Queen of the South,2019-11-02,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,3,4,-1,-1,-1,-1,-1,Championship - Scotland,3038617
Inverness CT,Dundee United,2019-11-02,0,3,3,n,0,1,1,0,1,0,2,2,0,2,2,1,3,-1,-1,-1,-1,-1,Championship - Scotland,3038618
Alloa Athletic,Dunfermline Athletic,2019-11-09,2,1,3,y,1,1,1,1,2,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,Championship - Scotland,3038619
Arbroath,Inverness CT,2019-11-09,3,0,3,n,1,0,0,1,1,2,0,0,2,2,0,3,3,-1,-1,-1,-1,-1,Championship - Scotland,3038620
