Sparta Praha,Slovácko,2019-07-14,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,4,5,6,9,9,6,15,Czech Liga - Czech republic,3036786
Zlín,Slavia Praha,2019-07-15,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,0,1,5,3,3,5,8,Czech Liga - Czech republic,3036787
Viktoria Plzen,Sigma Olomouc,2019-07-13,3,1,4,y,1,1,1,1,2,2,0,0,2,2,2,6,8,6,4,4,6,10,Czech Liga - Czech republic,3036788
Baník Ostrava,Slovan Liberec,2019-07-13,1,2,3,y,1,0,0,1,1,0,2,2,0,2,3,4,7,5,3,3,5,8,Czech Liga - Czech republic,3036789
Mladá Boleslav,Karviná,2019-07-14,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,5,6,8,4,4,8,12,Czech Liga - Czech republic,3036790
Příbram,Teplice,2019-07-13,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,2,3,1,5,5,1,6,Czech Liga - Czech republic,3036791
Jablonec,Bohemians 1905,2019-07-12,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,3,4,6,4,4,6,10,Czech Liga - Czech republic,3036792
České Budějovice,Opava,2019-07-14,0,1,1,n,0,1,1,0,1,0,0,0,0,0,0,4,4,11,0,0,11,11,Czech Liga - Czech republic,3036793
Teplice,Slavia Praha,2019-07-21,1,5,6,y,0,3,3,0,3,1,2,2,1,3,3,2,5,2,10,10,2,12,Czech Liga - Czech republic,3036794
Sigma Olomouc,Zlín,2019-07-20,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,3,3,4,2,2,4,6,Czech Liga - Czech republic,3036795
Slovan Liberec,Viktoria Plzen,2019-07-19,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,2,4,1,4,4,1,5,Czech Liga - Czech republic,3036796
Karviná,Baník Ostrava,2019-07-22,1,2,3,y,0,1,1,0,1,1,1,1,1,2,6,5,11,2,1,1,2,3,Czech Liga - Czech republic,3036797
Opava,Příbram,2019-07-20,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,3,4,3,5,5,3,8,Czech Liga - Czech republic,3036798
Bohemians 1905,Mladá Boleslav,2019-07-21,3,0,3,n,3,0,0,3,3,0,0,0,0,0,3,1,4,2,6,6,2,8,Czech Liga - Czech republic,3036799
Sparta Praha,Jablonec,2019-07-20,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,1,2,10,5,5,10,15,Czech Liga - Czech republic,3036800
Slovácko,České Budějovice,2019-07-20,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,4,5,4,3,3,4,7,Czech Liga - Czech republic,3036801
České Budějovice,Sparta Praha,2019-07-29,2,2,4,y,2,0,0,2,2,0,2,2,0,2,5,2,7,4,13,13,4,17,Czech Liga - Czech republic,3036802
Jablonec,Slovácko,2019-07-28,6,0,6,n,1,0,0,1,1,5,0,0,5,5,1,1,2,5,5,5,5,10,Czech Liga - Czech republic,3036803
Příbram,Bohemians 1905,2019-07-27,3,2,5,y,1,0,0,1,1,2,2,2,2,4,2,2,4,5,3,3,5,8,Czech Liga - Czech republic,3036804
Mladá Boleslav,Opava,2019-07-28,4,1,5,y,2,1,1,2,3,2,0,0,2,2,0,2,2,6,4,4,6,10,Czech Liga - Czech republic,3036805
Baník Ostrava,Teplice,2019-07-26,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,2,4,11,3,3,11,14,Czech Liga - Czech republic,3036806
Viktoria Plzen,Karviná,2019-07-27,3,2,5,y,1,0,0,1,1,2,2,2,2,4,1,2,3,10,0,0,10,10,Czech Liga - Czech republic,3036807
Zlín,Slovan Liberec,2019-07-27,2,1,3,y,1,0,0,1,1,1,1,1,1,2,0,3,3,5,1,1,5,6,Czech Liga - Czech republic,3036808
Slavia Praha,Sigma Olomouc,2019-07-28,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,2,4,3,6,6,3,9,Czech Liga - Czech republic,3036809
Sparta Praha,Příbram,2019-08-04,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,4,4,6,10,10,6,16,Czech Liga - Czech republic,3036810
Slovácko,Zlín,2019-08-03,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,5,8,7,3,3,7,10,Czech Liga - Czech republic,3036811
Opava,Baník Ostrava,2019-08-02,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,1,4,12,5,5,12,17,Czech Liga - Czech republic,3036812
Bohemians 1905,Viktoria Plzen,2019-08-03,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,2,2,4,Czech Liga - Czech republic,3036813
Teplice,Mladá Boleslav,2019-09-18,2,0,2,n,2,0,0,2,2,0,0,0,0,0,6,4,10,7,1,1,7,8,Czech Liga - Czech republic,3036814
Karviná,Slavia Praha,2019-08-04,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,7,3,3,7,10,Czech Liga - Czech republic,3036815
Slovan Liberec,Sigma Olomouc,2019-08-03,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,3,7,4,4,4,4,8,Czech Liga - Czech republic,3036816
České Budějovice,Jablonec,2019-08-04,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,0,2,0,5,5,0,5,Czech Liga - Czech republic,3036817
Sigma Olomouc,Karviná,2019-08-10,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,2,4,7,3,3,7,10,Czech Liga - Czech republic,3036818
Slavia Praha,Slovan Liberec,2019-08-10,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,3,5,9,3,3,9,12,Czech Liga - Czech republic,3036819
Zlín,Teplice,2019-08-09,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,3,4,4,3,7,Czech Liga - Czech republic,3036820
Viktoria Plzen,Slovácko,2019-08-11,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,2,3,3,1,1,3,4,Czech Liga - Czech republic,3036821
Baník Ostrava,Bohemians 1905,2019-08-10,4,2,6,y,2,1,1,2,3,2,1,1,2,3,1,2,3,8,1,1,8,9,Czech Liga - Czech republic,3036822
Mladá Boleslav,Sparta Praha,2019-08-11,4,3,7,y,2,1,1,2,3,2,2,2,2,4,1,1,2,8,6,6,8,14,Czech Liga - Czech republic,3036823
Příbram,České Budějovice,2019-08-10,2,0,2,n,2,0,0,2,2,0,0,0,0,0,1,5,6,3,3,3,3,6,Czech Liga - Czech republic,3036824
Jablonec,Opava,2019-08-11,2,1,3,y,0,0,0,0,0,2,1,1,2,3,0,3,3,8,0,0,8,8,Czech Liga - Czech republic,3036825
Karviná,Slovan Liberec,2019-08-18,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,5,7,3,0,0,3,3,Czech Liga - Czech republic,3036826
Bohemians 1905,Sigma Olomouc,2019-08-17,3,2,5,y,0,1,1,0,1,3,1,1,3,4,2,4,6,10,0,0,10,10,Czech Liga - Czech republic,3036827
České Budějovice,Slavia Praha,2019-08-16,0,3,3,n,0,0,0,0,0,0,3,3,0,3,2,2,4,2,11,11,2,13,Czech Liga - Czech republic,3036828
Opava,Zlín,2019-08-17,0,3,3,n,0,1,1,0,1,0,2,2,0,2,5,1,6,6,5,5,6,11,Czech Liga - Czech republic,3036829
Teplice,Viktoria Plzen,2019-08-18,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,4,6,3,7,7,3,10,Czech Liga - Czech republic,3036830
Sparta Praha,Baník Ostrava,2019-08-18,2,0,2,n,2,0,0,2,2,0,0,0,0,0,1,4,5,5,1,1,5,6,Czech Liga - Czech republic,3036831
Jablonec,Mladá Boleslav,2019-08-18,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,2,3,7,7,7,7,14,Czech Liga - Czech republic,3036832
Slovácko,Příbram,2019-08-17,2,0,2,n,0,0,0,0,0,2,0,0,2,2,0,1,1,6,2,2,6,8,Czech Liga - Czech republic,3036833
Slovan Liberec,Sparta Praha,2019-08-25,3,1,4,y,1,0,0,1,1,2,1,1,2,3,4,4,8,4,4,4,4,8,Czech Liga - Czech republic,3036834
Baník Ostrava,Slovácko,2019-08-23,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,5,5,4,4,4,4,8,Czech Liga - Czech republic,3036835
Viktoria Plzen,Opava,2019-08-25,4,0,4,n,2,0,0,2,2,2,0,0,2,2,1,3,4,8,4,4,8,12,Czech Liga - Czech republic,3036836
Slavia Praha,Bohemians 1905,2019-08-24,4,0,4,n,1,0,0,1,1,3,0,0,3,3,3,5,8,6,1,1,6,7,Czech Liga - Czech republic,3036837
Sigma Olomouc,Teplice,2019-08-23,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,3,3,1,2,2,1,3,Czech Liga - Czech republic,3036838
Zlín,Karviná,2019-08-24,1,4,5,y,0,1,1,0,1,1,3,3,1,4,4,0,4,4,1,1,4,5,Czech Liga - Czech republic,3036839
Příbram,Jablonec,2019-08-24,4,0,4,n,2,0,0,2,2,2,0,0,2,2,1,2,3,10,5,5,10,15,Czech Liga - Czech republic,3036840
Mladá Boleslav,České Budějovice,2019-08-25,4,2,6,y,2,2,2,2,4,2,0,0,2,2,2,3,5,7,4,4,7,11,Czech Liga - Czech republic,3036841
Sparta Praha,Sigma Olomouc,2019-09-01,3,3,6,y,1,2,2,1,3,2,1,1,2,3,3,2,5,7,3,3,7,10,Czech Liga - Czech republic,3036842
Slovácko,Mladá Boleslav,2019-08-31,1,1,2,y,1,0,0,1,1,0,1,1,0,1,4,2,6,3,7,7,3,10,Czech Liga - Czech republic,3036843
Opava,Slavia Praha,2019-09-01,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,1,5,6,7,7,6,13,Czech Liga - Czech republic,3036844
Bohemians 1905,Slovan Liberec,2019-08-31,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,3,5,2,0,0,2,2,Czech Liga - Czech republic,3036845
Teplice,Karviná,2019-09-01,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,3,7,7,3,3,7,10,Czech Liga - Czech republic,3036846
