Go Ahead Eagles,MVV,2019-08-09,3,2,5,y,2,1,1,2,3,1,1,1,1,2,0,1,1,5,3,3,5,8,Eerste Divisie - Netherlands,3031673
De Graafschap,Cambuur,2019-08-09,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,3,6,7,2,2,7,9,Eerste Divisie - Netherlands,3031674
NEC,Eindhoven,2019-08-09,1,2,3,y,1,1,1,1,2,0,1,1,0,1,4,3,7,9,0,0,9,9,Eerste Divisie - Netherlands,3031675
Roda JC,Almere City,2019-08-09,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,2,6,4,5,5,4,9,Eerste Divisie - Netherlands,3031676
TOP Oss,Ajax II,2019-08-09,2,1,3,y,1,0,0,1,1,1,1,1,1,2,2,1,3,3,8,8,3,11,Eerste Divisie - Netherlands,3031677
Telstar,AZ II,2019-12-22,3,1,4,y,1,0,0,1,1,2,1,1,2,3,1,1,2,-1,-1,-1,-1,-1,Eerste Divisie - Netherlands,3031678
Helmond Sport,Volendam,2019-08-09,1,1,2,y,0,0,0,0,0,1,1,1,1,2,4,1,5,3,3,3,3,6,Eerste Divisie - Netherlands,3031679
Dordrecht,NAC Breda,2019-08-09,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,1,4,8,6,6,8,14,Eerste Divisie - Netherlands,3031680
Excelsior,Utrecht II,2019-08-10,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,0,1,9,5,5,9,14,Eerste Divisie - Netherlands,3031681
PSV II,Den Bosch,2019-08-12,2,2,4,y,2,1,1,2,3,0,1,1,0,1,1,2,3,6,4,4,6,10,Eerste Divisie - Netherlands,3031682
Cambuur,Go Ahead Eagles,2019-08-16,5,0,5,n,2,0,0,2,2,3,0,0,3,3,2,4,6,7,5,5,7,12,Eerste Divisie - Netherlands,3031683
Volendam,Roda JC,2019-08-16,4,0,4,n,3,0,0,3,3,1,0,0,1,1,1,0,1,9,5,5,9,14,Eerste Divisie - Netherlands,3031684
NAC Breda,Helmond Sport,2019-08-16,5,1,6,y,4,0,0,4,4,1,1,1,1,2,1,1,2,4,7,7,4,11,Eerste Divisie - Netherlands,3031685
MVV,De Graafschap,2019-08-16,0,3,3,n,0,2,2,0,2,0,1,1,0,1,1,0,1,4,8,8,4,12,Eerste Divisie - Netherlands,3031686
