Arka Gdynia,Jagiellonia Białystok,2019-07-19,0,3,3,n,0,2,2,0,2,0,1,1,0,1,1,1,2,9,6,6,9,15,Ekstraklasa - Poland,3025700
Legia Warszawa,Pogoń Szczecin,2019-07-21,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,2,4,8,3,3,8,11,Ekstraklasa - Poland,3025701
ŁKS Łódź,Lechia Gdańsk,2019-07-19,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,6,4,4,6,10,Ekstraklasa - Poland,3025702
Piast Gliwice,Lech Poznań,2019-07-20,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,1,4,3,9,9,3,12,Ekstraklasa - Poland,3025703
Raków Częstochowa,Korona Kielce,2019-07-20,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,1,2,4,4,4,4,8,Ekstraklasa - Poland,3025704
Wisła Kraków,Śląsk Wrocław,2019-07-20,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,2,3,6,12,12,6,18,Ekstraklasa - Poland,3025705
Wisła Płock,Górnik Zabrze,2019-07-22,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,4,7,9,5,5,9,14,Ekstraklasa - Poland,3025706
Zagłębie Lubin,Cracovia Kraków,2019-07-21,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,2,2,2,5,5,2,7,Ekstraklasa - Poland,3025707
Cracovia Kraków,ŁKS Łódź,2019-07-27,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,2,4,8,5,5,8,13,Ekstraklasa - Poland,3025708
Górnik Zabrze,Zagłębie Lubin,2019-07-26,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,0,2,6,5,5,6,11,Ekstraklasa - Poland,3025709
Jagiellonia Białystok,Raków Częstochowa,2019-07-27,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,4,7,5,3,3,5,8,Ekstraklasa - Poland,3025710
Korona Kielce,Legia Warszawa,2019-07-28,1,2,3,y,1,1,1,1,2,0,1,1,0,1,2,3,5,8,3,3,8,11,Ekstraklasa - Poland,3025711
Lech Poznań,Wisła Płock,2019-07-26,4,0,4,n,1,0,0,1,1,3,0,0,3,3,3,2,5,2,2,2,2,4,Ekstraklasa - Poland,3025712
Lechia Gdańsk,Wisła Kraków,2019-07-28,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,6,5,5,6,11,Ekstraklasa - Poland,3025713
Pogoń Szczecin,Arka Gdynia,2019-07-29,2,0,2,n,0,0,0,0,0,2,0,0,2,2,0,3,3,4,6,6,4,10,Ekstraklasa - Poland,3025714
Śląsk Wrocław,Piast Gliwice,2019-07-28,2,1,3,y,0,1,1,0,1,2,0,0,2,2,3,2,5,6,1,1,6,7,Ekstraklasa - Poland,3025715
Arka Gdynia,Korona Kielce,2019-08-02,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,6,7,6,1,1,6,7,Ekstraklasa - Poland,3025716
Legia Warszawa,Śląsk Wrocław,2019-08-04,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,8,3,3,8,11,Ekstraklasa - Poland,3025717
ŁKS Łódź,Lech Poznań,2019-08-03,1,2,3,y,1,2,2,1,3,0,0,0,0,0,3,4,7,4,6,6,4,10,Ekstraklasa - Poland,3025718
Piast Gliwice,Pogoń Szczecin,2019-08-04,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,6,3,3,6,9,Ekstraklasa - Poland,3025719
Raków Częstochowa,Cracovia Kraków,2019-08-03,1,3,4,y,1,2,2,1,3,0,1,1,0,1,2,3,5,8,3,3,8,11,Ekstraklasa - Poland,3025720
Wisła Kraków,Górnik Zabrze,2019-08-05,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,4,6,4,7,7,4,11,Ekstraklasa - Poland,3025721
Wisła Płock,Lechia Gdańsk,2019-08-04,1,2,3,y,0,1,1,0,1,1,1,1,1,2,3,6,9,9,2,2,9,11,Ekstraklasa - Poland,3025722
Zagłębie Lubin,Jagiellonia Białystok,2019-08-02,2,2,4,y,0,1,1,0,1,2,1,1,2,3,1,1,2,8,7,7,8,15,Ekstraklasa - Poland,3025723
Cracovia Kraków,Korona Kielce,2019-08-11,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,0,1,8,3,3,8,11,Ekstraklasa - Poland,3025724
Górnik Zabrze,Raków Częstochowa,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,7,8,8,7,15,Ekstraklasa - Poland,3025725
Lech Poznań,Śląsk Wrocław,2019-08-09,1,3,4,y,1,3,3,1,4,0,0,0,0,0,4,3,7,6,2,2,6,8,Ekstraklasa - Poland,3025726
Lechia Gdańsk,Jagiellonia Białystok,2019-08-12,1,1,2,y,1,0,0,1,1,0,1,1,0,1,0,0,0,2,11,11,2,13,Ekstraklasa - Poland,3025727
ŁKS Łódź,Piast Gliwice,2019-08-11,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,1,4,13,2,2,13,15,Ekstraklasa - Poland,3025728
Pogoń Szczecin,Wisła Kraków,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,1,3,5,3,3,5,8,Ekstraklasa - Poland,3025729
Wisła Płock,Legia Warszawa,2019-09-18,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,1,5,8,4,4,8,12,Ekstraklasa - Poland,3025730
Zagłębie Lubin,Arka Gdynia,2019-08-10,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,0,1,1,3,3,1,4,Ekstraklasa - Poland,3025731
Arka Gdynia,Lech Poznań,2019-08-17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,5,1,6,4,11,11,4,15,Ekstraklasa - Poland,3025732
Jagiellonia Białystok,Górnik Zabrze,2019-08-17,3,1,4,y,2,0,0,2,2,1,1,1,1,2,3,2,5,4,6,6,4,10,Ekstraklasa - Poland,3025733
Korona Kielce,Pogoń Szczecin,2019-08-19,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,0,3,5,0,0,5,5,Ekstraklasa - Poland,3025734
Legia Warszawa,Zagłębie Lubin,2019-08-18,1,0,1,n,1,0,0,1,1,0,0,0,0,0,0,2,2,3,2,2,3,5,Ekstraklasa - Poland,3025735
Piast Gliwice,Wisła Płock,2019-08-18,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,2,3,5,3,3,5,8,Ekstraklasa - Poland,3025736
Raków Częstochowa,Lechia Gdańsk,2019-08-18,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,6,9,5,8,8,5,13,Ekstraklasa - Poland,3025737
Śląsk Wrocław,Cracovia Kraków,2019-08-17,2,1,3,y,1,0,0,1,1,1,1,1,1,2,2,3,5,12,3,3,12,15,Ekstraklasa - Poland,3025738
Wisła Kraków,ŁKS Łódź,2019-08-16,4,0,4,n,2,0,0,2,2,2,0,0,2,2,2,0,2,6,4,4,6,10,Ekstraklasa - Poland,3025739
Cracovia Kraków,Arka Gdynia,2019-08-24,3,1,4,y,2,0,0,2,2,1,1,1,1,2,0,2,2,3,3,3,3,6,Ekstraklasa - Poland,3025740
Górnik Zabrze,Korona Kielce,2019-08-25,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,3,3,3,3,3,3,6,Ekstraklasa - Poland,3025741
Jagiellonia Białystok,Wisła Kraków,2019-08-23,3,2,5,y,2,1,1,2,3,1,1,1,1,2,3,4,7,0,5,5,0,5,Ekstraklasa - Poland,3025742
Lechia Gdańsk,Śląsk Wrocław,2019-08-24,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,1,5,9,4,4,9,13,Ekstraklasa - Poland,3025743
ŁKS Łódź,Legia Warszawa,2019-08-25,2,3,5,y,1,0,0,1,1,1,3,3,1,4,0,1,1,5,4,4,5,9,Ekstraklasa - Poland,3025744
Pogoń Szczecin,Wisła Płock,2019-08-26,1,2,3,y,1,1,1,1,2,0,1,1,0,1,3,2,5,2,4,4,2,6,Ekstraklasa - Poland,3025745
Raków Częstochowa,Lech Poznań,2019-08-24,2,3,5,y,0,2,2,0,2,2,1,1,2,3,2,4,6,11,5,5,11,16,Ekstraklasa - Poland,3025746
Zagłębie Lubin,Piast Gliwice,2019-08-25,0,3,3,n,0,1,1,0,1,0,2,2,0,2,0,0,0,5,6,6,5,11,Ekstraklasa - Poland,3025747
Arka Gdynia,Górnik Zabrze,2019-08-30,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,8,5,5,8,13,Ekstraklasa - Poland,3025748
Korona Kielce,Jagiellonia Białystok,2019-08-30,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,0,2,4,4,4,4,8,Ekstraklasa - Poland,3025749
Lech Poznań,Cracovia Kraków,2019-09-01,1,2,3,y,0,1,1,0,1,1,1,1,1,2,0,5,5,11,4,4,11,15,Ekstraklasa - Poland,3025750
Legia Warszawa,Raków Częstochowa,2019-09-01,3,1,4,y,2,0,0,2,2,1,1,1,1,2,2,1,3,3,6,6,3,9,Ekstraklasa - Poland,3025751
Piast Gliwice,Lechia Gdańsk,2019-08-31,1,2,3,y,0,0,0,0,0,1,2,2,1,3,3,2,5,6,6,6,6,12,Ekstraklasa - Poland,3025752
Śląsk Wrocław,Pogoń Szczecin,2019-09-01,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,2,2,4,0,0,4,4,Ekstraklasa - Poland,3025753
Wisła Kraków,Zagłębie Lubin,2019-08-31,4,2,6,y,2,2,2,2,4,2,0,0,2,2,3,2,5,4,5,5,4,9,Ekstraklasa - Poland,3025754
Wisła Płock,ŁKS Łódź,2019-08-31,2,1,3,y,1,1,1,1,2,1,0,0,1,1,1,3,4,8,5,5,8,13,Ekstraklasa - Poland,3025755
Cracovia Kraków,Piast Gliwice,2019-09-16,2,0,2,n,1,0,0,1,1,1,0,0,1,1,4,3,7,9,0,0,9,9,Ekstraklasa - Poland,3025756
Górnik Zabrze,Śląsk Wrocław,2019-09-15,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,2,11,11,2,13,Ekstraklasa - Poland,3025757
Jagiellonia Białystok,Legia Warszawa,2019-09-13,0,0,0,n,0,0,0,0,0,0,0,0,0,0,5,5,10,6,2,2,6,8,Ekstraklasa - Poland,3025758
Korona Kielce,Wisła Kraków,2019-09-14,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,3,6,10,2,2,10,12,Ekstraklasa - Poland,3025759
Lechia Gdańsk,Lech Poznań,2019-09-14,2,1,3,y,2,1,1,2,3,0,0,0,0,0,1,2,3,3,5,5,3,8,Ekstraklasa - Poland,3025760
Pogoń Szczecin,ŁKS Łódź,2019-09-15,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,4,5,11,4,4,11,15,Ekstraklasa - Poland,3025761
Raków Częstochowa,Arka Gdynia,2019-09-14,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,1,4,3,0,0,3,3,Ekstraklasa - Poland,3025762
Zagłębie Lubin,Wisła Płock,2019-09-13,5,0,5,n,3,0,0,3,3,2,0,0,2,2,3,4,7,8,3,3,8,11,Ekstraklasa - Poland,3025763
