Odd,Brann,1,3,2,5,y,1,1,1,1,2,2,1,1,2,3,0,2,2,2,4,4,2,6,Eliteserien - Norway,2951376
Vålerenga,Mjøndalen,1,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,8,3,3,8,11,Eliteserien - Norway,2951377
Ranheim,Tromsø,1,1,2,3,y,1,0,0,1,1,0,2,2,0,2,1,2,3,2,8,8,2,10,Eliteserien - Norway,2951378
Sarpsborg 08,Molde,1,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,2,3,7,5,5,7,12,Eliteserien - Norway,2951379
Strømsgodset,Haugesund,1,3,2,5,y,2,2,2,2,4,1,0,0,1,1,2,1,3,7,0,0,7,7,Eliteserien - Norway,2951380
Viking,Kristiansund,1,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,4,5,5,4,9,Eliteserien - Norway,2951381
Bodø / Glimt,Rosenborg,1,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,2,5,6,7,7,6,13,Eliteserien - Norway,2951382
Stabæk,Lillestrøm,1,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,0,0,3,10,10,3,13,Eliteserien - Norway,2951383
Mjøndalen,Bodø / Glimt,2,4,5,9,y,1,2,2,1,3,3,3,3,3,6,2,2,4,4,7,7,4,11,Eliteserien - Norway,2951384
Molde,Stabæk,2,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,1,1,7,3,3,7,10,Eliteserien - Norway,2951385
Haugesund,Sarpsborg 08,2,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,1,2,7,6,6,7,13,Eliteserien - Norway,2951386
Kristiansund,Vålerenga,2,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,3,4,7,5,5,7,12,Eliteserien - Norway,2951387
Tromsø,Viking,2,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,3,6,10,4,4,10,14,Eliteserien - Norway,2951388
Lillestrøm,Ranheim,2,2,1,3,y,1,0,0,1,1,1,1,1,1,2,0,1,1,5,4,4,5,9,Eliteserien - Norway,2951389
Brann,Strømsgodset,2,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,4,5,6,0,0,6,6,Eliteserien - Norway,2951390
Rosenborg,Odd,2,1,1,2,y,1,0,0,1,1,0,1,1,0,1,0,2,2,5,4,4,5,9,Eliteserien - Norway,2951391
Viking,Brann,3,2,1,3,y,0,0,0,0,0,2,1,1,2,3,5,4,9,2,6,6,2,8,Eliteserien - Norway,2951392
Ranheim,Haugesund,3,0,2,2,n,0,0,0,0,0,0,2,2,0,2,1,1,2,3,7,7,3,10,Eliteserien - Norway,2951393
Sarpsborg 08,Lillestrøm,3,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,2,5,5,3,3,5,8,Eliteserien - Norway,2951394
Odd,Kristiansund,3,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,2,4,5,8,8,5,13,Eliteserien - Norway,2951395
Bodø / Glimt,Molde,3,3,2,5,y,2,0,0,2,2,1,2,2,1,3,1,2,3,9,5,5,9,14,Eliteserien - Norway,2951396
Stabæk,Rosenborg,3,3,1,4,y,1,1,1,1,2,2,0,0,2,2,0,2,2,1,7,7,1,8,Eliteserien - Norway,2951397
Vålerenga,Tromsø,3,4,1,5,y,2,0,0,2,2,2,1,1,2,3,1,0,1,3,4,4,3,7,Eliteserien - Norway,2951398
Strømsgodset,Mjøndalen,3,2,3,5,y,1,3,3,1,4,1,0,0,1,1,5,2,7,10,2,2,10,12,Eliteserien - Norway,2951399
Rosenborg,Strømsgodset,4,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,6,3,3,6,9,Eliteserien - Norway,2951400
Haugesund,Stabæk,4,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,4,5,7,3,3,7,10,Eliteserien - Norway,2951401
Kristiansund,Ranheim,4,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,3,5,9,5,5,9,14,Eliteserien - Norway,2951402
Bodø / Glimt,Sarpsborg 08,4,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,1,3,6,11,11,6,17,Eliteserien - Norway,2951403
Lillestrøm,Molde,4,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,0,0,5,12,12,5,17,Eliteserien - Norway,2951404
Mjøndalen,Tromsø,4,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,1,2,7,5,5,7,12,Eliteserien - Norway,2951405
Brann,Vålerenga,4,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,1,2,3,1,1,3,4,Eliteserien - Norway,2951406
Odd,Viking,4,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,1,1,6,1,1,6,7,Eliteserien - Norway,2951407
Sarpsborg 08,Mjøndalen,5,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,2,5,6,2,2,6,8,Eliteserien - Norway,2951408
Tromsø,Brann,5,1,2,3,y,0,0,0,0,0,1,2,2,1,3,1,0,1,2,4,4,2,6,Eliteserien - Norway,2951409
Ranheim,Viking,5,5,2,7,y,1,0,0,1,1,4,2,2,4,6,3,2,5,1,5,5,1,6,Eliteserien - Norway,2951410
Strømsgodset,Kristiansund,5,2,3,5,y,0,2,2,0,2,2,1,1,2,3,0,0,0,9,2,2,9,11,Eliteserien - Norway,2951411
Stabæk,Bodø / Glimt,5,2,0,2,n,2,0,0,2,2,0,0,0,0,0,2,1,3,1,7,7,1,8,Eliteserien - Norway,2951412
Lillestrøm,Haugesund,5,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,0,0,1,10,10,1,11,Eliteserien - Norway,2951413
Molde,Rosenborg,5,3,0,3,n,3,0,0,3,3,0,0,0,0,0,3,1,4,3,6,6,3,9,Eliteserien - Norway,2951414
Vålerenga,Odd,5,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,1,3,8,1,1,8,9,Eliteserien - Norway,2951415
Bodø / Glimt,Lillestrøm,6,4,0,4,n,3,0,0,3,3,1,0,0,1,1,1,2,3,5,3,3,5,8,Eliteserien - Norway,2951416
