PEC Zwolle,Willem II,2019-08-02,1,3,4,y,1,1,1,1,2,0,2,2,0,2,1,1,2,2,9,9,2,11,Eredivisie - Netherlands,3032053
Vitesse,Ajax,2019-08-03,2,2,4,y,1,1,1,1,2,1,1,1,1,2,3,3,6,0,9,9,0,9,Eredivisie - Netherlands,3032054
Emmen,Groningen,2019-08-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,2,4,6,7,7,6,13,Eredivisie - Netherlands,3032055
VVV,RKC Waalwijk,2019-08-03,3,1,4,y,0,1,1,0,1,3,0,0,3,3,2,3,5,2,3,3,2,5,Eredivisie - Netherlands,3032056
Twente,PSV,2019-08-03,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,1,2,0,7,7,0,7,Eredivisie - Netherlands,3032057
Heracles,Heerenveen,2019-08-04,0,4,4,n,0,3,3,0,3,0,1,1,0,1,1,2,3,4,2,2,4,6,Eredivisie - Netherlands,3032058
ADO Den Haag,Utrecht,2019-08-04,2,4,6,y,2,2,2,2,4,0,2,2,0,2,2,1,3,5,5,5,5,10,Eredivisie - Netherlands,3032059
Feyenoord,Sparta Rotterdam,2019-08-04,2,2,4,y,0,0,0,0,0,2,2,2,2,4,2,2,4,5,3,3,5,8,Eredivisie - Netherlands,3032060
AZ,Fortuna Sittard,2019-08-04,4,0,4,n,0,0,0,0,0,4,0,0,4,4,1,1,2,14,1,1,14,15,Eredivisie - Netherlands,3032061
Sparta Rotterdam,VVV,2019-08-09,4,1,5,y,0,1,1,0,1,4,0,0,4,4,2,2,4,2,4,4,2,6,Eredivisie - Netherlands,3032062
Groningen,Twente,2019-08-10,1,3,4,y,0,0,0,0,0,1,3,3,1,4,5,2,7,3,0,0,3,3,Eredivisie - Netherlands,3032063
Ajax,Emmen,2019-08-10,5,0,5,n,1,0,0,1,1,4,0,0,4,4,0,1,1,7,3,3,7,10,Eredivisie - Netherlands,3032064
PSV,ADO Den Haag,2019-08-11,3,1,4,y,1,1,1,1,2,2,0,0,2,2,1,0,1,12,1,1,12,13,Eredivisie - Netherlands,3032065
Willem II,Vitesse,2019-08-10,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,2,4,4,7,7,4,11,Eredivisie - Netherlands,3032066
Fortuna Sittard,Heracles,2019-08-11,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,4,6,4,12,12,4,16,Eredivisie - Netherlands,3032067
Heerenveen,Feyenoord,2019-08-11,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,2,Eredivisie - Netherlands,3032068
RKC Waalwijk,AZ,2019-08-11,0,2,2,n,0,2,2,0,2,0,0,0,0,0,3,1,4,9,6,6,9,15,Eredivisie - Netherlands,3032069
Utrecht,PEC Zwolle,2019-08-11,3,1,4,y,0,1,1,0,1,3,0,0,3,3,2,1,3,11,3,3,11,14,Eredivisie - Netherlands,3032070
Vitesse,PEC Zwolle,2019-08-16,3,0,3,n,0,0,0,0,0,3,0,0,3,3,1,3,4,2,3,3,2,5,Eredivisie - Netherlands,3032071
VVV,Ajax,2019-08-17,1,4,5,y,0,1,1,0,1,1,3,3,1,4,2,2,4,3,13,13,3,16,Eredivisie - Netherlands,3032072
ADO Den Haag,Sparta Rotterdam,2019-08-17,1,2,3,y,0,2,2,0,2,1,0,0,1,1,1,2,3,13,2,2,13,15,Eredivisie - Netherlands,3032073
Heracles,PSV,2019-08-18,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,7,9,6,2,2,6,8,Eredivisie - Netherlands,3032074
