Baník Sokolov,Hradec Králové,2019-07-20,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,1,4,7,1,1,7,8,FNL - Czech republic,3039244
Dukla Praha,Třinec,2019-07-20,2,3,5,y,1,2,2,1,3,1,1,1,1,2,2,2,4,4,5,5,4,9,FNL - Czech republic,3039245
Vlašim,Zbrojovka Brno,2019-07-19,2,2,4,y,0,1,1,0,1,2,1,1,2,3,1,3,4,4,12,12,4,16,FNL - Czech republic,3039246
Ústí nad Labem,Vysočina Jihlava,2019-07-22,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,9,4,4,9,13,FNL - Czech republic,3039248
Vítkovice,Chrudim,2019-07-19,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,2,3,3,5,5,3,8,FNL - Czech republic,3039249
Prostějov,Slavoj Vyšehrad,2019-07-20,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,2,4,6,5,5,6,11,FNL - Czech republic,3039251
Hradec Králové,Dukla Praha,2019-07-29,0,2,2,n,0,0,0,0,0,0,2,2,0,2,4,1,5,5,8,8,5,13,FNL - Czech republic,3039252
Prostějov,Vlašim,2019-07-27,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,3,5,12,1,1,12,13,FNL - Czech republic,3039253
Viktoria Žižkov,Baník Sokolov,2019-07-28,2,1,3,y,1,0,0,1,1,1,1,1,1,2,5,6,11,2,9,9,2,11,FNL - Czech republic,3039254
Chrudim,Líšeň,2019-07-27,1,3,4,y,1,0,0,1,1,0,3,3,0,3,1,3,4,7,3,3,7,10,FNL - Czech republic,3039256
Vysočina Jihlava,Vítkovice,2019-07-27,3,0,3,n,0,0,0,0,0,3,0,0,3,3,1,2,3,12,2,2,12,14,FNL - Czech republic,3039257
Zbrojovka Brno,Pardubice,2019-07-26,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,1,2,3,3,3,3,6,FNL - Czech republic,3039258
Dukla Praha,Viktoria Žižkov,2019-08-04,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,2,4,5,3,3,5,8,FNL - Czech republic,3039261
Ústí nad Labem,Prostějov,2019-08-02,3,1,4,y,0,0,0,0,0,3,1,1,3,4,1,5,6,6,2,2,6,8,FNL - Czech republic,3039263
Třinec,Vysočina Jihlava,2019-08-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,0,4,3,10,10,3,13,FNL - Czech republic,3039266
Chrudim,Třinec,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,2,3,10,4,4,10,14,FNL - Czech republic,3039271
Vysočina Jihlava,Dukla Praha,2019-08-09,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,2,6,8,4,4,8,12,FNL - Czech republic,3039272
Zbrojovka Brno,Ústí nad Labem,2019-08-09,2,2,4,y,1,1,1,1,2,1,1,1,1,2,4,4,8,6,5,5,6,11,FNL - Czech republic,3039273
Slavoj Vyšehrad,Baník Sokolov,2019-08-10,2,1,3,y,0,0,0,0,0,2,1,1,2,3,3,3,6,8,5,5,8,13,FNL - Czech republic,3039275
Dukla Praha,Zbrojovka Brno,2019-08-17,2,1,3,y,0,0,0,0,0,2,1,1,2,3,4,2,6,6,6,6,6,12,FNL - Czech republic,3039277
Líšeň,Slavoj Vyšehrad,2019-08-17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,5,9,3,4,4,3,7,FNL - Czech republic,3039278
Viktoria Žižkov,Varnsdorf,2019-08-25,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,3,3,12,0,0,12,12,FNL - Czech republic,3039286
Pardubice,Baník Sokolov,2019-08-24,4,0,4,n,2,0,0,2,2,2,0,0,2,2,2,4,6,0,4,4,0,4,FNL - Czech republic,3039287
Zbrojovka Brno,Vítkovice,2019-08-23,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,5,9,8,7,7,8,15,FNL - Czech republic,3039289
Vlašim,Ústí nad Labem,2019-08-25,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,0,2,2,3,3,2,5,FNL - Czech republic,3039290
Slavoj Vyšehrad,Dukla Praha,2019-08-24,1,3,4,y,0,2,2,0,2,1,1,1,1,2,1,2,3,5,6,6,5,11,FNL - Czech republic,3039291
Dukla Praha,Vlašim,2019-08-31,4,0,4,n,2,0,0,2,2,2,0,0,2,2,0,1,1,7,3,3,7,10,FNL - Czech republic,3039293
Líšeň,Viktoria Žižkov,2019-08-31,3,3,6,y,1,1,1,1,2,2,2,2,2,4,4,1,5,6,9,9,6,15,FNL - Czech republic,3039294
Varnsdorf,Ústí nad Labem,2019-09-01,0,3,3,n,0,2,2,0,2,0,1,1,0,1,5,2,7,2,4,4,2,6,FNL - Czech republic,3039295
Chrudim,Slavoj Vyšehrad,2019-08-31,3,2,5,y,2,0,0,2,2,1,2,2,1,3,3,3,6,3,5,5,3,8,FNL - Czech republic,3039297
Třinec,Zbrojovka Brno,2019-08-31,1,1,2,y,0,0,0,0,0,1,1,1,1,2,0,2,2,7,6,6,7,13,FNL - Czech republic,3039298
Hradec Králové,Vysočina Jihlava,2019-08-30,4,2,6,y,1,1,1,1,2,3,1,1,3,4,0,3,3,4,8,8,4,12,FNL - Czech republic,3039299
