Genk,Kortrijk,2019-07-26,2,1,3,y,0,1,1,0,1,2,0,0,2,2,0,1,1,6,2,2,6,8,First Division A - Belgium,3050137
Cercle Brugge,Standard Liège,2019-07-27,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,1,3,3,7,7,3,10,First Division A - Belgium,3050138
Sint-Truiden,Royal Excel Mouscron,2019-07-27,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,4,6,5,5,5,5,10,First Division A - Belgium,3050139
Waasland-Beveren,Club Brugge,2019-07-27,1,3,4,y,1,1,1,1,2,0,2,2,0,2,3,1,4,1,14,14,1,15,First Division A - Belgium,3050140
Anderlecht,KV Oostende,2019-07-28,1,2,3,y,1,1,1,1,2,0,1,1,0,1,1,3,4,5,2,2,5,7,First Division A - Belgium,3050141
Zulte-Waregem,Mechelen,2019-07-27,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,1,4,4,2,2,4,6,First Division A - Belgium,3050142
Sporting Charleroi,Gent,2019-07-28,1,1,2,y,0,0,0,0,0,1,1,1,1,2,0,2,2,5,6,6,5,11,First Division A - Belgium,3050143
AS Eupen,Antwerp,2019-07-28,1,4,5,y,1,1,1,1,2,0,3,3,0,3,1,2,3,3,10,10,3,13,First Division A - Belgium,3050144
Club Brugge,Sint-Truiden,2019-08-02,6,0,6,n,4,0,0,4,4,2,0,0,2,2,2,4,6,6,2,2,6,8,First Division A - Belgium,3050145
Standard Liège,Zulte-Waregem,2019-08-03,4,0,4,n,2,0,0,2,2,2,0,0,2,2,0,3,3,4,2,2,4,6,First Division A - Belgium,3050146
Kortrijk,Sporting Charleroi,2019-08-03,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,2,4,10,3,3,10,13,First Division A - Belgium,3050147
KV Oostende,Cercle Brugge,2019-08-03,3,1,4,y,2,1,1,2,3,1,0,0,1,1,0,2,2,3,2,2,3,5,First Division A - Belgium,3050148
Mechelen,Genk,2019-08-03,3,1,4,y,1,1,1,1,2,2,0,0,2,2,1,0,1,5,4,4,5,9,First Division A - Belgium,3050149
Gent,AS Eupen,2019-08-04,6,1,7,y,4,0,0,4,4,2,1,1,2,3,0,2,2,6,2,2,6,8,First Division A - Belgium,3050150
Royal Excel Mouscron,Anderlecht,2019-08-04,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,4,6,4,4,4,4,8,First Division A - Belgium,3050151
Antwerp,Waasland-Beveren,2019-08-04,4,1,5,y,2,1,1,2,3,2,0,0,2,2,0,2,2,6,4,4,6,10,First Division A - Belgium,3050152
Anderlecht,Mechelen,2019-08-09,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,3,3,8,1,1,8,9,First Division A - Belgium,3050155
KV Oostende,Club Brugge,2019-08-10,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,0,0,3,6,6,3,9,First Division A - Belgium,3050156
AS Eupen,Waasland-Beveren,2019-08-10,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,1,3,4,7,7,4,11,First Division A - Belgium,3050157
Cercle Brugge,Kortrijk,2019-08-10,1,3,4,y,1,0,0,1,1,0,3,3,0,3,1,1,2,2,3,3,2,5,First Division A - Belgium,3050158
Genk,Zulte-Waregem,2019-08-10,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,2,3,3,2,2,3,5,First Division A - Belgium,3050159
Sint-Truiden,Standard Liège,2019-08-11,2,1,3,y,2,0,0,2,2,0,1,1,0,1,4,3,7,0,5,5,0,5,First Division A - Belgium,3050160
Sporting Charleroi,Antwerp,2019-08-11,2,1,3,y,0,0,0,0,0,2,1,1,2,3,0,1,1,5,4,4,5,9,First Division A - Belgium,3050161
Royal Excel Mouscron,Gent,2019-08-11,2,1,3,y,2,1,1,2,3,0,0,0,0,0,0,1,1,2,7,7,2,9,First Division A - Belgium,3050162
Club Brugge,AS Eupen,2019-08-16,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,4,7,7,3,3,7,10,First Division A - Belgium,3050163
Kortrijk,Anderlecht,2019-08-17,4,2,6,y,0,1,1,0,1,4,1,1,4,5,1,1,2,1,3,3,1,4,First Division A - Belgium,3050164
Mechelen,Cercle Brugge,2019-08-17,3,1,4,y,0,1,1,0,1,3,0,0,3,3,0,4,4,5,3,3,5,8,First Division A - Belgium,3050165
Zulte-Waregem,Sporting Charleroi,2019-08-19,3,1,4,y,1,0,0,1,1,2,1,1,2,3,2,1,3,3,5,5,3,8,First Division A - Belgium,3050166
Waasland-Beveren,Genk,2019-08-17,0,4,4,n,0,1,1,0,1,0,3,3,0,3,2,0,2,3,3,3,3,6,First Division A - Belgium,3050167
Standard Liège,Royal Excel Mouscron,2019-08-18,4,1,5,y,2,0,0,2,2,2,1,1,2,3,0,1,1,3,4,4,3,7,First Division A - Belgium,3050168
Antwerp,Sint-Truiden,2019-08-18,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,3,3,5,4,4,5,9,First Division A - Belgium,3050169
