AFC Wimbledon,Rotherham United,2019-08-03,1,2,3,y,0,1,1,0,1,1,1,1,1,2,1,0,1,-1,-1,-1,-1,-1,League One - England,3035129
Blackpool,Bristol Rovers,2019-08-03,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,League One - England,3035130
Burton Albion,Ipswich Town,2019-08-03,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,3,7,-1,-1,-1,-1,-1,League One - England,3035131
Coventry City,Southend United,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,League One - England,3035133
Doncaster Rovers,Gillingham,2019-08-03,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,League One - England,3035134
Lincoln City,Accrington Stanley,2019-08-03,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,League One - England,3035135
Peterborough United,Fleetwood Town,2019-08-03,1,3,4,y,0,2,2,0,2,1,1,1,1,2,1,6,7,-1,-1,-1,-1,-1,League One - England,3035136
Shrewsbury Town,Portsmouth,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,5,8,-1,-1,-1,-1,-1,League One - England,3035137
Sunderland,Oxford United,2019-08-03,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,4,5,-1,-1,-1,-1,-1,League One - England,3035138
Tranmere Rovers,Rochdale,2019-08-03,2,3,5,y,0,1,1,0,1,2,2,2,2,4,4,3,7,-1,-1,-1,-1,-1,League One - England,3035139
Wycombe Wanderers,Bolton Wanderers,2019-08-03,2,0,2,n,0,0,0,0,0,2,0,0,2,2,0,0,0,-1,-1,-1,-1,-1,League One - England,3035140
Bolton Wanderers,Coventry City,2019-08-10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,2,6,-1,-1,-1,-1,-1,League One - England,3035142
Bristol Rovers,Wycombe Wanderers,2019-08-10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,League One - England,3035143
Fleetwood Town,AFC Wimbledon,2019-08-10,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,3,4,-1,-1,-1,-1,-1,League One - England,3035144
Gillingham,Burton Albion,2019-08-10,1,2,3,y,1,2,2,1,3,0,0,0,0,0,0,2,2,-1,-1,-1,-1,-1,League One - England,3035145
Ipswich Town,Sunderland,2019-08-10,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,1,2,-1,-1,-1,-1,-1,League One - England,3035146
Milton Keynes Dons,Shrewsbury Town,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,League One - England,3035147
Oxford United,Peterborough United,2019-08-10,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,2,5,-1,-1,-1,-1,-1,League One - England,3035148
Portsmouth,Tranmere Rovers,2019-08-10,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,0,2,-1,-1,-1,-1,-1,League One - England,3035149
Rochdale,Doncaster Rovers,2019-08-10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,1,3,-1,-1,-1,-1,-1,League One - England,3035150
Rotherham United,Lincoln City,2019-08-10,0,2,2,n,0,1,1,0,1,0,1,1,0,1,4,2,6,-1,-1,-1,-1,-1,League One - England,3035151
Southend United,Blackpool,2019-08-10,1,3,4,y,0,3,3,0,3,1,0,0,1,1,1,2,3,-1,-1,-1,-1,-1,League One - England,3035152
AFC Wimbledon,Accrington Stanley,2019-08-17,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,3,4,-1,-1,-1,-1,-1,League One - England,3035153
Blackpool,Oxford United,2019-08-17,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,4,7,-1,-1,-1,-1,-1,League One - England,3035154
Burton Albion,Rotherham United,2019-08-17,0,1,1,n,0,1,1,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,League One - England,3035155
Coventry City,Bristol Rovers,2019-08-17,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,3,4,-1,-1,-1,-1,-1,League One - England,3035157
Doncaster Rovers,Fleetwood Town,2019-08-17,3,2,5,y,2,1,1,2,3,1,1,1,1,2,3,2,5,-1,-1,-1,-1,-1,League One - England,3035158
Lincoln City,Southend United,2019-08-17,4,0,4,n,2,0,0,2,2,2,0,0,2,2,0,3,3,-1,-1,-1,-1,-1,League One - England,3035159
Peterborough United,Ipswich Town,2019-08-17,2,2,4,y,1,1,1,1,2,1,1,1,1,2,3,1,4,-1,-1,-1,-1,-1,League One - England,3035160
Shrewsbury Town,Rochdale,2019-08-17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,League One - England,3035161
Sunderland,Portsmouth,2019-08-17,2,1,3,y,2,1,1,2,3,0,0,0,0,0,2,1,3,2,5,5,2,7,League One - England,3035162
Tranmere Rovers,Bolton Wanderers,2019-08-17,5,0,5,n,2,0,0,2,2,3,0,0,3,3,3,2,5,-1,-1,-1,-1,-1,League One - England,3035163
Wycombe Wanderers,Milton Keynes Dons,2019-08-17,3,2,5,y,2,1,1,2,3,1,1,1,1,2,3,0,3,-1,-1,-1,-1,-1,League One - England,3035164
Accrington Stanley,Shrewsbury Town,2019-08-20,2,3,5,y,0,0,0,0,0,2,3,3,2,5,2,0,2,-1,-1,-1,-1,-1,League One - England,3035165
Bristol Rovers,Tranmere Rovers,2019-08-20,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,5,6,-1,-1,-1,-1,-1,League One - England,3035167
Fleetwood Town,Wycombe Wanderers,2019-08-20,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,1,2,-1,-1,-1,-1,-1,League One - England,3035168
Gillingham,Blackpool,2019-08-20,2,2,4,y,2,2,2,2,4,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,League One - England,3035169
Ipswich Town,AFC Wimbledon,2019-08-20,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,4,5,-1,-1,-1,-1,-1,League One - England,3035170
Milton Keynes Dons,Lincoln City,2019-08-20,2,1,3,y,2,1,1,2,3,0,0,0,0,0,1,0,1,-1,-1,-1,-1,-1,League One - England,3035171
Oxford United,Burton Albion,2019-08-20,2,4,6,y,0,1,1,0,1,2,3,3,2,5,1,2,3,-1,-1,-1,-1,-1,League One - England,3035172
Portsmouth,Coventry City,2019-08-20,3,3,6,y,2,1,1,2,3,1,2,2,1,3,2,5,7,-1,-1,-1,-1,-1,League One - England,3035173
Rochdale,Sunderland,2019-08-20,1,2,3,y,1,1,1,1,2,0,1,1,0,1,0,4,4,-1,-1,-1,-1,-1,League One - England,3035174
Southend United,Peterborough United,2019-08-20,0,2,2,n,0,0,0,0,0,0,2,2,0,2,1,0,1,-1,-1,-1,-1,-1,League One - England,3035176
Bolton Wanderers,Ipswich Town,2019-08-24,0,5,5,n,0,1,1,0,1,0,4,4,0,4,1,1,2,-1,-1,-1,-1,-1,League One - England,3035177
Bristol Rovers,Oxford United,2019-08-24,3,1,4,y,2,1,1,2,3,1,0,0,1,1,3,3,6,-1,-1,-1,-1,-1,League One - England,3035178
Coventry City,Gillingham,2019-08-24,1,0,1,n,1,0,0,1,1,0,0,0,0,0,0,2,2,-1,-1,-1,-1,-1,League One - England,3035179
Doncaster Rovers,Lincoln City,2019-08-24,2,1,3,y,1,0,0,1,1,1,1,1,1,2,4,1,5,-1,-1,-1,-1,-1,League One - England,3035180
Fleetwood Town,Accrington Stanley,2019-08-24,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,1,4,-1,-1,-1,-1,-1,League One - England,3035181
Milton Keynes Dons,Peterborough United,2019-08-24,0,4,4,n,0,3,3,0,3,0,1,1,0,1,2,0,2,-1,-1,-1,-1,-1,League One - England,3035182
Portsmouth,Rotherham United,2019-11-26,3,2,5,y,2,1,1,2,3,1,1,1,1,2,1,2,3,-1,-1,-1,-1,-1,League One - England,3035183
Rochdale,Blackpool,2019-08-24,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,League One - England,3035184
Shrewsbury Town,Burton Albion,2019-08-24,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,League One - England,3035185
Sunderland,AFC Wimbledon,2019-08-24,3,1,4,y,1,1,1,1,2,2,0,0,2,2,1,1,2,-1,-1,-1,-1,-1,League One - England,3035186
Wycombe Wanderers,Southend United,2019-08-24,4,3,7,y,1,2,2,1,3,3,1,1,3,4,0,2,2,-1,-1,-1,-1,-1,League One - England,3035188
AFC Wimbledon,Wycombe Wanderers,2019-08-31,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,0,3,-1,-1,-1,-1,-1,League One - England,3035189
Accrington Stanley,Milton Keynes Dons,2019-08-31,2,1,3,y,0,1,1,0,1,2,0,0,2,2,4,4,8,-1,-1,-1,-1,-1,League One - England,3035190
Blackpool,Portsmouth,2019-08-31,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,2,4,-1,-1,-1,-1,-1,League One - England,3035191
Burton Albion,Bristol Rovers,2019-08-31,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,3,4,-1,-1,-1,-1,-1,League One - England,3035192
Gillingham,Bolton Wanderers,2019-08-31,5,0,5,n,2,0,0,2,2,3,0,0,3,3,1,1,2,-1,-1,-1,-1,-1,League One - England,3035194
Ipswich Town,Shrewsbury Town,2019-08-31,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,5,6,-1,-1,-1,-1,-1,League One - England,3035195
Lincoln City,Fleetwood Town,2019-08-31,2,0,2,n,2,0,0,2,2,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,League One - England,3035196
Oxford United,Coventry City,2019-08-31,3,3,6,y,0,1,1,0,1,3,2,2,3,5,4,2,6,-1,-1,-1,-1,-1,League One - England,3035197
Peterborough United,Sunderland,2019-08-31,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,6,7,-1,-1,-1,-1,-1,League One - England,3035198
Rotherham United,Tranmere Rovers,2019-08-31,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,3,4,-1,-1,-1,-1,-1,League One - England,3035199
Southend United,Rochdale,2019-08-31,0,3,3,n,0,2,2,0,2,0,1,1,0,1,2,1,3,-1,-1,-1,-1,-1,League One - England,3035200
Bristol Rovers,Accrington Stanley,2019-09-07,3,3,6,y,2,2,2,2,4,1,1,1,1,2,2,2,4,-1,-1,-1,-1,-1,League One - England,3035202
Coventry City,Blackpool,2019-09-07,3,2,5,y,2,2,2,2,4,1,0,0,1,1,1,1,2,9,3,3,9,12,League One - England,3035203
Doncaster Rovers,Rotherham United,2019-09-07,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,2,3,-1,-1,-1,-1,-1,League One - England,3035204
Fleetwood Town,Oxford United,2019-09-07,2,1,3,y,1,1,1,1,2,1,0,0,1,1,1,2,3,-1,-1,-1,-1,-1,League One - England,3035205
Milton Keynes Dons,AFC Wimbledon,2019-09-07,2,1,3,y,2,0,0,2,2,0,1,1,0,1,0,0,0,7,6,6,7,13,League One - England,3035206
