Airdrieonians,Forfar Athletic,2019-08-03,0,2,2,n,0,0,0,0,0,0,2,2,0,2,1,1,2,-1,-1,-1,-1,-1,League One - Scotland,3038181
Clyde,East Fife,2019-08-03,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,3,6,-1,-1,-1,-1,-1,League One - Scotland,3038182
Dumbarton,Raith Rovers,2019-08-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,1,3,-1,-1,-1,-1,-1,League One - Scotland,3038183
Peterhead,Falkirk,2019-08-03,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,League One - Scotland,3038184
Stranraer,Montrose,2019-08-03,2,2,4,y,1,0,0,1,1,1,2,2,1,3,1,3,4,-1,-1,-1,-1,-1,League One - Scotland,3038185
East Fife,Peterhead,2019-08-10,1,1,2,y,1,1,1,1,2,0,0,0,0,0,3,1,4,-1,-1,-1,-1,-1,League One - Scotland,3038186
Falkirk,Dumbarton,2019-08-10,6,0,6,n,5,0,0,5,5,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,League One - Scotland,3038187
Forfar Athletic,Stranraer,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,1,1,-1,-1,-1,-1,-1,League One - Scotland,3038188
Montrose,Airdrieonians,2019-08-10,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,4,7,-1,-1,-1,-1,-1,League One - Scotland,3038189
Raith Rovers,Clyde,2019-08-10,5,2,7,y,2,0,0,2,2,3,2,2,3,5,2,2,4,-1,-1,-1,-1,-1,League One - Scotland,3038190
Airdrieonians,Clyde,2019-08-17,3,1,4,y,0,1,1,0,1,3,0,0,3,3,2,1,3,-1,-1,-1,-1,-1,League One - Scotland,3038191
Falkirk,Montrose,2019-08-17,2,1,3,y,1,1,1,1,2,1,0,0,1,1,1,3,4,-1,-1,-1,-1,-1,League One - Scotland,3038192
Forfar Athletic,East Fife,2019-09-07,1,2,3,y,1,0,0,1,1,0,2,2,0,2,2,1,3,-1,-1,-1,-1,-1,League One - Scotland,3038193
Peterhead,Dumbarton,2019-08-17,2,3,5,y,2,1,1,2,3,0,2,2,0,2,3,1,4,-1,-1,-1,-1,-1,League One - Scotland,3038194
Stranraer,Raith Rovers,2019-08-17,3,2,5,y,1,0,0,1,1,2,2,2,2,4,0,0,0,-1,-1,-1,-1,-1,League One - Scotland,3038195
Clyde,Falkirk,2019-08-24,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,League One - Scotland,3038196
Dumbarton,Stranraer,2019-08-24,3,1,4,y,1,1,1,1,2,2,0,0,2,2,3,2,5,-1,-1,-1,-1,-1,League One - Scotland,3038197
East Fife,Airdrieonians,2019-08-24,4,1,5,y,2,0,0,2,2,2,1,1,2,3,2,2,4,-1,-1,-1,-1,-1,League One - Scotland,3038198
Peterhead,Forfar Athletic,2019-08-24,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,2,3,-1,-1,-1,-1,-1,League One - Scotland,3038199
Raith Rovers,Montrose,2019-08-24,3,0,3,n,0,0,0,0,0,3,0,0,3,3,2,2,4,-1,-1,-1,-1,-1,League One - Scotland,3038200
Airdrieonians,Falkirk,2019-08-31,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,League One - Scotland,3038201
East Fife,Raith Rovers,2019-08-31,4,2,6,y,1,1,1,1,2,3,1,1,3,4,2,5,7,-1,-1,-1,-1,-1,League One - Scotland,3038202
Forfar Athletic,Clyde,2019-08-31,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,League One - Scotland,3038203
