Bradford City,Cambridge United,2019-08-03,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,1,4,-1,-1,-1,-1,-1,League Two - England,3035732
Carlisle United,Crawley Town,2019-08-03,2,1,3,y,2,1,1,2,3,0,0,0,0,0,2,3,5,-1,-1,-1,-1,-1,League Two - England,3035735
Colchester United,Port Vale,2019-08-03,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,3,3,-1,-1,-1,-1,-1,League Two - England,3035738
Crewe Alexandra,Plymouth Argyle,2019-08-03,0,3,3,n,0,2,2,0,2,0,1,1,0,1,3,5,8,-1,-1,-1,-1,-1,League Two - England,3035740
Exeter City,Macclesfield Town,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,3,4,-1,-1,-1,-1,-1,League Two - England,3035742
Forest Green Rovers,Oldham Athletic,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,2,3,-1,-1,-1,-1,-1,League Two - England,3035745
Leyton Orient,Cheltenham Town,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,3,3,-1,-1,-1,-1,-1,League Two - England,3035747
Morecambe,Grimsby Town,2019-08-03,0,2,2,n,0,0,0,0,0,0,2,2,0,2,3,2,5,-1,-1,-1,-1,-1,League Two - England,3035750
Newport County,Mansfield Town,2019-08-03,2,2,4,y,2,0,0,2,2,0,2,2,0,2,2,6,8,-1,-1,-1,-1,-1,League Two - England,3035752
Northampton Town,Walsall,2019-08-03,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,4,6,-1,-1,-1,-1,-1,League Two - England,3035754
Salford City,Stevenage,2019-08-03,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,0,1,3,7,7,3,10,League Two - England,3035757
Scunthorpe United,Swindon Town,2019-08-03,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,0,2,-1,-1,-1,-1,-1,League Two - England,3035760
Cambridge United,Newport County,2019-08-10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,League Two - England,3035763
Cheltenham Town,Scunthorpe United,2019-08-10,4,1,5,y,0,0,0,0,0,4,1,1,4,5,0,2,2,-1,-1,-1,-1,-1,League Two - England,3035764
Crawley Town,Salford City,2019-08-10,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,2,4,-1,-1,-1,-1,-1,League Two - England,3035767
Grimsby Town,Bradford City,2019-08-10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,1,3,-1,-1,-1,-1,-1,League Two - England,3035768
Macclesfield Town,Leyton Orient,2019-08-10,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,1,2,-1,-1,-1,-1,-1,League Two - England,3035771
Mansfield Town,Morecambe,2019-08-10,2,2,4,y,1,2,2,1,3,1,0,0,1,1,3,2,5,-1,-1,-1,-1,-1,League Two - England,3035773
Oldham Athletic,Crewe Alexandra,2019-08-10,1,2,3,y,1,2,2,1,3,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,League Two - England,3035775
Plymouth Argyle,Colchester United,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,League Two - England,3035778
Port Vale,Northampton Town,2019-08-10,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,5,6,-1,-1,-1,-1,-1,League Two - England,3035781
Stevenage,Exeter City,2019-08-10,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,2,4,-1,-1,-1,-1,-1,League Two - England,3035784
Swindon Town,Carlisle United,2019-08-10,3,2,5,y,0,0,0,0,0,3,2,2,3,5,2,2,4,-1,-1,-1,-1,-1,League Two - England,3035787
Walsall,Forest Green Rovers,2019-08-10,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,3,5,-1,-1,-1,-1,-1,League Two - England,3035789
Bradford City,Oldham Athletic,2019-08-17,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,League Two - England,3035792
Carlisle United,Mansfield Town,2019-08-17,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,3,4,-1,-1,-1,-1,-1,League Two - England,3035795
