Brechin City,Annan Athletic,2019-08-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,1,5,-1,-1,-1,-1,-1,League Two - Scotland,3038739
Cove Rangers,Edinburgh City,2019-08-03,5,0,5,n,3,0,0,3,3,2,0,0,2,2,1,5,6,-1,-1,-1,-1,-1,League Two - Scotland,3038740
Elgin City,Cowdenbeath,2019-08-03,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,4,6,-1,-1,-1,-1,-1,League Two - Scotland,3038741
Stenhousemuir,Albion Rovers,2019-08-03,2,3,5,y,0,1,1,0,1,2,2,2,2,4,2,4,6,-1,-1,-1,-1,-1,League Two - Scotland,3038742
Stirling Albion,Queen's Park,2019-08-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,2,6,-1,-1,-1,-1,-1,League Two - Scotland,3038743
Albion Rovers,Cove Rangers,2019-08-10,4,4,8,y,1,3,3,1,4,3,1,1,3,4,1,1,2,-1,-1,-1,-1,-1,League Two - Scotland,3038744
Annan Athletic,Elgin City,2019-08-10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,2,4,-1,-1,-1,-1,-1,League Two - Scotland,3038745
Cowdenbeath,Stirling Albion,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,2,5,-1,-1,-1,-1,-1,League Two - Scotland,3038746
Edinburgh City,Brechin City,2019-08-10,2,1,3,y,1,0,0,1,1,1,1,1,1,2,2,2,4,-1,-1,-1,-1,-1,League Two - Scotland,3038747
Queen's Park,Stenhousemuir,2019-08-10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,4,7,-1,-1,-1,-1,-1,League Two - Scotland,3038748
Annan Athletic,Albion Rovers,2019-08-17,3,2,5,y,3,1,1,3,4,0,1,1,0,1,2,1,3,-1,-1,-1,-1,-1,League Two - Scotland,3038749
Brechin City,Queen's Park,2019-08-17,0,3,3,n,0,2,2,0,2,0,1,1,0,1,2,1,3,-1,-1,-1,-1,-1,League Two - Scotland,3038750
Cove Rangers,Cowdenbeath,2019-08-17,3,2,5,y,1,0,0,1,1,2,2,2,2,4,3,2,5,-1,-1,-1,-1,-1,League Two - Scotland,3038751
Edinburgh City,Stirling Albion,2019-08-17,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,2,4,-1,-1,-1,-1,-1,League Two - Scotland,3038752
Elgin City,Stenhousemuir,2019-08-17,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,3,5,-1,-1,-1,-1,-1,League Two - Scotland,3038753
Albion Rovers,Brechin City,2019-08-24,0,1,1,n,0,1,1,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,League Two - Scotland,3038754
Cowdenbeath,Annan Athletic,2019-08-24,3,1,4,y,1,0,0,1,1,2,1,1,2,3,1,2,3,-1,-1,-1,-1,-1,League Two - Scotland,3038755
Queen's Park,Elgin City,2019-08-24,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,League Two - Scotland,3038756
Stenhousemuir,Edinburgh City,2019-08-24,1,3,4,y,1,0,0,1,1,0,3,3,0,3,1,1,2,-1,-1,-1,-1,-1,League Two - Scotland,3038757
Stirling Albion,Cove Rangers,2019-08-24,1,2,3,y,0,1,1,0,1,1,1,1,1,2,1,0,1,-1,-1,-1,-1,-1,League Two - Scotland,3038758
Albion Rovers,Stirling Albion,2019-08-31,2,1,3,y,0,1,1,0,1,2,0,0,2,2,4,4,8,-1,-1,-1,-1,-1,League Two - Scotland,3038759
Annan Athletic,Stenhousemuir,2019-08-31,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,2,4,-1,-1,-1,-1,-1,League Two - Scotland,3038760
Cove Rangers,Queen's Park,2019-08-31,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,1,3,-1,-1,-1,-1,-1,League Two - Scotland,3038761
Cowdenbeath,Brechin City,2019-08-31,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,2,5,-1,-1,-1,-1,-1,League Two - Scotland,3038762
Elgin City,Edinburgh City,2019-08-31,3,3,6,y,0,2,2,0,2,3,1,1,3,4,3,3,6,-1,-1,-1,-1,-1,League Two - Scotland,3038763
Brechin City,Cove Rangers,2019-09-14,2,4,6,y,2,4,4,2,6,0,0,0,0,0,1,0,1,-1,-1,-1,-1,-1,League Two - Scotland,3038764
Edinburgh City,Annan Athletic,2019-09-14,4,0,4,n,1,0,0,1,1,3,0,0,3,3,0,0,0,-1,-1,-1,-1,-1,League Two - Scotland,3038765
Queen's Park,Albion Rovers,2019-09-14,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,4,5,-1,-1,-1,-1,-1,League Two - Scotland,3038766
Stenhousemuir,Cowdenbeath,2019-09-14,0,3,3,n,0,1,1,0,1,0,2,2,0,2,3,3,6,-1,-1,-1,-1,-1,League Two - Scotland,3038767
Stirling Albion,Elgin City,2019-09-14,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,3,6,-1,-1,-1,-1,-1,League Two - Scotland,3038768
