CFR Cluj,Politehnica Iași,2019-07-13,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,1,4,12,11,11,12,23,Liga I - Romania,3048255
Universitatea Craiova,Academica Clinceni,2019-07-14,3,2,5,y,2,1,1,2,3,1,1,1,1,2,1,1,2,6,5,5,6,11,Liga I - Romania,3048256
Viitorul,Dinamo Bucureşti,2019-07-15,5,0,5,n,1,0,0,1,1,4,0,0,4,4,1,2,3,7,2,2,7,9,Liga I - Romania,3048257
Gaz Metan Mediaş,Chindia Târgovişte,2019-07-15,2,2,4,y,2,0,0,2,2,0,2,2,0,2,0,2,2,7,1,1,7,8,Liga I - Romania,3048258
FCSB,Hermannstadt,2019-07-14,4,3,7,y,2,1,1,2,3,2,2,2,2,4,4,3,7,4,2,2,4,6,Liga I - Romania,3048259
Voluntari,Sepsi,2019-07-12,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,2,6,6,2,8,Liga I - Romania,3048260
Astra,Botoşani,2019-07-13,2,2,4,y,1,2,2,1,3,1,0,0,1,1,2,2,4,1,10,10,1,11,Liga I - Romania,3048261
Academica Clinceni,CFR Cluj,2019-07-20,1,4,5,y,0,3,3,0,3,1,1,1,1,2,4,2,6,5,7,7,5,12,Liga I - Romania,3048262
Dinamo Bucureşti,Universitatea Craiova,2019-07-21,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,2,5,3,5,5,3,8,Liga I - Romania,3048263
Chindia Târgovişte,Viitorul,2019-07-19,0,1,1,n,0,0,0,0,0,0,1,1,0,1,6,3,9,3,6,6,3,9,Liga I - Romania,3048264
Hermannstadt,Gaz Metan Mediaş,2019-07-19,0,2,2,n,0,0,0,0,0,0,2,2,0,2,8,4,12,2,3,3,2,5,Liga I - Romania,3048265
Sepsi,FCSB,2019-07-22,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,0,2,2,10,10,2,12,Liga I - Romania,3048266
Botoşani,Voluntari,2019-07-20,4,1,5,y,2,1,1,2,3,2,0,0,2,2,3,1,4,5,4,4,5,9,Liga I - Romania,3048267
Politehnica Iași,Astra,2019-07-21,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,1,4,7,4,4,7,11,Liga I - Romania,3048268
CFR Cluj,Dinamo Bucureşti,2019-07-27,1,0,1,n,0,0,0,0,0,1,0,0,1,1,5,0,5,4,2,2,4,6,Liga I - Romania,3048269
Universitatea Craiova,Chindia Târgovişte,2019-07-28,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,3,4,7,5,5,7,12,Liga I - Romania,3048270
Viitorul,Hermannstadt,2019-07-28,3,2,5,y,0,0,0,0,0,3,2,2,3,5,1,2,3,5,3,3,5,8,Liga I - Romania,3048271
Gaz Metan Mediaş,Sepsi,2019-07-27,1,1,2,y,1,0,0,1,1,0,1,1,0,1,4,3,7,4,2,2,4,6,Liga I - Romania,3048272
FCSB,Botoşani,2019-07-29,0,2,2,n,0,2,2,0,2,0,0,0,0,0,2,1,3,7,3,3,7,10,Liga I - Romania,3048273
Voluntari,Astra,2019-07-26,1,2,3,y,1,1,1,1,2,0,1,1,0,1,1,4,5,5,4,4,5,9,Liga I - Romania,3048274
Politehnica Iași,Academica Clinceni,2019-07-26,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,1,2,11,6,6,11,17,Liga I - Romania,3048275
Chindia Târgovişte,CFR Cluj,2019-08-03,1,4,5,y,1,0,0,1,1,0,4,4,0,4,2,0,2,7,2,2,7,9,Liga I - Romania,3048276
Hermannstadt,Universitatea Craiova,2019-08-04,2,1,3,y,0,1,1,0,1,2,0,0,2,2,3,7,10,8,4,4,8,12,Liga I - Romania,3048277
Sepsi,Viitorul,2019-08-04,2,2,4,y,1,0,0,1,1,1,2,2,1,3,2,2,4,5,6,6,5,11,Liga I - Romania,3048278
Botoşani,Gaz Metan Mediaş,2019-08-03,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,2,6,10,2,2,10,12,Liga I - Romania,3048279
Astra,FCSB,2019-08-05,2,1,3,y,1,1,1,1,2,1,0,0,1,1,3,3,6,5,5,5,5,10,Liga I - Romania,3048280
Dinamo Bucureşti,Academica Clinceni,2019-08-02,4,2,6,y,0,0,0,0,0,4,2,2,4,6,3,3,6,3,6,6,3,9,Liga I - Romania,3048281
Voluntari,Politehnica Iași,2019-08-05,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,7,3,3,7,10,Liga I - Romania,3048282
CFR Cluj,Hermannstadt,2019-08-10,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,2,4,5,5,5,5,10,Liga I - Romania,3048283
Universitatea Craiova,Sepsi,2019-08-11,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,2,3,9,4,4,9,13,Liga I - Romania,3048284
Viitorul,Botoşani,2019-08-12,2,2,4,y,1,1,1,1,2,1,1,1,1,2,3,4,7,6,4,4,6,10,Liga I - Romania,3048285
Gaz Metan Mediaş,Astra,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,2,3,6,1,1,6,7,Liga I - Romania,3048286
Academica Clinceni,Chindia Târgovişte,2019-08-09,3,1,4,y,2,1,1,2,3,1,0,0,1,1,5,3,8,4,4,4,4,8,Liga I - Romania,3048287
FCSB,Voluntari,2019-08-11,1,3,4,y,0,1,1,0,1,1,2,2,1,3,5,2,7,3,3,3,3,6,Liga I - Romania,3048288
Politehnica Iași,Dinamo Bucureşti,2019-08-09,2,0,2,n,2,0,0,2,2,0,0,0,0,0,4,2,6,8,4,4,8,12,Liga I - Romania,3048289
Sepsi,CFR Cluj,2019-08-17,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,4,5,5,5,5,5,10,Liga I - Romania,3048290
Botoşani,Universitatea Craiova,2019-08-18,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,6,7,4,5,5,4,9,Liga I - Romania,3048291
Astra,Viitorul,2019-08-19,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,1,2,2,4,4,2,6,Liga I - Romania,3048292
Hermannstadt,Academica Clinceni,2019-08-16,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,4,7,6,8,8,6,14,Liga I - Romania,3048293
Voluntari,Gaz Metan Mediaş,2019-08-19,0,3,3,n,0,2,2,0,2,0,1,1,0,1,1,1,2,4,6,6,4,10,Liga I - Romania,3048294
Chindia Târgovişte,Dinamo Bucureşti,2019-08-16,3,2,5,y,2,0,0,2,2,1,2,2,1,3,5,4,9,5,4,4,5,9,Liga I - Romania,3048295
FCSB,Politehnica Iași,2019-08-18,1,2,3,y,0,1,1,0,1,1,1,1,1,2,3,3,6,3,4,4,3,7,Liga I - Romania,3048296
CFR Cluj,Botoşani,2019-08-24,4,1,5,y,3,0,0,3,3,1,1,1,1,2,4,4,8,4,7,7,4,11,Liga I - Romania,3048297
Universitatea Craiova,Astra,2019-08-23,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,3,7,3,2,2,3,5,Liga I - Romania,3048298
Academica Clinceni,Sepsi,2019-08-24,1,1,2,y,1,1,1,1,2,0,0,0,0,0,3,2,5,6,2,2,6,8,Liga I - Romania,3048299
Viitorul,Voluntari,2019-08-25,4,0,4,n,1,0,0,1,1,3,0,0,3,3,3,1,4,2,3,3,2,5,Liga I - Romania,3048300
Dinamo Bucureşti,Hermannstadt,2019-08-26,3,0,3,n,1,0,0,1,1,2,0,0,2,2,3,3,6,2,11,11,2,13,Liga I - Romania,3048301
Gaz Metan Mediaş,FCSB,2019-08-25,4,0,4,n,1,0,0,1,1,3,0,0,3,3,2,6,8,9,2,2,9,11,Liga I - Romania,3048302
Politehnica Iași,Chindia Târgovişte,2019-08-23,2,2,4,y,2,1,1,2,3,0,1,1,0,1,3,3,6,5,3,3,5,8,Liga I - Romania,3048303
Astra,CFR Cluj,2019-08-31,3,2,5,y,1,1,1,1,2,2,1,1,2,3,3,7,10,4,4,4,4,8,Liga I - Romania,3048304
Botoşani,Academica Clinceni,2019-08-30,2,2,4,y,2,2,2,2,4,0,0,0,0,0,2,1,3,7,1,1,7,8,Liga I - Romania,3048305
Voluntari,Universitatea Craiova,2019-08-30,1,2,3,y,1,0,0,1,1,0,2,2,0,2,5,3,8,2,10,10,2,12,Liga I - Romania,3048306
Sepsi,Dinamo Bucureşti,2019-09-02,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,1,2,3,6,6,3,9,Liga I - Romania,3048307
FCSB,Viitorul,2019-09-01,2,1,3,y,1,1,1,1,2,1,0,0,1,1,2,3,5,2,1,1,2,3,Liga I - Romania,3048308
Hermannstadt,Chindia Târgovişte,2019-09-01,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,2,3,3,4,4,3,7,Liga I - Romania,3048309
Gaz Metan Mediaş,Politehnica Iași,2019-08-31,3,2,5,y,0,0,0,0,0,3,2,2,3,5,2,5,7,5,2,2,5,7,Liga I - Romania,3048310
