Puebla,Tijuana,1,1,3,4,y,1,1,1,1,2,0,2,2,0,2,1,0,1,7,4,4,7,11,Liga MX - Mexico,3040957
Atlas,Juárez,1,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,3,6,5,7,7,5,12,Liga MX - Mexico,3040958
Atlético San Luis,Pumas UNAM,1,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,3,3,3,5,5,3,8,Liga MX - Mexico,3040959
Pachuca,León,1,1,3,4,y,0,2,2,0,2,1,1,1,1,2,1,2,3,6,2,2,6,8,Liga MX - Mexico,3040960
Tigres UANL,Morelia,1,4,2,6,y,3,0,0,3,3,1,2,2,1,3,1,0,1,1,2,2,1,3,Liga MX - Mexico,3040961
América,Monterrey,1,4,2,6,y,2,2,2,2,4,2,0,0,2,2,2,3,5,7,3,3,7,10,Liga MX - Mexico,3040962
Necaxa,Cruz Azul,1,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,8,Liga MX - Mexico,3040963
Toluca,Querétaro,1,0,2,2,n,0,0,0,0,0,0,2,2,0,2,4,0,4,5,5,5,5,10,Liga MX - Mexico,3040964
Santos Laguna,Guadalajara,1,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,1,3,6,8,8,6,14,Liga MX - Mexico,3040965
Morelia,Atlas,2,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,2,5,5,3,3,5,8,Liga MX - Mexico,3040966
Veracruz,Pachuca,2,3,3,6,y,2,1,1,2,3,1,2,2,1,3,2,1,3,7,8,8,7,15,Liga MX - Mexico,3040967
León,América,2,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,5,8,7,4,4,7,11,Liga MX - Mexico,3040968
Tijuana,Querétaro,2,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,3,5,4,3,3,4,7,Liga MX - Mexico,3040969
Cruz Azul,Toluca,2,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,1,3,7,5,5,7,12,Liga MX - Mexico,3040970
Pumas UNAM,Necaxa,2,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,3,4,4,1,1,4,5,Liga MX - Mexico,3040971
Atlético San Luis,Monterrey,2,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,3,7,5,8,8,5,13,Liga MX - Mexico,3040972
Guadalajara,Tigres UANL,2,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,4,6,8,6,6,8,14,Liga MX - Mexico,3040973
Santos Laguna,Juárez,2,3,0,3,n,0,0,0,0,0,3,0,0,3,3,0,2,2,8,3,3,8,11,Liga MX - Mexico,3040974
Puebla,Guadalajara,3,1,1,2,y,1,1,1,1,2,0,0,0,0,0,5,4,9,5,5,5,5,10,Liga MX - Mexico,3040975
Atlas,Santos Laguna,3,1,2,3,y,0,1,1,0,1,1,1,1,1,2,5,3,8,2,5,5,2,7,Liga MX - Mexico,3040976
Querétaro,Cruz Azul,3,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,2,4,5,2,2,5,7,Liga MX - Mexico,3040977
América,Tijuana,3,3,1,4,y,0,0,0,0,0,3,1,1,3,4,2,6,8,4,1,1,4,5,Liga MX - Mexico,3040978
Pachuca,Morelia,3,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,1,3,9,3,3,9,12,Liga MX - Mexico,3040979
Monterrey,León,3,3,2,5,y,1,2,2,1,3,2,0,0,2,2,3,3,6,12,3,3,12,15,Liga MX - Mexico,3040980
Necaxa,Veracruz,3,7,0,7,n,1,0,0,1,1,6,0,0,6,6,1,1,2,1,7,7,1,8,Liga MX - Mexico,3040981
Pumas UNAM,Tigres UANL,3,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,3,7,5,2,2,5,7,Liga MX - Mexico,3040982
Juárez,Toluca,3,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,4,6,1,6,6,1,7,Liga MX - Mexico,3040983
Morelia,Monterrey,4,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,2,6,7,6,6,7,13,Liga MX - Mexico,3040984
Veracruz,Atlas,4,1,2,3,y,1,0,0,1,1,0,2,2,0,2,2,1,3,5,1,1,5,6,Liga MX - Mexico,3040985
Tijuana,Pumas UNAM,4,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,5,9,0,4,4,0,4,Liga MX - Mexico,3040986
