Hapoel Tel Aviv,Maccabi Netanya,2019-08-26,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,4,6,4,4,4,4,8,Ligat ha'Al - Israel,3033612
Sektzia Nes Tziona,Maccabi Tel Aviv,2019-08-24,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,2,3,2,5,5,2,7,Ligat ha'Al - Israel,3033613
Bnei Yehuda,Ironi Kiryat Shmona,2019-08-25,2,1,3,y,0,1,1,0,1,2,0,0,2,2,2,6,8,16,3,3,16,19,Ligat ha'Al - Israel,3033614
Hapoel Kfar Saba,Hapoel Haifa,2019-08-25,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,3,7,3,6,6,3,9,Ligat ha'Al - Israel,3033615
Maccabi Haifa,Hapoel Ra'anana,2019-08-24,4,3,7,y,2,2,2,2,4,2,1,1,2,3,5,1,6,12,1,1,12,13,Ligat ha'Al - Israel,3033616
Beitar Jerusalem,Hapoel Be'er Sheva,2019-08-25,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,7,11,6,3,3,6,9,Ligat ha'Al - Israel,3033617
Hapoel Hadera,Ashdod,2019-08-24,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,2,3,5,4,4,5,9,Ligat ha'Al - Israel,3033618
Ashdod,Hapoel Tel Aviv,2019-08-31,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,0,2,11,10,10,11,21,Ligat ha'Al - Israel,3033619
Hapoel Be'er Sheva,Hapoel Hadera,2019-09-01,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,5,7,11,2,2,11,13,Ligat ha'Al - Israel,3033620
Hapoel Ra'anana,Beitar Jerusalem,2019-09-01,2,1,3,y,1,0,0,1,1,1,1,1,1,2,4,3,7,2,9,9,2,11,Ligat ha'Al - Israel,3033621
Hapoel Haifa,Maccabi Haifa,2019-08-31,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,4,7,3,8,8,3,11,Ligat ha'Al - Israel,3033622
Ironi Kiryat Shmona,Hapoel Kfar Saba,2019-09-02,1,3,4,y,0,2,2,0,2,1,1,1,1,2,1,3,4,5,6,6,5,11,Ligat ha'Al - Israel,3033623
Maccabi Tel Aviv,Bnei Yehuda,2019-09-01,0,0,0,n,0,0,0,0,0,0,0,0,0,0,6,3,9,3,4,4,3,7,Ligat ha'Al - Israel,3033624
Maccabi Netanya,Sektzia Nes Tziona,2019-08-31,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,1,3,5,9,9,5,14,Ligat ha'Al - Israel,3033625
Hapoel Tel Aviv,Sektzia Nes Tziona,2019-09-14,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,6,7,-1,-1,-1,-1,-1,Ligat ha'Al - Israel,3033626
Bnei Yehuda,Maccabi Netanya,2019-09-15,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,5,7,5,8,8,5,13,Ligat ha'Al - Israel,3033627
Hapoel Kfar Saba,Maccabi Tel Aviv,2019-09-14,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,1,5,3,5,5,3,8,Ligat ha'Al - Israel,3033628
Maccabi Haifa,Ironi Kiryat Shmona,2019-09-14,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,1,2,5,4,4,5,9,Ligat ha'Al - Israel,3033629
Beitar Jerusalem,Hapoel Haifa,2019-09-16,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,2,3,11,1,1,11,12,Ligat ha'Al - Israel,3033630
Hapoel Hadera,Hapoel Ra'anana,2019-09-14,4,0,4,n,1,0,0,1,1,3,0,0,3,3,1,3,4,4,5,5,4,9,Ligat ha'Al - Israel,3033631
Ashdod,Hapoel Be'er Sheva,2019-09-15,2,2,4,y,1,1,1,1,2,1,1,1,1,2,6,2,8,4,3,3,4,7,Ligat ha'Al - Israel,3033632
Hapoel Be'er Sheva,Hapoel Tel Aviv,2019-09-23,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,4,6,4,2,2,4,6,Ligat ha'Al - Israel,3033633
Hapoel Ra'anana,Ashdod,2019-09-22,1,1,2,y,1,0,0,1,1,0,1,1,0,1,4,2,6,3,3,3,3,6,Ligat ha'Al - Israel,3033634
Hapoel Haifa,Hapoel Hadera,2019-09-22,1,2,3,y,0,1,1,0,1,1,1,1,1,2,4,6,10,9,1,1,9,10,Ligat ha'Al - Israel,3033635
Ironi Kiryat Shmona,Beitar Jerusalem,2019-09-21,0,2,2,n,0,0,0,0,0,0,2,2,0,2,1,3,4,5,6,6,5,11,Ligat ha'Al - Israel,3033636
Maccabi Tel Aviv,Maccabi Haifa,2019-09-21,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,4,8,4,2,2,4,6,Ligat ha'Al - Israel,3033637
Maccabi Netanya,Hapoel Kfar Saba,2019-09-21,2,2,4,y,0,0,0,0,0,2,2,2,2,4,4,3,7,3,5,5,3,8,Ligat ha'Al - Israel,3033638
Sektzia Nes Tziona,Bnei Yehuda,2019-09-21,0,1,1,n,0,1,1,0,1,0,0,0,0,0,0,1,1,5,1,1,5,6,Ligat ha'Al - Israel,3033639
Hapoel Tel Aviv,Bnei Yehuda,2019-09-28,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,3,6,3,5,5,3,8,Ligat ha'Al - Israel,3033640
Hapoel Kfar Saba,Sektzia Nes Tziona,2019-09-25,1,1,2,y,1,1,1,1,2,0,0,0,0,0,3,2,5,3,1,1,3,4,Ligat ha'Al - Israel,3033641
Maccabi Haifa,Maccabi Netanya,2019-09-25,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,6,6,4,6,6,4,10,Ligat ha'Al - Israel,3033642
Beitar Jerusalem,Maccabi Tel Aviv,2019-09-28,0,4,4,n,0,1,1,0,1,0,3,3,0,3,6,4,10,8,2,2,8,10,Ligat ha'Al - Israel,3033643
Hapoel Hadera,Ironi Kiryat Shmona,2019-09-28,2,2,4,y,1,1,1,1,2,1,1,1,1,2,1,3,4,1,6,6,1,7,Ligat ha'Al - Israel,3033644
Ashdod,Hapoel Haifa,2019-09-28,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,5,7,7,5,12,Ligat ha'Al - Israel,3033645
Hapoel Be'er Sheva,Hapoel Ra'anana,2019-09-28,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,5,8,6,3,3,6,9,Ligat ha'Al - Israel,3033646
Hapoel Ra'anana,Hapoel Tel Aviv,2019-10-06,2,2,4,y,1,1,1,1,2,1,1,1,1,2,2,2,4,5,4,4,5,9,Ligat ha'Al - Israel,3033647
Hapoel Haifa,Hapoel Be'er Sheva,2019-10-05,0,3,3,n,0,1,1,0,1,0,2,2,0,2,2,3,5,9,3,3,9,12,Ligat ha'Al - Israel,3033648
Ironi Kiryat Shmona,Ashdod,2019-10-07,2,0,2,n,2,0,0,2,2,0,0,0,0,0,6,1,7,2,6,6,2,8,Ligat ha'Al - Israel,3033649
Maccabi Tel Aviv,Hapoel Hadera,2019-10-05,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,9,3,3,9,12,Ligat ha'Al - Israel,3033650
Maccabi Netanya,Beitar Jerusalem,2019-10-06,0,3,3,n,0,3,3,0,3,0,0,0,0,0,3,3,6,4,1,1,4,5,Ligat ha'Al - Israel,3033651
Sektzia Nes Tziona,Maccabi Haifa,2019-10-05,0,3,3,n,0,0,0,0,0,0,3,3,0,3,2,2,4,2,12,12,2,14,Ligat ha'Al - Israel,3033652
Bnei Yehuda,Hapoel Kfar Saba,2019-10-06,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,4,6,3,4,4,3,7,Ligat ha'Al - Israel,3033653
Hapoel Tel Aviv,Hapoel Kfar Saba,2019-10-19,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,2,3,3,2,2,3,5,Ligat ha'Al - Israel,3033654
Maccabi Haifa,Bnei Yehuda,2019-10-21,1,1,2,y,0,0,0,0,0,1,1,1,1,2,5,3,8,0,4,4,0,4,Ligat ha'Al - Israel,3033655
Hapoel Hadera,Maccabi Netanya,2019-10-19,1,0,1,n,0,0,0,0,0,1,0,0,1,1,5,6,11,1,8,8,1,9,Ligat ha'Al - Israel,3033657
Ashdod,Maccabi Tel Aviv,2019-10-21,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,3,7,4,8,8,4,12,Ligat ha'Al - Israel,3033658
Hapoel Ra'anana,Hapoel Haifa,2019-10-21,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,3,7,3,7,7,3,10,Ligat ha'Al - Israel,3033660
Hapoel Haifa,Hapoel Tel Aviv,2019-10-26,3,0,3,n,2,0,0,2,2,1,0,0,1,1,4,3,7,5,7,7,5,12,Ligat ha'Al - Israel,3033661
Ironi Kiryat Shmona,Hapoel Ra'anana,2019-10-26,2,1,3,y,1,0,0,1,1,1,1,1,1,2,4,2,6,5,6,6,5,11,Ligat ha'Al - Israel,3033662
Maccabi Tel Aviv,Hapoel Be'er Sheva,2019-10-28,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,5,6,12,5,5,12,17,Ligat ha'Al - Israel,3033663
Maccabi Netanya,Ashdod,2019-10-26,2,4,6,y,1,2,2,1,3,1,2,2,1,3,5,1,6,4,5,5,4,9,Ligat ha'Al - Israel,3033664
