Sochaux,Caen,2019-07-26,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,3,5,5,3,8,Ligue 2 - France,3031016
Le Mans,Lens,2019-07-27,1,2,3,y,1,0,0,1,1,0,2,2,0,2,1,0,1,5,2,2,5,7,Ligue 2 - France,3031017
Chambly,Valenciennes,2019-07-26,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,2,4,2,5,5,2,7,Ligue 2 - France,3031018
Rodez,Auxerre,2019-07-26,2,0,2,n,2,0,0,2,2,0,0,0,0,0,1,2,3,4,3,3,4,7,Ligue 2 - France,3031019
Guingamp,Grenoble Foot 38,2019-07-26,3,3,6,y,2,0,0,2,2,1,3,3,1,4,1,2,3,-1,-1,-1,-1,-1,Ligue 2 - France,3031020
Ajaccio,Le Havre,2019-07-26,2,2,4,y,1,0,0,1,1,1,2,2,1,3,4,5,9,5,8,8,5,13,Ligue 2 - France,3031021
Clermont,Châteauroux,2019-07-26,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,3,4,8,3,3,8,11,Ligue 2 - France,3031022
Lorient,Paris FC,2019-07-29,3,0,3,n,1,0,0,1,1,2,0,0,2,2,0,4,4,8,2,2,8,10,Ligue 2 - France,3031023
Nancy,Orléans,2019-07-26,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,6,2,2,6,8,Ligue 2 - France,3031024
Niort,Troyes,2019-07-26,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,1,3,1,5,5,1,6,Ligue 2 - France,3031025
Paris FC,Sochaux,2019-08-02,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,2,3,7,1,1,7,8,Ligue 2 - France,3031026
Caen,Lorient,2019-08-05,1,2,3,y,0,2,2,0,2,1,0,0,1,1,4,2,6,5,2,2,5,7,Ligue 2 - France,3031027
Auxerre,Le Mans,2019-08-02,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,2,3,2,4,4,2,6,Ligue 2 - France,3031028
