Mezőkövesd-Zsóry,Zalaegerszegi TE,2019-08-03,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,2,3,5,5,5,5,10,NB I - Hungary,3050533
Fehérvár,Kaposvári Rákóczi,2019-08-04,4,2,6,y,3,2,2,3,5,1,0,0,1,1,1,3,4,9,3,3,9,12,NB I - Hungary,3050534
Újpest,Puskás,2019-08-03,1,3,4,y,0,2,2,0,2,1,1,1,1,2,1,3,4,7,1,1,7,8,NB I - Hungary,3050535
Diósgyőr,Honvéd,2019-08-04,2,1,3,y,1,1,1,1,2,1,0,0,1,1,3,2,5,6,11,11,6,17,NB I - Hungary,3050536
Kisvárda,Paksi SE,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,2,5,8,7,7,8,15,NB I - Hungary,3050537
Paksi SE,Honvéd,2019-08-11,3,1,4,y,2,0,0,2,2,1,1,1,1,2,1,5,6,5,13,13,5,18,NB I - Hungary,3050538
Diósgyőr,Újpest,2019-08-10,1,2,3,y,1,1,1,1,2,0,1,1,0,1,1,3,4,7,4,4,7,11,NB I - Hungary,3050539
Puskás,Fehérvár,2019-08-11,0,2,2,n,0,0,0,0,0,0,2,2,0,2,4,1,5,4,5,5,4,9,NB I - Hungary,3050540
Kaposvári Rákóczi,Mezőkövesd-Zsóry,2019-08-10,1,2,3,y,1,2,2,1,3,0,0,0,0,0,1,0,1,2,8,8,2,10,NB I - Hungary,3050541
Zalaegerszegi TE,Ferencvaros,2019-09-22,1,2,3,y,1,0,0,1,1,0,2,2,0,2,3,1,4,3,10,10,3,13,NB I - Hungary,3050542
Debrecen,Kisvárda,2019-08-11,4,1,5,y,2,1,1,2,3,2,0,0,2,2,2,5,7,7,6,6,7,13,NB I - Hungary,3050543
Ferencvaros,Kaposvári Rákóczi,2019-08-17,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,4,6,11,0,0,11,11,NB I - Hungary,3050544
Mezőkövesd-Zsóry,Puskás,2019-08-17,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,1,4,1,2,2,1,3,NB I - Hungary,3050545
Fehérvár,Diósgyőr,2019-08-17,5,1,6,y,1,1,1,1,2,4,0,0,4,4,2,5,7,7,0,0,7,7,NB I - Hungary,3050546
Újpest,Paksi SE,2019-08-17,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,2,3,3,4,4,3,7,NB I - Hungary,3050547
Honvéd,Kisvárda,2019-08-17,1,3,4,y,0,1,1,0,1,1,2,2,1,3,2,3,5,5,2,2,5,7,NB I - Hungary,3050548
Debrecen,Zalaegerszegi TE,2019-08-17,3,2,5,y,2,1,1,2,3,1,1,1,1,2,4,2,6,7,5,5,7,12,NB I - Hungary,3050549
Honvéd,Debrecen,2019-08-24,2,3,5,y,1,1,1,1,2,1,2,2,1,3,2,2,4,6,6,6,6,12,NB I - Hungary,3050550
Kisvárda,Újpest,2019-08-24,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,1,9,9,1,10,NB I - Hungary,3050551
Paksi SE,Fehérvár,2019-08-24,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,4,6,11,2,2,11,13,NB I - Hungary,3050552
Diósgyőr,Mezőkövesd-Zsóry,2019-08-24,0,3,3,n,0,0,0,0,0,0,3,3,0,3,3,2,5,2,4,4,2,6,NB I - Hungary,3050553
Puskás,Ferencvaros,2019-08-25,4,1,5,y,1,1,1,1,2,3,0,0,3,3,4,2,6,3,6,6,3,9,NB I - Hungary,3050554
Kaposvári Rákóczi,Zalaegerszegi TE,2019-08-24,0,4,4,n,0,2,2,0,2,0,2,2,0,2,4,1,5,8,2,2,8,10,NB I - Hungary,3050555
Ferencvaros,Diósgyőr,2019-09-01,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,3,7,4,1,1,4,5,NB I - Hungary,3050556
Mezőkövesd-Zsóry,Paksi SE,2019-08-31,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,3,5,6,4,4,6,10,NB I - Hungary,3050557
Fehérvár,Kisvárda,2019-08-31,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,5,6,8,3,3,8,11,NB I - Hungary,3050558
Újpest,Honvéd,2019-08-31,2,3,5,y,1,3,3,1,4,1,0,0,1,1,2,3,5,5,4,4,5,9,NB I - Hungary,3050559
Zalaegerszegi TE,Puskás,2019-08-31,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,2,3,5,8,8,5,13,NB I - Hungary,3050560
Debrecen,Kaposvári Rákóczi,2019-08-31,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,4,7,10,3,3,10,13,NB I - Hungary,3050561
Újpest,Debrecen,2019-09-14,3,2,5,y,0,1,1,0,1,3,1,1,3,4,4,2,6,9,1,1,9,10,NB I - Hungary,3050562
Honvéd,Fehérvár,2019-09-14,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,4,6,4,4,4,4,8,NB I - Hungary,3050563
Kisvárda,Mezőkövesd-Zsóry,2019-09-14,1,2,3,y,0,1,1,0,1,1,1,1,1,2,5,4,9,9,6,6,9,15,NB I - Hungary,3050564
Paksi SE,Ferencvaros,2019-09-14,0,4,4,n,0,3,3,0,3,0,1,1,0,1,3,1,4,2,5,5,2,7,NB I - Hungary,3050565
Diósgyőr,Zalaegerszegi TE,2019-09-14,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,5,7,7,7,7,7,14,NB I - Hungary,3050566
Puskás,Kaposvári Rákóczi,2019-09-14,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,3,4,9,4,4,9,13,NB I - Hungary,3050567
Ferencvaros,Kisvárda,2019-09-29,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,2,5,7,3,3,7,10,NB I - Hungary,3050568
