Bourg-en-Bresse,Quevilly-Rouen,2019-08-02,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,5,4,4,5,9,National 1 - France,3073147
Pau,Cholet,2019-08-02,1,1,2,y,0,0,0,0,0,1,1,1,1,2,4,6,10,-1,-1,-1,-1,-1,National 1 - France,3073148
Red Star,Gazélec Ajaccio,2019-08-02,3,0,3,n,3,0,0,3,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,National 1 - France,3073149
Toulon,Béziers,2019-08-02,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,5,2,2,5,7,National 1 - France,3073150
Laval,Le Puy Foot,2019-08-02,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,1,3,5,2,2,5,7,National 1 - France,3073151
Concarneau,Avranches,2019-08-02,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,3,5,-1,-1,-1,-1,-1,National 1 - France,3073152
Créteil,Bastia-Borgo,2019-08-02,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,7,7,14,National 1 - France,3073153
Dunkerque,Lyon Duchère,2019-08-02,3,0,3,n,2,0,0,2,2,1,0,0,1,1,3,2,5,5,1,1,5,6,National 1 - France,3073154
Villefranche,Boulogne,2019-08-02,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,0,2,-1,-1,-1,-1,-1,National 1 - France,3073155
Béziers,Bourg-en-Bresse,2019-08-09,2,1,3,y,0,1,1,0,1,2,0,0,2,2,0,1,1,1,5,5,1,6,National 1 - France,3073156
Boulogne,Laval,2019-08-09,1,1,2,y,1,1,1,1,2,0,0,0,0,0,4,2,6,4,9,9,4,13,National 1 - France,3073157
Bastia-Borgo,Concarneau,2019-08-09,2,0,2,n,0,0,0,0,0,2,0,0,2,2,3,2,5,3,2,2,3,5,National 1 - France,3073158
Gazélec Ajaccio,Avranches,2019-08-09,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,2,6,-1,-1,-1,-1,-1,National 1 - France,3073159
Le Puy Foot,Créteil,2019-08-09,2,3,5,y,0,2,2,0,2,2,1,1,2,3,4,2,6,-1,-1,-1,-1,-1,National 1 - France,3073160
Lyon Duchère,Pau,2019-08-09,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,3,6,4,3,3,4,7,National 1 - France,3073161
Quevilly-Rouen,Dunkerque,2019-08-09,1,3,4,y,1,1,1,1,2,0,2,2,0,2,1,2,3,3,7,7,3,10,National 1 - France,3073162
Red Star,Toulon,2019-08-09,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,2,4,3,3,3,3,6,National 1 - France,3073163
Cholet,Villefranche,2019-08-09,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,2,4,-1,-1,-1,-1,-1,National 1 - France,3073164
Bourg-en-Bresse,Red Star,2019-08-17,1,4,5,y,0,2,2,0,2,1,2,2,1,3,2,1,3,-1,-1,-1,-1,-1,National 1 - France,3073165
Pau,Quevilly-Rouen,2019-08-16,4,2,6,y,1,0,0,1,1,3,2,2,3,5,2,5,7,-1,-1,-1,-1,-1,National 1 - France,3073166
Toulon,Gazélec Ajaccio,2019-08-16,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,3,6,3,6,6,3,9,National 1 - France,3073167
