Altrincham,York City,2019-08-03,1,3,4,y,1,1,1,1,2,0,2,2,0,2,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054487
Blyth Spartans,Gloucester City,2019-08-03,1,2,3,y,0,1,1,0,1,1,1,1,1,2,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054488
Boston United,Chester,2019-08-03,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054489
Brackley Town,Alfreton Town,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054490
Curzon Ashton,Bradford (Park Avenue),2019-08-03,5,0,5,n,2,0,0,2,2,3,0,0,3,3,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054491
Farsley Celtic,Darlington,2019-08-03,3,1,4,y,3,0,0,3,3,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054492
Gateshead,Southport,2019-08-03,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054493
Guiseley,King's Lynn Town,2019-08-03,3,0,3,n,1,0,0,1,1,2,0,0,2,2,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054494
Hereford,Spennymoor Town,2019-08-03,2,2,4,y,1,0,0,1,1,1,2,2,1,3,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054495
Kettering Town,AFC Telford United,2019-08-03,2,1,3,y,0,1,1,0,1,2,0,0,2,2,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054496
Kidderminster Harriers,Leamington,2019-08-03,2,2,4,y,0,1,1,0,1,2,1,1,2,3,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054497
AFC Telford United,Kidderminster Harriers,2019-08-06,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054498
Alfreton Town,Boston United,2019-08-06,1,1,2,y,1,0,0,1,1,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054499
Bradford (Park Avenue),Guiseley,2019-08-06,0,5,5,n,0,3,3,0,3,0,2,2,0,2,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054500
Chester,Altrincham,2019-08-06,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054501
Gloucester City,Hereford,2019-08-06,0,2,2,n,0,1,1,0,1,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054502
King's Lynn Town,Kettering Town,2019-08-06,2,1,3,y,0,0,0,0,0,2,1,1,2,3,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054503
Leamington,Brackley Town,2019-08-06,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054504
Southport,Curzon Ashton,2019-08-06,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054505
Spennymoor Town,Blyth Spartans,2019-09-10,5,0,5,n,2,0,0,2,2,3,0,0,3,3,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054506
York City,Farsley Celtic,2019-08-06,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054507
Darlington,Gateshead,2019-08-07,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,National League N / S - England,3054508
