Bohemians,Finn Harps,1,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,1,3,7,1,1,7,8,Premier Division - Ireland-republic,2950168
Derry City,UCD,1,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,0,1,10,1,1,10,11,Premier Division - Ireland-republic,2950169
Dundalk,Sligo Rovers,1,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,4,6,9,1,1,9,10,Premier Division - Ireland-republic,2950170
St Patrick's Athletic,Cork City,1,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950171
Waterford,Shamrock Rovers,1,1,2,3,y,1,0,0,1,1,0,2,2,0,2,0,0,0,4,11,11,4,15,Premier Division - Ireland-republic,2950172
Cork City,Waterford,2,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,3,6,1,6,6,1,7,Premier Division - Ireland-republic,2950173
Sligo Rovers,St Patrick's Athletic,2,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,2,3,3,5,5,3,8,Premier Division - Ireland-republic,2950174
UCD,Bohemians,2,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950175
Finn Harps,Dundalk,2,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,1,4,5,10,10,5,15,Premier Division - Ireland-republic,2950176
Shamrock Rovers,Derry City,2,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,4,5,4,3,3,4,7,Premier Division - Ireland-republic,2950177
Bohemians,Shamrock Rovers,3,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,4,8,4,10,10,4,14,Premier Division - Ireland-republic,2950178
Derry City,Waterford,3,3,2,5,y,1,0,0,1,1,2,2,2,2,4,3,1,4,3,2,2,3,5,Premier Division - Ireland-republic,2950179
Dundalk,UCD,3,2,1,3,y,0,1,1,0,1,2,0,0,2,2,2,2,4,8,4,4,8,12,Premier Division - Ireland-republic,2950180
St Patrick's Athletic,Finn Harps,3,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,4,5,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950181
Sligo Rovers,Cork City,3,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,7,9,2,7,7,2,9,Premier Division - Ireland-republic,2950182
Cork City,Derry City,4,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,2,2,7,6,6,7,13,Premier Division - Ireland-republic,2950183
UCD,St Patrick's Athletic,4,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,2,5,3,5,5,3,8,Premier Division - Ireland-republic,2950184
Waterford,Bohemians,4,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,3,7,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950185
Finn Harps,Sligo Rovers,4,1,2,3,y,0,1,1,0,1,1,1,1,1,2,4,3,7,7,6,6,7,13,Premier Division - Ireland-republic,2950186
Shamrock Rovers,Dundalk,4,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,1,5,3,4,4,3,7,Premier Division - Ireland-republic,2950187
Bohemians,Derry City,5,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,7,3,3,7,10,Premier Division - Ireland-republic,2950188
Dundalk,Waterford,5,4,0,4,n,2,0,0,2,2,2,0,0,2,2,1,0,1,5,5,5,5,10,Premier Division - Ireland-republic,2950189
St Patrick's Athletic,Shamrock Rovers,5,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950190
Finn Harps,Cork City,5,3,4,7,y,2,2,2,2,4,1,2,2,1,3,2,2,4,2,7,7,2,9,Premier Division - Ireland-republic,2950191
Sligo Rovers,UCD,5,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,1,2,2,10,10,2,12,Premier Division - Ireland-republic,2950192
Cork City,Bohemians,6,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950193
Derry City,Dundalk,6,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,4,6,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950194
UCD,Finn Harps,6,3,0,3,n,0,0,0,0,0,3,0,0,3,3,3,6,9,11,2,2,11,13,Premier Division - Ireland-republic,2950195
Waterford,St Patrick's Athletic,6,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,4,9,9,4,13,Premier Division - Ireland-republic,2950196
Shamrock Rovers,Sligo Rovers,6,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950197
Dundalk,Bohemians,7,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,2,5,5,5,5,5,10,Premier Division - Ireland-republic,2950198
St Patrick's Athletic,Derry City,7,1,3,4,y,1,3,3,1,4,0,0,0,0,0,2,0,2,0,0,0,0,0,Premier Division - Ireland-republic,2950199
UCD,Cork City,7,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,3,4,1,2,2,1,3,Premier Division - Ireland-republic,2950200
Finn Harps,Shamrock Rovers,7,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,1,2,0,6,6,0,6,Premier Division - Ireland-republic,2950201
Sligo Rovers,Waterford,7,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,8,8,8,8,16,Premier Division - Ireland-republic,2950202
Bohemians,St Patrick's Athletic,8,1,0,1,n,1,0,0,1,1,0,0,0,0,0,0,2,2,2,4,4,2,6,Premier Division - Ireland-republic,2950203
Derry City,Sligo Rovers,8,2,0,2,n,0,0,0,0,0,2,0,0,2,2,0,2,2,5,3,3,5,8,Premier Division - Ireland-republic,2950204
Dundalk,Cork City,8,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,2,4,7,3,3,7,10,Premier Division - Ireland-republic,2950205
Waterford,Finn Harps,8,4,0,4,n,1,0,0,1,1,3,0,0,3,3,1,3,4,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950206
Shamrock Rovers,UCD,8,3,1,4,y,1,1,1,1,2,2,0,0,2,2,1,1,2,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950207
Cork City,Shamrock Rovers,9,1,3,4,y,1,2,2,1,3,0,1,1,0,1,1,0,1,2,2,2,2,4,Premier Division - Ireland-republic,2950208
St Patrick's Athletic,Dundalk,9,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950209
UCD,Waterford,9,4,1,5,y,2,1,1,2,3,2,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950210
Finn Harps,Derry City,9,2,3,5,y,0,0,0,0,0,2,3,3,2,5,4,4,8,5,3,3,5,8,Premier Division - Ireland-republic,2950211
Sligo Rovers,Bohemians,9,0,2,2,n,0,0,0,0,0,0,2,2,0,2,5,1,6,7,7,7,7,14,Premier Division - Ireland-republic,2950212
Cork City,St Patrick's Athletic,10,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,2,5,3,3,3,3,6,Premier Division - Ireland-republic,2950213
UCD,Derry City,10,0,2,2,n,0,1,1,0,1,0,1,1,0,1,0,2,2,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950214
Finn Harps,Bohemians,10,0,1,1,n,0,1,1,0,1,0,0,0,0,0,0,0,0,2,8,8,2,10,Premier Division - Ireland-republic,2950215
Shamrock Rovers,Waterford,10,2,1,3,y,0,0,0,0,0,2,1,1,2,3,0,1,1,9,1,1,9,10,Premier Division - Ireland-republic,2950216
Sligo Rovers,Dundalk,10,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,4,7,4,10,10,4,14,Premier Division - Ireland-republic,2950217
Bohemians,UCD,11,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,4,5,3,5,5,3,8,Premier Division - Ireland-republic,2950218
Derry City,Shamrock Rovers,11,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,3,6,4,5,5,4,9,Premier Division - Ireland-republic,2950219
Dundalk,Finn Harps,11,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,5,6,10,1,1,10,11,Premier Division - Ireland-republic,2950220
St Patrick's Athletic,Sligo Rovers,11,2,1,3,y,2,0,0,2,2,0,1,1,0,1,4,2,6,5,0,0,5,5,Premier Division - Ireland-republic,2950221
Waterford,Cork City,11,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,2,4,5,4,4,5,9,Premier Division - Ireland-republic,2950222
Cork City,Sligo Rovers,12,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,5,5,10,Premier Division - Ireland-republic,2950223
Finn Harps,St Patrick's Athletic,12,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,2,3,9,7,7,9,16,Premier Division - Ireland-republic,2950224
UCD,Dundalk,12,1,3,4,y,1,1,1,1,2,0,2,2,0,2,0,1,1,2,8,8,2,10,Premier Division - Ireland-republic,2950225
Waterford,Derry City,12,2,2,4,y,0,1,1,0,1,2,1,1,2,3,1,1,2,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950226
Shamrock Rovers,Bohemians,12,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,1,5,3,3,3,3,6,Premier Division - Ireland-republic,2950227
Bohemians,Waterford,13,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,9,Premier Division - Ireland-republic,2950228
Derry City,Cork City,13,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,8,11,7,5,5,7,12,Premier Division - Ireland-republic,2950229
Dundalk,Shamrock Rovers,13,2,1,3,y,1,0,0,1,1,1,1,1,1,2,0,1,1,7,0,0,7,7,Premier Division - Ireland-republic,2950230
St Patrick's Athletic,UCD,13,2,0,2,n,0,0,0,0,0,2,0,0,2,2,0,0,0,4,3,3,4,7,Premier Division - Ireland-republic,2950231
Sligo Rovers,Finn Harps,13,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,4,7,3,4,4,3,7,Premier Division - Ireland-republic,2950232
Cork City,Finn Harps,14,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,5,7,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950233
Derry City,Bohemians,14,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,3,5,1,3,3,1,4,Premier Division - Ireland-republic,2950234
UCD,Sligo Rovers,14,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,4,4,5,8,8,5,13,Premier Division - Ireland-republic,2950235
Waterford,Dundalk,14,0,3,3,n,0,1,1,0,1,0,2,2,0,2,2,1,3,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950236
Shamrock Rovers,St Patrick's Athletic,14,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,3,7,5,3,3,5,8,Premier Division - Ireland-republic,2950237
Bohemians,Cork City,15,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,2,4,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950238
Dundalk,Derry City,15,2,2,4,y,0,0,0,0,0,2,2,2,2,4,4,4,8,6,3,3,6,9,Premier Division - Ireland-republic,2950239
St Patrick's Athletic,Waterford,15,0,3,3,n,0,0,0,0,0,0,3,3,0,3,0,2,2,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950240
Finn Harps,UCD,15,3,0,3,n,1,0,0,1,1,2,0,0,2,2,3,1,4,2,3,3,2,5,Premier Division - Ireland-republic,2950241
Sligo Rovers,Shamrock Rovers,15,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,3,5,5,6,6,5,11,Premier Division - Ireland-republic,2950242
Bohemians,Dundalk,16,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,2,4,2,2,2,2,4,Premier Division - Ireland-republic,2950243
Cork City,UCD,16,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950244
Derry City,St Patrick's Athletic,16,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,2,3,1,3,3,1,4,Premier Division - Ireland-republic,2950245
Waterford,Sligo Rovers,16,3,3,6,y,2,1,1,2,3,1,2,2,1,3,2,1,3,4,4,4,4,8,Premier Division - Ireland-republic,2950246
Shamrock Rovers,Finn Harps,16,3,0,3,n,3,0,0,3,3,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950247
Cork City,Dundalk,17,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,3,6,2,3,3,2,5,Premier Division - Ireland-republic,2950248
St Patrick's Athletic,Bohemians,17,1,1,2,y,1,0,0,1,1,0,1,1,0,1,6,3,9,3,6,6,3,9,Premier Division - Ireland-republic,2950249
UCD,Shamrock Rovers,17,0,1,1,n,0,1,1,0,1,0,0,0,0,0,0,2,2,5,9,9,5,14,Premier Division - Ireland-republic,2950250
Finn Harps,Waterford,17,3,2,5,y,2,1,1,2,3,1,1,1,1,2,2,2,4,1,2,2,1,3,Premier Division - Ireland-republic,2950251
Sligo Rovers,Derry City,17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,8,4,12,Premier Division - Ireland-republic,2950252
Bohemians,Sligo Rovers,18,1,2,3,y,0,0,0,0,0,1,2,2,1,3,3,2,5,11,1,1,11,12,Premier Division - Ireland-republic,2950253
Derry City,Finn Harps,18,4,0,4,n,2,0,0,2,2,2,0,0,2,2,0,4,4,6,3,3,6,9,Premier Division - Ireland-republic,2950254
Dundalk,St Patrick's Athletic,18,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,5,5,15,2,2,15,17,Premier Division - Ireland-republic,2950255
Waterford,UCD,18,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,0,2,7,2,2,7,9,Premier Division - Ireland-republic,2950256
Shamrock Rovers,Cork City,18,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,5,7,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950257
Bohemians,Finn Harps,19,5,3,8,y,2,1,1,2,3,3,2,2,3,5,2,4,6,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950258
Derry City,UCD,19,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950259
Dundalk,Sligo Rovers,19,4,0,4,n,1,0,0,1,1,3,0,0,3,3,1,3,4,6,4,4,6,10,Premier Division - Ireland-republic,2950260
St Patrick's Athletic,Cork City,19,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,5,6,5,3,3,5,8,Premier Division - Ireland-republic,2950261
Waterford,Shamrock Rovers,19,1,5,6,y,0,2,2,0,2,1,3,3,1,4,2,1,3,3,7,7,3,10,Premier Division - Ireland-republic,2950262
Cork City,Waterford,20,1,2,3,y,1,0,0,1,1,0,2,2,0,2,2,1,3,11,8,8,11,19,Premier Division - Ireland-republic,2950263
Finn Harps,Dundalk,20,0,3,3,n,0,2,2,0,2,0,1,1,0,1,1,0,1,5,4,4,5,9,Premier Division - Ireland-republic,2950264
Shamrock Rovers,Derry City,20,2,2,4,y,0,0,0,0,0,2,2,2,2,4,2,3,5,9,5,5,9,14,Premier Division - Ireland-republic,2950265
Sligo Rovers,St Patrick's Athletic,20,1,1,2,y,0,0,0,0,0,1,1,1,1,2,0,0,0,6,7,7,6,13,Premier Division - Ireland-republic,2950266
UCD,Bohemians,20,3,0,3,n,3,0,0,3,3,0,0,0,0,0,4,2,6,4,6,6,4,10,Premier Division - Ireland-republic,2950267
Bohemians,Shamrock Rovers,21,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,2,5,2,12,12,2,14,Premier Division - Ireland-republic,2950268
Derry City,Waterford,21,2,0,2,n,2,0,0,2,2,0,0,0,0,0,0,3,3,4,8,8,4,12,Premier Division - Ireland-republic,2950269
Dundalk,UCD,21,3,0,3,n,3,0,0,3,3,0,0,0,0,0,3,0,3,10,1,1,10,11,Premier Division - Ireland-republic,2950270
St Patrick's Athletic,Finn Harps,21,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,2,4,8,2,2,8,10,Premier Division - Ireland-republic,2950271
Sligo Rovers,Cork City,21,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,1,3,5,1,1,5,6,Premier Division - Ireland-republic,2950272
Cork City,Derry City,22,1,4,5,y,0,3,3,0,3,1,1,1,1,2,3,0,3,-1,-1,-1,-1,-1,Premier Division - Ireland-republic,2950273
UCD,St Patrick's Athletic,22,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,1,2,1,12,12,1,13,Premier Division - Ireland-republic,2950274
Waterford,Bohemians,22,1,2,3,y,1,1,1,1,2,0,1,1,0,1,2,1,3,3,4,4,3,7,Premier Division - Ireland-republic,2950275
Finn Harps,Sligo Rovers,22,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,4,4,4,4,4,4,8,Premier Division - Ireland-republic,2950276
Shamrock Rovers,Dundalk,22,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,3,5,7,1,1,7,8,Premier Division - Ireland-republic,2950277
Bohemians,Derry City,23,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,2,2,11,2,2,11,13,Premier Division - Ireland-republic,2950278
