El Geish,Al Mokawloon,2019-09-21,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,1,5,7,1,1,7,8,Premier League - Egypt,3172275
El Gouna,Ismaily,2019-09-21,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,0,1,8,3,3,8,11,Premier League - Egypt,3172276
Pyramids,ENPPI,2019-09-21,4,0,4,n,1,0,0,1,1,3,0,0,3,3,1,0,1,7,7,7,7,14,Premier League - Egypt,3172277
Aswan,Misr Lel Makasa,2019-09-22,2,3,5,y,2,1,1,2,3,0,2,2,0,2,2,2,4,-1,-1,-1,-1,-1,Premier League - Egypt,3172278
El Entag El Harby,Masr,2019-09-22,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,1,2,6,5,5,6,11,Premier League - Egypt,3172279
Wadi Degla,Tanta,2019-09-22,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,1,1,6,1,1,6,7,Premier League - Egypt,3172280
Al Masry,Haras El Hodood,2019-09-22,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,2,4,1,5,5,1,6,Premier League - Egypt,3172281
Smouha,Al Ahly,2019-09-23,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,Premier League - Egypt,3172282
Zamalek,Al Ittihad,2019-09-23,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,1,3,5,2,2,5,7,Premier League - Egypt,3172283
Ismaily,Al Masry,2019-10-02,1,3,4,y,1,2,2,1,3,0,1,1,0,1,4,4,8,9,0,0,9,9,Premier League - Egypt,3172284
Al Ahly,El Entag El Harby,2019-10-02,4,0,4,n,1,0,0,1,1,3,0,0,3,3,1,2,3,9,3,3,9,12,Premier League - Egypt,3172285
Al Mokawloon,Smouha,2019-09-28,2,2,4,y,1,1,1,1,2,1,1,1,1,2,2,1,3,8,6,6,8,14,Premier League - Egypt,3172286
Al Ittihad,El Gouna,2019-10-01,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,2,4,3,7,7,3,10,Premier League - Egypt,3172287
Haras El Hodood,Wadi Degla,2019-09-26,2,2,4,y,0,2,2,0,2,2,0,0,2,2,3,1,4,4,6,6,4,10,Premier League - Egypt,3172288
ENPPI,El Geish,2019-09-26,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,6,8,2,5,5,2,7,Premier League - Egypt,3172289
Tanta,Pyramids,2019-10-03,1,2,3,y,0,2,2,0,2,1,0,0,1,1,1,2,3,4,5,5,4,9,Premier League - Egypt,3172290
Misr Lel Makasa,Zamalek,2019-10-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,3,6,12,3,3,12,15,Premier League - Egypt,3172291
Masr,Aswan,2019-09-28,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,7,4,4,7,11,Premier League - Egypt,3172292
Zamalek,Masr,2019-10-06,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,4,6,9,1,1,9,10,Premier League - Egypt,3172293
Al Masry,Al Ittihad,2019-10-05,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,2,4,10,2,2,10,12,Premier League - Egypt,3172294
Aswan,Al Ahly,2019-10-05,1,5,6,y,0,2,2,0,2,1,3,3,1,4,1,0,1,8,6,6,8,14,Premier League - Egypt,3172295
Haras El Hodood,Tanta,2019-10-06,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,3,4,5,6,6,5,11,Premier League - Egypt,3172296
Smouha,ENPPI,2019-10-04,2,1,3,y,1,1,1,1,2,1,0,0,1,1,3,0,3,4,8,8,4,12,Premier League - Egypt,3172297
El Geish,Pyramids,2019-10-06,2,2,4,y,0,0,0,0,0,2,2,2,2,4,4,2,6,2,2,2,2,4,Premier League - Egypt,3172298
El Gouna,Misr Lel Makasa,2019-10-06,1,0,1,n,1,0,0,1,1,0,0,0,0,0,6,2,8,6,4,4,6,10,Premier League - Egypt,3172299
