Zenit,Tambov,2019-07-14,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,2,4,2,1,1,2,3,Premier League - Russia,3027073
Spartak Moscow,Sochi,2019-07-13,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,2,6,7,5,5,7,12,Premier League - Russia,3027074
Rostov,Orenburg,2019-07-13,2,1,3,y,2,0,0,2,2,0,1,1,0,1,2,3,5,5,0,0,5,5,Premier League - Russia,3027075
Lokomotiv Moscow,Rubin Kazan,2019-07-15,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,3,5,5,3,8,Premier League - Russia,3027076
Akhmat Grozny,Krasnodar,2019-07-14,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,3,7,4,3,3,4,7,Premier League - Russia,3027077
Arsenal Tula,Dinamo Moscow,2019-07-12,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,3,3,4,4,4,4,8,Premier League - Russia,3027078
Krylya Sovetov,CSKA Moscow,2019-07-14,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,3,4,2,5,5,2,7,Premier League - Russia,3027079
Ural,Ufa,2019-07-13,3,2,5,y,1,0,0,1,1,2,2,2,2,4,0,1,1,8,4,4,8,12,Premier League - Russia,3027080
Rostov,Spartak Moscow,2019-07-20,2,2,4,y,1,1,1,1,2,1,1,1,1,2,2,3,5,8,3,3,8,11,Premier League - Russia,3027081
CSKA Moscow,Orenburg,2019-07-20,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,3,6,9,2,2,9,11,Premier League - Russia,3027082
Dinamo Moscow,Rubin Kazan,2019-07-21,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,7,10,6,6,6,6,12,Premier League - Russia,3027083
Lokomotiv Moscow,Tambov,2019-07-21,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,4,7,2,4,4,2,6,Premier League - Russia,3027084
Sochi,Zenit,2019-07-21,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,0,2,4,4,4,4,8,Premier League - Russia,3027085
Krylya Sovetov,Arsenal Tula,2019-07-20,2,3,5,y,1,2,2,1,3,1,1,1,1,2,3,5,8,5,9,9,5,14,Premier League - Russia,3027086
Ufa,Krasnodar,2019-07-20,2,3,5,y,2,0,0,2,2,0,3,3,0,3,2,2,4,6,2,2,6,8,Premier League - Russia,3027087
Ural,Akhmat Grozny,2019-07-21,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,1,2,4,6,6,4,10,Premier League - Russia,3027088
Krasnodar,Sochi,2019-07-27,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,3,5,7,6,6,7,13,Premier League - Russia,3027089
Tambov,Spartak Moscow,2019-07-27,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,4,7,3,8,8,3,11,Premier League - Russia,3027090
CSKA Moscow,Lokomotiv Moscow,2019-07-28,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,2,6,7,2,2,7,9,Premier League - Russia,3027091
