Vorskla,Zorya,1,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,5,8,10,3,3,10,13,Premier League - Ukraine,3029046
Dnipro-1,Olimpik Donetsk,1,2,0,2,n,2,0,0,2,2,0,0,0,0,0,2,2,4,2,6,6,2,8,Premier League - Ukraine,3029047
Kolos Kovalivka,Mariupol',1,2,1,3,y,1,1,1,1,2,1,0,0,1,1,3,4,7,8,6,6,8,14,Premier League - Ukraine,3029048
Oleksandria,Shakhtar Donetsk,1,1,3,4,y,1,0,0,1,1,0,3,3,0,3,1,2,3,0,7,7,0,7,Premier League - Ukraine,3029049
Karpaty,Dynamo Kyiv,1,0,2,2,n,0,2,2,0,2,0,0,0,0,0,3,4,7,4,5,5,4,9,Premier League - Ukraine,3029050
Desna,Vorskla,2,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,4,7,1,6,6,1,7,Premier League - Ukraine,3034978
Zorya,Dnipro-1,2,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,5,8,3,2,2,3,5,Premier League - Ukraine,3034979
Olimpik Donetsk,Kolos Kovalivka,2,0,1,1,n,0,0,0,0,0,0,1,1,0,1,5,3,8,9,2,2,9,11,Premier League - Ukraine,3034980
Mariupol',Oleksandria,2,2,1,3,y,0,0,0,0,0,2,1,1,2,3,1,4,5,7,7,7,7,14,Premier League - Ukraine,3034981
Shakhtar Donetsk,Karpaty,2,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,3,4,12,1,1,12,13,Premier League - Ukraine,3034982
Lviv,Dynamo Kyiv,2,0,3,3,n,0,2,2,0,2,0,1,1,0,1,4,2,6,5,7,7,5,12,Premier League - Ukraine,3034983
Dynamo Kyiv,Shakhtar Donetsk,3,1,2,3,y,1,1,1,1,2,0,1,1,0,1,4,3,7,3,4,4,3,7,Premier League - Ukraine,3034984
Karpaty,Mariupol',3,1,1,2,y,1,1,1,1,2,0,0,0,0,0,4,2,6,3,6,6,3,9,Premier League - Ukraine,3034985
Oleksandria,Olimpik Donetsk,3,2,1,3,y,1,0,0,1,1,1,1,1,1,2,5,5,10,4,1,1,4,5,Premier League - Ukraine,3034986
Kolos Kovalivka,Zorya,3,1,3,4,y,1,2,2,1,3,0,1,1,0,1,4,1,5,7,3,3,7,10,Premier League - Ukraine,3034987
Dnipro-1,Desna,3,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,2,6,4,6,6,4,10,Premier League - Ukraine,3034988
Vorskla,Lviv,3,3,2,5,y,2,1,1,2,3,1,1,1,1,2,6,3,9,4,3,3,4,7,Premier League - Ukraine,3034989
Vorskla,Dnipro-1,4,1,1,2,y,0,0,0,0,0,1,1,1,1,2,5,3,8,6,3,3,6,9,Premier League - Ukraine,3034990
Desna,Kolos Kovalivka,4,0,0,0,n,0,0,0,0,0,0,0,0,0,0,5,2,7,4,3,3,4,7,Premier League - Ukraine,3034991
Zorya,Oleksandria,4,1,2,3,y,0,0,0,0,0,1,2,2,1,3,4,4,8,4,5,5,4,9,Premier League - Ukraine,3034992
Olimpik Donetsk,Karpaty,4,1,3,4,y,0,2,2,0,2,1,1,1,1,2,4,2,6,6,6,6,6,12,Premier League - Ukraine,3034993
Mariupol',Dynamo Kyiv,4,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,1,5,7,5,5,7,12,Premier League - Ukraine,3034994
Lviv,Shakhtar Donetsk,4,0,2,2,n,0,2,2,0,2,0,0,0,0,0,4,3,7,0,9,9,0,9,Premier League - Ukraine,3034995
Shakhtar Donetsk,Mariupol',5,5,1,6,y,3,0,0,3,3,2,1,1,2,3,0,0,0,9,2,2,9,11,Premier League - Ukraine,3034996
Karpaty,Zorya,5,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,5,7,10,6,6,10,16,Premier League - Ukraine,3034998
Oleksandria,Desna,5,0,3,3,n,0,0,0,0,0,0,3,3,0,3,5,3,8,4,5,5,4,9,Premier League - Ukraine,3034999
Dnipro-1,Lviv,5,2,3,5,y,0,1,1,0,1,2,2,2,2,4,4,3,7,4,4,4,4,8,Premier League - Ukraine,3035001
Dnipro-1,Kolos Kovalivka,6,2,1,3,y,0,1,1,0,1,2,0,0,2,2,3,4,7,9,3,3,9,12,Premier League - Ukraine,3035002
Vorskla,Oleksandria,6,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,4,7,3,7,7,3,10,Premier League - Ukraine,3035003
Desna,Karpaty,6,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,4,7,3,5,5,3,8,Premier League - Ukraine,3035004
Zorya,Dynamo Kyiv,6,2,2,4,y,1,2,2,1,3,1,0,0,1,1,3,3,6,6,3,3,6,9,Premier League - Ukraine,3035005
Olimpik Donetsk,Shakhtar Donetsk,6,0,4,4,n,0,2,2,0,2,0,2,2,0,2,2,2,4,2,10,10,2,12,Premier League - Ukraine,3035006
Lviv,Mariupol',6,0,1,1,n,0,0,0,0,0,0,1,1,0,1,5,2,7,5,4,4,5,9,Premier League - Ukraine,3035007
Mariupol',Olimpik Donetsk,7,1,1,2,y,1,0,0,1,1,0,1,1,0,1,4,3,7,2,10,10,2,12,Premier League - Ukraine,3035008
Shakhtar Donetsk,Zorya,7,4,3,7,y,1,2,2,1,3,3,1,1,3,4,2,3,5,6,5,5,6,11,Premier League - Ukraine,3035009
Dynamo Kyiv,Desna,7,1,2,3,y,0,1,1,0,1,1,1,1,1,2,1,2,3,6,5,5,6,11,Premier League - Ukraine,3035010
Karpaty,Vorskla,7,2,1,3,y,0,1,1,0,1,2,0,0,2,2,2,4,6,7,5,5,7,12,Premier League - Ukraine,3035011
Oleksandria,Dnipro-1,7,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,1,3,6,1,1,6,7,Premier League - Ukraine,3035012
Kolos Kovalivka,Lviv,7,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,4,6,3,3,3,3,6,Premier League - Ukraine,3035013
Kolos Kovalivka,Oleksandria,8,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,2,5,7,14,14,7,21,Premier League - Ukraine,3035014
Dnipro-1,Karpaty,8,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,3,6,3,9,9,3,12,Premier League - Ukraine,3035015
Vorskla,Dynamo Kyiv,8,0,5,5,n,0,3,3,0,3,0,2,2,0,2,2,3,5,6,4,4,6,10,Premier League - Ukraine,3035016
Desna,Shakhtar Donetsk,8,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,3,4,7,4,4,7,11,Premier League - Ukraine,3035017
Zorya,Mariupol',8,0,0,0,n,0,0,0,0,0,0,0,0,0,0,5,3,8,13,2,2,13,15,Premier League - Ukraine,3035018
Lviv,Olimpik Donetsk,8,0,1,1,n,0,0,0,0,0,0,1,1,0,1,6,5,11,3,5,5,3,8,Premier League - Ukraine,3035019
Olimpik Donetsk,Zorya,9,0,5,5,n,0,1,1,0,1,0,4,4,0,4,1,2,3,4,4,4,4,8,Premier League - Ukraine,3035020
Mariupol',Desna,9,0,4,4,n,0,2,2,0,2,0,2,2,0,2,0,0,0,6,3,3,6,9,Premier League - Ukraine,3035021
Shakhtar Donetsk,Vorskla,9,4,0,4,n,1,0,0,1,1,3,0,0,3,3,0,2,2,9,0,0,9,9,Premier League - Ukraine,3035022
Dynamo Kyiv,Dnipro-1,9,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,5,7,5,3,3,5,8,Premier League - Ukraine,3035023
Karpaty,Kolos Kovalivka,9,1,2,3,y,1,2,2,1,3,0,0,0,0,0,3,6,9,10,5,5,10,15,Premier League - Ukraine,3035024
Oleksandria,Lviv,9,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,2,5,4,3,3,4,7,Premier League - Ukraine,3035025
Oleksandria,Karpaty,10,2,1,3,y,0,0,0,0,0,2,1,1,2,3,3,3,6,7,2,2,7,9,Premier League - Ukraine,3035026
Kolos Kovalivka,Dynamo Kyiv,10,0,4,4,n,0,0,0,0,0,0,4,4,0,4,5,5,10,4,5,5,4,9,Premier League - Ukraine,3035027
Dnipro-1,Shakhtar Donetsk,10,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,3,6,2,6,6,2,8,Premier League - Ukraine,3035028
Vorskla,Mariupol',10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,5,8,3,11,11,3,14,Premier League - Ukraine,3035029
Desna,Olimpik Donetsk,10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,2,5,5,2,2,5,7,Premier League - Ukraine,3035030
Lviv,Zorya,10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,5,9,2,11,11,2,13,Premier League - Ukraine,3035031
Zorya,Desna,11,2,1,3,y,0,1,1,0,1,2,0,0,2,2,2,2,4,5,1,1,5,6,Premier League - Ukraine,3035032
Olimpik Donetsk,Vorskla,11,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,2,3,6,8,8,6,14,Premier League - Ukraine,3035033
Mariupol',Dnipro-1,11,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,1,4,5,5,5,5,10,Premier League - Ukraine,3035034
Shakhtar Donetsk,Kolos Kovalivka,11,6,0,6,n,5,0,0,5,5,1,0,0,1,1,3,2,5,6,5,5,6,11,Premier League - Ukraine,3035035
Karpaty,Lviv,11,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,6,10,9,3,3,9,12,Premier League - Ukraine,3035037
Dynamo Kyiv,Karpaty,12,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,2,5,10,0,0,10,10,Premier League - Ukraine,3035038
