Aberystwyth Town,Carmarthen Town,2019-08-16,3,2,5,y,1,1,1,1,2,2,1,1,2,3,1,2,3,-1,-1,-1,-1,-1,Premier League - Wales,3042798
Airbus UK,Bala Town,2019-08-16,1,2,3,y,0,2,2,0,2,1,0,0,1,1,3,2,5,-1,-1,-1,-1,-1,Premier League - Wales,3042799
Newtown,Cefn Druids,2019-08-16,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,0,2,-1,-1,-1,-1,-1,Premier League - Wales,3042800
Penybont,Barry Town United,2019-08-16,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,5,7,4,4,4,4,8,Premier League - Wales,3042801
The New Saints,Caernarfon Town,2019-08-18,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,2,5,-1,-1,-1,-1,-1,Premier League - Wales,3042802
Connah's Quay,Cardiff MU,2019-08-17,1,1,2,y,0,0,0,0,0,1,1,1,1,2,0,2,2,-1,-1,-1,-1,-1,Premier League - Wales,3042803
Bala Town,The New Saints,2019-08-23,3,1,4,y,0,1,1,0,1,3,0,0,3,3,1,1,2,-1,-1,-1,-1,-1,Premier League - Wales,3042804
Barry Town United,Aberystwyth Town,2019-08-23,3,1,4,y,2,0,0,2,2,1,1,1,1,2,3,2,5,-1,-1,-1,-1,-1,Premier League - Wales,3042805
Caernarfon Town,Connah's Quay,2019-08-23,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,1,4,-1,-1,-1,-1,-1,Premier League - Wales,3042806
Carmarthen Town,Newtown,2019-08-23,1,2,3,y,1,1,1,1,2,0,1,1,0,1,2,0,2,8,6,6,8,14,Premier League - Wales,3042807
Cefn Druids,Airbus UK,2019-08-23,3,1,4,y,2,1,1,2,3,1,0,0,1,1,1,3,4,-1,-1,-1,-1,-1,Premier League - Wales,3042808
Penybont,Cardiff MU,2019-08-23,1,3,4,y,0,1,1,0,1,1,2,2,1,3,2,3,5,-1,-1,-1,-1,-1,Premier League - Wales,3042809
Aberystwyth Town,The New Saints,2019-08-26,1,10,11,y,1,5,5,1,6,0,5,5,0,5,2,0,2,-1,-1,-1,-1,-1,Premier League - Wales,3042810
Barry Town United,Bala Town,2019-08-26,2,2,4,y,1,0,0,1,1,1,2,2,1,3,3,4,7,-1,-1,-1,-1,-1,Premier League - Wales,3042811
Caernarfon Town,Cefn Druids,2019-08-26,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,3,5,-1,-1,-1,-1,-1,Premier League - Wales,3042812
Cardiff MU,Airbus UK,2019-08-26,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,1,3,-1,-1,-1,-1,-1,Premier League - Wales,3042813
Connah's Quay,Carmarthen Town,2019-08-26,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,1,2,-1,-1,-1,-1,-1,Premier League - Wales,3042814
Newtown,Penybont,2019-08-26,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,4,6,-1,-1,-1,-1,-1,Premier League - Wales,3042815
Airbus UK,Caernarfon Town,2019-08-30,2,3,5,y,1,0,0,1,1,1,3,3,1,4,2,0,2,5,12,12,5,17,Premier League - Wales,3042816
Bala Town,Connah's Quay,2019-08-30,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,2,4,-1,-1,-1,-1,-1,Premier League - Wales,3042817
Cardiff MU,Newtown,2019-08-30,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,1,4,-1,-1,-1,-1,-1,Premier League - Wales,3042818
Carmarthen Town,Barry Town United,2019-08-30,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,0,1,-1,-1,-1,-1,-1,Premier League - Wales,3042819
Cefn Druids,Aberystwyth Town,2019-08-30,1,2,3,y,1,1,1,1,2,0,1,1,0,1,2,1,3,-1,-1,-1,-1,-1,Premier League - Wales,3042820
The New Saints,Penybont,2019-08-31,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,1,2,-1,-1,-1,-1,-1,Premier League - Wales,3042821
Aberystwyth Town,Airbus UK,2019-09-07,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,1,3,-1,-1,-1,-1,-1,Premier League - Wales,3042822
Barry Town United,Caernarfon Town,2019-09-07,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,4,5,-1,-1,-1,-1,-1,Premier League - Wales,3042823
Carmarthen Town,Cardiff MU,2019-09-07,2,2,4,y,1,1,1,1,2,1,1,1,1,2,1,1,2,-1,-1,-1,-1,-1,Premier League - Wales,3042824
Penybont,Bala Town,2019-09-07,1,6,7,y,1,5,5,1,6,0,1,1,0,1,1,1,2,-1,-1,-1,-1,-1,Premier League - Wales,3042825
Connah's Quay,Cefn Druids,2019-09-10,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,2,5,-1,-1,-1,-1,-1,Premier League - Wales,3042826
The New Saints,Newtown,2019-09-10,2,1,3,y,2,0,0,2,2,0,1,1,0,1,1,1,2,-1,-1,-1,-1,-1,Premier League - Wales,3042827
Connah's Quay,Aberystwyth Town,2019-09-13,4,1,5,y,2,0,0,2,2,2,1,1,2,3,4,2,6,-1,-1,-1,-1,-1,Premier League - Wales,3042828
Airbus UK,Barry Town United,2019-09-14,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,4,7,-1,-1,-1,-1,-1,Premier League - Wales,3042829
Caernarfon Town,Penybont,2019-09-14,3,2,5,y,2,2,2,2,4,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,Premier League - Wales,3042830
Cardiff MU,The New Saints,2019-09-16,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,4,7,-1,-1,-1,-1,-1,Premier League - Wales,3042831
