Aberdeen,Hearts,2019-08-04,3,2,5,y,1,0,0,1,1,2,2,2,2,4,4,5,9,-1,-1,-1,-1,-1,Premiership - Scotland,3038361
Celtic,St. Johnstone,2019-08-03,7,0,7,n,3,0,0,3,3,4,0,0,4,4,0,3,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038362
Hibernian,St. Mirren,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,2,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038363
Livingston,Motherwell,2019-08-03,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,-1,-1,-1,-1,-1,Premiership - Scotland,3038364
Ross County,Hamilton Academical,2019-08-03,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,3,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038365
Kilmarnock,Rangers,2019-08-04,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,2,4,2,7,7,2,9,Premiership - Scotland,3038366
Hamilton Academical,Kilmarnock,2019-08-10,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,-1,-1,-1,-1,-1,Premiership - Scotland,3038367
Hearts,Ross County,2019-08-10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,3,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038368
Motherwell,Celtic,2019-08-10,2,5,7,y,1,2,2,1,3,1,3,3,1,4,5,0,5,5,5,5,5,10,Premiership - Scotland,3038369
Rangers,Hibernian,2019-08-11,6,1,7,y,2,1,1,2,3,4,0,0,4,4,2,5,7,-1,-1,-1,-1,-1,Premiership - Scotland,3038370
St. Johnstone,Livingston,2019-08-10,2,2,4,y,0,2,2,0,2,2,0,0,2,2,1,3,4,-1,-1,-1,-1,-1,Premiership - Scotland,3038371
St. Mirren,Aberdeen,2019-08-11,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038372
Celtic,Hearts,2019-08-25,3,1,4,y,1,0,0,1,1,2,1,1,2,3,1,3,4,-1,-1,-1,-1,-1,Premiership - Scotland,3038373
Hamilton Academical,Motherwell,2019-08-24,1,3,4,y,1,2,2,1,3,0,1,1,0,1,1,1,2,-1,-1,-1,-1,-1,Premiership - Scotland,3038374
Hibernian,St. Johnstone,2019-08-24,2,2,4,y,1,0,0,1,1,1,2,2,1,3,1,0,1,-1,-1,-1,-1,-1,Premiership - Scotland,3038375
Kilmarnock,Aberdeen,2019-08-24,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,1,4,-1,-1,-1,-1,-1,Premiership - Scotland,3038376
Ross County,Livingston,2019-08-24,1,4,5,y,1,3,3,1,4,0,1,1,0,1,1,1,2,-1,-1,-1,-1,-1,Premiership - Scotland,3038377
St. Mirren,Rangers,2019-08-25,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,2,3,3,6,6,3,9,Premiership - Scotland,3038378
Aberdeen,Ross County,2019-08-31,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038379
Hearts,Hamilton Academical,2019-08-31,2,2,4,y,1,0,0,1,1,1,2,2,1,3,1,2,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038380
Livingston,St. Mirren,2019-08-31,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,3,4,-1,-1,-1,-1,-1,Premiership - Scotland,3038381
Motherwell,Hibernian,2019-08-31,3,0,3,n,1,0,0,1,1,2,0,0,2,2,3,2,5,-1,-1,-1,-1,-1,Premiership - Scotland,3038382
Rangers,Celtic,2019-09-01,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,1,3,8,5,5,8,13,Premiership - Scotland,3038383
St. Johnstone,Kilmarnock,2019-08-31,0,1,1,n,0,1,1,0,1,0,0,0,0,0,0,4,4,-1,-1,-1,-1,-1,Premiership - Scotland,3038384
Aberdeen,St. Johnstone,2019-09-14,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,2,2,-1,-1,-1,-1,-1,Premiership - Scotland,3038385
Hamilton Academical,Celtic,2019-09-14,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,0,2,1,4,4,1,5,Premiership - Scotland,3038386
Hearts,Motherwell,2019-09-14,2,3,5,y,0,1,1,0,1,2,2,2,2,4,3,3,6,-1,-1,-1,-1,-1,Premiership - Scotland,3038387
Kilmarnock,Hibernian,2019-09-14,2,0,2,n,0,0,0,0,0,2,0,0,2,2,0,1,1,-1,-1,-1,-1,-1,Premiership - Scotland,3038388
Rangers,Livingston,2019-09-14,3,1,4,y,0,0,0,0,0,3,1,1,3,4,0,3,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038389
Ross County,St. Mirren,2019-09-14,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,1,3,-1,-1,-1,-1,-1,Premiership - Scotland,3038390
Celtic,Kilmarnock,2019-09-22,3,1,4,y,1,1,1,1,2,2,0,0,2,2,1,1,2,-1,-1,-1,-1,-1,Premiership - Scotland,3038391
Hibernian,Hearts,2019-09-22,1,2,3,y,0,0,0,0,0,1,2,2,1,3,1,1,2,7,7,7,7,14,Premiership - Scotland,3038392
Livingston,Aberdeen,2019-09-21,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,0,2,-1,-1,-1,-1,-1,Premiership - Scotland,3038393
Motherwell,Ross County,2019-09-21,1,2,3,y,0,0,0,0,0,1,2,2,1,3,3,2,5,-1,-1,-1,-1,-1,Premiership - Scotland,3038394
St. Johnstone,Rangers,2019-09-22,0,4,4,n,0,0,0,0,0,0,4,4,0,4,1,0,1,2,7,7,2,9,Premiership - Scotland,3038395
St. Mirren,Hamilton Academical,2019-09-21,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,4,5,-1,-1,-1,-1,-1,Premiership - Scotland,3038396
