Almería,Albacete,2019-08-17,3,0,3,n,0,0,0,0,0,3,0,0,3,3,1,1,2,7,0,0,7,7,Segunda División - Spain,3059913
Cádiz,Ponferradina,2019-08-18,3,1,4,y,0,1,1,0,1,3,0,0,3,3,1,3,4,6,4,4,6,10,Segunda División - Spain,3059914
Deportivo La Coruña,Real Oviedo,2019-08-18,3,2,5,y,1,0,0,1,1,2,2,2,2,4,0,3,3,2,7,7,2,9,Segunda División - Spain,3059915
Elche,Fuenlabrada,2019-08-17,0,2,2,n,0,2,2,0,2,0,0,0,0,0,2,3,5,4,5,5,4,9,Segunda División - Spain,3059916
Girona,Sporting Gijón,2019-08-18,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,2,4,4,5,5,4,9,Segunda División - Spain,3059917
Las Palmas,Huesca,2019-08-18,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,3,6,7,3,3,7,10,Segunda División - Spain,3059918
Lugo,Extremadura UD,2019-08-17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,9,5,14,Segunda División - Spain,3059919
Numancia,Alcorcón,2019-08-18,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,6,8,6,3,3,6,9,Segunda División - Spain,3059920
Racing Santander,Málaga,2019-08-17,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,2,5,6,4,4,6,10,Segunda División - Spain,3059921
Rayo Vallecano,Mirandés,2019-08-17,2,2,4,y,2,1,1,2,3,0,1,1,0,1,1,4,5,7,3,3,7,10,Segunda División - Spain,3059922
Real Zaragoza,Tenerife,2019-08-17,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,3,4,1,4,4,1,5,Segunda División - Spain,3059923
Albacete,Girona,2019-08-23,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,4,3,3,4,7,Segunda División - Spain,3059924
Alcorcón,Elche,2019-08-24,1,2,3,y,1,0,0,1,1,0,2,2,0,2,5,1,6,10,4,4,10,14,Segunda División - Spain,3059925
Extremadura UD,Fuenlabrada,2019-08-25,1,2,3,y,0,1,1,0,1,1,1,1,1,2,1,4,5,3,4,4,3,7,Segunda División - Spain,3059926
Huesca,Deportivo La Coruña,2019-08-25,3,1,4,y,2,0,0,2,2,1,1,1,1,2,1,2,3,1,2,2,1,3,Segunda División - Spain,3059927
Mirandés,Cádiz,2019-08-24,1,2,3,y,0,0,0,0,0,1,2,2,1,3,5,1,6,6,3,3,6,9,Segunda División - Spain,3059928
Málaga,Las Palmas,2019-08-24,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,4,5,9,3,3,9,12,Segunda División - Spain,3059929
Ponferradina,Real Zaragoza,2019-08-25,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,1,3,2,4,4,2,6,Segunda División - Spain,3059930
Real Oviedo,Lugo,2019-08-24,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,5,7,4,10,10,4,14,Segunda División - Spain,3059931
Racing Santander,Almería,2019-08-24,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,2,4,3,3,3,3,6,Segunda División - Spain,3059932
Tenerife,Numancia,2019-08-25,3,2,5,y,1,0,0,1,1,2,2,2,2,4,3,0,3,5,4,4,5,9,Segunda División - Spain,3059933
Sporting Gijón,Rayo Vallecano,2019-08-25,1,1,2,y,1,0,0,1,1,0,1,1,0,1,5,6,11,1,5,5,1,6,Segunda División - Spain,3059934
Almería,Huesca,2019-08-31,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,2,4,6,6,6,6,12,Segunda División - Spain,3059935
Cádiz,Extremadura UD,2019-09-01,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,2,5,14,4,4,14,18,Segunda División - Spain,3059936
Fuenlabrada,Real Oviedo,2019-08-31,2,1,3,y,1,1,1,1,2,1,0,0,1,1,0,2,2,7,5,5,7,12,Segunda División - Spain,3059937
Girona,Málaga,2019-09-01,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,3,6,3,5,5,3,8,Segunda División - Spain,3059938
Las Palmas,Racing Santander,2019-08-31,2,2,4,y,0,1,1,0,1,2,1,1,2,3,5,3,8,9,0,0,9,9,Segunda División - Spain,3059939
Lugo,Alcorcón,2019-09-01,2,4,6,y,1,2,2,1,3,1,2,2,1,3,2,3,5,11,3,3,11,14,Segunda División - Spain,3059940
Numancia,Mirandés,2019-08-31,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,0,2,6,1,1,6,7,Segunda División - Spain,3059941
Ponferradina,Tenerife,2019-09-01,4,0,4,n,1,0,0,1,1,3,0,0,3,3,2,3,5,5,6,6,5,11,Segunda División - Spain,3059942
Rayo Vallecano,Deportivo La Coruña,2019-09-01,3,1,4,y,2,1,1,2,3,1,0,0,1,1,1,1,2,5,8,8,5,13,Segunda División - Spain,3059943
Sporting Gijón,Albacete,2019-09-01,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,3,5,3,3,3,3,6,Segunda División - Spain,3059944
