Grêmio,Santos,1,1,2,3,y,0,2,2,0,2,1,0,0,1,1,3,5,8,12,2,2,12,14,Serie A - Brazil,2988916
Atlético Mineiro,Avaí,1,2,1,3,y,1,0,0,1,1,1,1,1,1,2,0,1,1,4,4,4,4,8,Serie A - Brazil,2988917
Ceará,CSA,1,4,0,4,n,2,0,0,2,2,2,0,0,2,2,0,1,1,3,6,6,3,9,Serie A - Brazil,2988918
Palmeiras,Fortaleza,1,4,0,4,n,1,0,0,1,1,3,0,0,3,3,1,2,3,6,1,1,6,7,Serie A - Brazil,2988919
São Paulo,Botafogo,1,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,4,4,3,2,2,3,5,Serie A - Brazil,2988920
Flamengo,Cruzeiro,1,3,1,4,y,1,1,1,1,2,2,0,0,2,2,4,6,10,6,2,2,6,8,Serie A - Brazil,2988921
Fluminense,Goiás,1,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,1,5,5,5,5,5,10,Serie A - Brazil,2988922
Chapecoense,Internacional,1,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,3,5,5,3,8,Serie A - Brazil,2988923
Bahia,Corinthians,1,3,2,5,y,1,1,1,1,2,2,1,1,2,3,1,4,5,4,4,4,4,8,Serie A - Brazil,2988924
Athletico Paranaense,Vasco da Gama,1,4,1,5,y,2,0,0,2,2,2,1,1,2,3,1,1,2,4,0,0,4,4,Serie A - Brazil,2988925
Internacional,Flamengo,2,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,2,5,4,5,5,4,9,Serie A - Brazil,2988926
Cruzeiro,Ceará,2,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,0,1,2,3,3,2,5,Serie A - Brazil,2988927
Fortaleza,Athletico Paranaense,2,2,1,3,y,1,1,1,1,2,1,0,0,1,1,3,3,6,2,7,7,2,9,Serie A - Brazil,2988928
Corinthians,Chapecoense,2,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,1,3,7,2,2,7,9,Serie A - Brazil,2988929
Santos,Fluminense,2,2,1,3,y,0,0,0,0,0,2,1,1,2,3,3,2,5,6,1,1,6,7,Serie A - Brazil,2988930
Vasco da Gama,Atlético Mineiro,2,1,2,3,y,0,0,0,0,0,1,2,2,1,3,0,0,0,8,4,4,8,12,Serie A - Brazil,2988931
Botafogo,Bahia,2,3,2,5,y,3,1,1,3,4,0,1,1,0,1,3,0,3,3,6,6,3,9,Serie A - Brazil,2988932
CSA,Palmeiras,2,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,0,0,3,7,7,3,10,Serie A - Brazil,2988935
Cruzeiro,Goiás,3,2,1,3,y,0,0,0,0,0,2,1,1,2,3,1,3,4,5,4,4,5,9,Serie A - Brazil,2988937
Palmeiras,Internacional,3,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,5,7,4,5,5,4,9,Serie A - Brazil,2988939
São Paulo,Flamengo,3,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,7,8,6,2,2,6,8,Serie A - Brazil,2988940
Vasco da Gama,Corinthians,3,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,1,3,8,2,2,8,10,Serie A - Brazil,2988941
Botafogo,Fortaleza,3,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,2,2,7,4,4,7,11,Serie A - Brazil,2988942
Chapecoense,Athletico Paranaense,3,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,3,4,8,3,3,8,11,Serie A - Brazil,2988943
Bahia,Avaí,3,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,2,3,9,1,1,9,10,Serie A - Brazil,2988944
CSA,Santos,3,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,4,5,2,12,12,2,14,Serie A - Brazil,2988945
Atlético Mineiro,Palmeiras,4,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,3,4,8,3,3,8,11,Serie A - Brazil,2988947
Corinthians,Grêmio,4,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,4,6,3,2,2,3,5,Serie A - Brazil,2988949
Santos,Vasco da Gama,4,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,5,7,8,5,5,8,13,Serie A - Brazil,2988950
Goiás,Ceará,4,2,1,3,y,1,0,0,1,1,1,1,1,1,2,2,2,4,2,7,7,2,9,Serie A - Brazil,2988954
Athletico Paranaense,Bahia,4,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,3,5,8,6,6,8,14,Serie A - Brazil,2988955
Internacional,CSA,5,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,3,5,4,3,3,4,7,Serie A - Brazil,2988956
Ceará,Grêmio,5,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,6,9,-1,-1,-1,-1,-1,Serie A - Brazil,2988958
Palmeiras,Santos,5,4,0,4,n,2,0,0,2,2,2,0,0,2,2,2,4,6,5,5,5,5,10,Serie A - Brazil,2988959
Vasco da Gama,Avaí,5,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,2,3,5,10,10,5,15,Serie A - Brazil,2988961
Chapecoense,Fortaleza,5,1,3,4,y,1,1,1,1,2,0,2,2,0,2,1,1,2,9,4,4,9,13,Serie A - Brazil,2988963
Athletico Paranaense,Corinthians,5,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,4,5,11,3,3,11,14,Serie A - Brazil,2988965
Grêmio,Atlético Mineiro,6,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,4,5,13,4,4,13,17,Serie A - Brazil,2988966
Fortaleza,Vasco da Gama,6,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,2,3,-1,-1,-1,-1,-1,Serie A - Brazil,2988968
Corinthians,São Paulo,6,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,4,7,3,4,4,3,7,Serie A - Brazil,2988969
Botafogo,Palmeiras,6,0,1,1,n,0,0,0,0,0,0,1,1,0,1,10,0,10,-1,-1,-1,-1,-1,Serie A - Brazil,2988972
Avaí,Ceará,6,1,2,3,y,1,0,0,1,1,0,2,2,0,2,4,3,7,3,0,0,3,3,Serie A - Brazil,2988973
Bahia,Fluminense,6,3,2,5,y,2,1,1,2,3,1,1,1,1,2,2,4,6,3,3,3,3,6,Serie A - Brazil,2988974
CSA,Goiás,6,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,1,4,3,9,9,3,12,Serie A - Brazil,2988975
