Guarani,Figueirense,1,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,5,4,4,5,9,Serie B - Brazil,2987874
Botafogo SP,Vitória,1,3,1,4,y,0,0,0,0,0,3,1,1,3,4,1,3,4,2,7,7,2,9,Serie B - Brazil,2987875
São Bento,Atlético GO,1,1,3,4,y,0,1,1,0,1,1,2,2,1,3,4,4,8,1,3,3,1,4,Serie B - Brazil,2987876
Vila Nova,Paraná,1,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,3,5,8,5,5,8,13,Serie B - Brazil,2987877
Coritiba,Ponte Preta,1,2,0,2,n,2,0,0,2,2,0,0,0,0,0,2,4,6,8,4,4,8,12,Serie B - Brazil,2987878
Operário PR,América Mineiro,1,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,4,3,3,4,7,Serie B - Brazil,2987879
Criciúma,Cuiabá,1,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,2,3,7,3,3,7,10,Serie B - Brazil,2987880
Brasil de Pelotas,RB Bragantino,1,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,3,4,8,6,6,8,14,Serie B - Brazil,2987881
Sport Recife,Oeste,1,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,2,5,7,6,6,7,13,Serie B - Brazil,2987882
CRB,Londrina,1,1,2,3,y,1,2,2,1,3,0,0,0,0,0,0,3,3,8,4,4,8,12,Serie B - Brazil,2987883
Ponte Preta,Criciúma,2,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,2,3,3,4,4,3,7,Serie B - Brazil,2987884
RB Bragantino,Sport Recife,2,1,1,2,y,1,1,1,1,2,0,0,0,0,0,5,3,8,6,4,4,6,10,Serie B - Brazil,2987885
Oeste,Guarani,2,2,0,2,n,1,0,0,1,1,1,0,0,1,1,4,3,7,5,6,6,5,11,Serie B - Brazil,2987886
Atlético GO,Coritiba,2,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,2,4,6,4,4,6,10,Serie B - Brazil,2987887
Paraná,CRB,2,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,2,5,8,4,4,8,12,Serie B - Brazil,2987888
Londrina,Brasil de Pelotas,2,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,2,6,4,3,3,4,7,Serie B - Brazil,2987889
Figueirense,São Bento,2,2,2,4,y,0,1,1,0,1,2,1,1,2,3,2,3,5,12,3,3,12,15,Serie B - Brazil,2987890
América Mineiro,Botafogo SP,2,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,2,3,8,2,2,8,10,Serie B - Brazil,2987891
Vitória,Vila Nova,2,2,1,3,y,1,1,1,1,2,1,0,0,1,1,6,2,8,4,7,7,4,11,Serie B - Brazil,2987892
Cuiabá,Operário PR,2,2,1,3,y,2,1,1,2,3,0,0,0,0,0,2,2,4,4,5,5,4,9,Serie B - Brazil,2987893
Guarani,Vitória,3,3,2,5,y,1,1,1,1,2,2,1,1,2,3,4,2,6,6,6,6,6,12,Serie B - Brazil,2987894
RB Bragantino,Atlético GO,3,3,0,3,n,1,0,0,1,1,2,0,0,2,2,0,2,2,4,11,11,4,15,Serie B - Brazil,2987895
São Bento,Botafogo SP,3,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,2,2,6,10,10,6,16,Serie B - Brazil,2987896
Vila Nova,Ponte Preta,3,0,0,0,n,0,0,0,0,0,0,0,0,0,0,5,5,10,5,4,4,5,9,Serie B - Brazil,2987897
Coritiba,Londrina,3,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,5,3,3,5,8,Serie B - Brazil,2987898
Operário PR,Oeste,3,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,10,Serie B - Brazil,2987899
Criciúma,América Mineiro,3,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,5,13,13,5,18,Serie B - Brazil,2987900
Brasil de Pelotas,CRB,3,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,1,3,-1,-1,-1,-1,-1,Serie B - Brazil,2987901
Sport Recife,Figueirense,3,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,-1,-1,-1,-1,-1,Serie B - Brazil,2987902
Cuiabá,Paraná,3,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,4,6,10,2,2,10,12,Serie B - Brazil,2987903
Ponte Preta,Operário PR,4,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,2,6,6,2,8,Serie B - Brazil,2987904
Botafogo SP,Vila Nova,4,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,2,5,3,3,3,3,6,Serie B - Brazil,2987905
Oeste,Cuiabá,4,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,2,6,4,2,2,4,6,Serie B - Brazil,2987906
Atlético GO,Criciúma,4,3,1,4,y,1,0,0,1,1,2,1,1,2,3,1,1,2,6,5,5,6,11,Serie B - Brazil,2987907
Paraná,Guarani,4,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,2,5,8,1,1,8,9,Serie B - Brazil,2987908
Londrina,RB Bragantino,4,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,3,4,4,3,7,Serie B - Brazil,2987909
Figueirense,Brasil de Pelotas,4,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,2,3,3,4,4,3,7,Serie B - Brazil,2987910
América Mineiro,Sport Recife,4,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,2,4,5,5,5,5,10,Serie B - Brazil,2987911
Vitória,São Bento,4,1,3,4,y,1,0,0,1,1,0,3,3,0,3,2,4,6,8,7,7,8,15,Serie B - Brazil,2987912
CRB,Coritiba,4,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,2,6,5,4,4,5,9,Serie B - Brazil,2987913
Ponte Preta,Paraná,5,4,2,6,y,1,2,2,1,3,3,0,0,3,3,5,2,7,9,5,5,9,14,Serie B - Brazil,2987914
RB Bragantino,Figueirense,5,2,0,2,n,0,0,0,0,0,2,0,0,2,2,5,4,9,7,3,3,7,10,Serie B - Brazil,2987915
São Bento,Oeste,5,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,2,5,7,10,10,7,17,Serie B - Brazil,2987916
Atlético GO,Vitória,5,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,5,8,11,9,9,11,20,Serie B - Brazil,2987917
Coritiba,Cuiabá,5,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,3,4,6,2,2,6,8,Serie B - Brazil,2987918
Operário PR,Botafogo SP,5,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,2,4,5,5,5,5,10,Serie B - Brazil,2987919
Criciúma,Guarani,5,1,0,1,n,1,0,0,1,1,0,0,0,0,0,5,3,8,6,5,5,6,11,Serie B - Brazil,2987920
Brasil de Pelotas,América Mineiro,5,2,1,3,y,1,1,1,1,2,1,0,0,1,1,3,2,5,3,3,3,3,6,Serie B - Brazil,2987921
Sport Recife,Londrina,5,3,2,5,y,1,0,0,1,1,2,2,2,2,4,0,0,0,5,6,6,5,11,Serie B - Brazil,2987922
CRB,Vila Nova,5,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,2,4,8,4,4,8,12,Serie B - Brazil,2987923
Guarani,Brasil de Pelotas,6,1,2,3,y,1,0,0,1,1,0,2,2,0,2,3,5,8,4,9,9,4,13,Serie B - Brazil,2987924
Botafogo SP,Criciúma,6,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,1,4,3,5,5,3,8,Serie B - Brazil,2987925
São Bento,CRB,6,1,2,3,y,0,2,2,0,2,1,0,0,1,1,5,4,9,11,3,3,11,14,Serie B - Brazil,2987926
Vila Nova,Londrina,6,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,1,4,11,3,3,11,14,Serie B - Brazil,2987927
Paraná,Oeste,6,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,7,10,8,4,4,8,12,Serie B - Brazil,2987928
Operário PR,Sport Recife,6,2,1,3,y,0,1,1,0,1,2,0,0,2,2,3,1,4,4,7,7,4,11,Serie B - Brazil,2987929
Figueirense,Atlético GO,6,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,2,4,6,3,3,6,9,Serie B - Brazil,2987930
América Mineiro,Coritiba,6,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,4,6,4,7,7,4,11,Serie B - Brazil,2987931
Vitória,RB Bragantino,6,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,4,5,2,10,10,2,12,Serie B - Brazil,2987932
Cuiabá,Ponte Preta,6,1,3,4,y,1,1,1,1,2,0,2,2,0,2,4,2,6,5,3,3,5,8,Serie B - Brazil,2987933
Ponte Preta,Botafogo SP,7,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,6,5,5,6,11,Serie B - Brazil,2987934
RB Bragantino,São Bento,7,2,0,2,n,0,0,0,0,0,2,0,0,2,2,3,6,9,13,5,5,13,18,Serie B - Brazil,2987935
Oeste,Figueirense,7,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,1,4,2,4,4,2,6,Serie B - Brazil,2987936
Atlético GO,Guarani,7,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,2,5,5,4,4,5,9,Serie B - Brazil,2987937
Coritiba,Paraná,7,2,3,5,y,1,1,1,1,2,1,2,2,1,3,4,4,8,7,7,7,7,14,Serie B - Brazil,2987938
Londrina,Cuiabá,7,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,3,5,4,3,3,4,7,Serie B - Brazil,2987939
Criciúma,Vila Nova,7,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,1,4,4,12,12,4,16,Serie B - Brazil,2987940
Brasil de Pelotas,Operário PR,7,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,3,6,7,0,0,7,7,Serie B - Brazil,2987941
Sport Recife,Vitória,7,3,1,4,y,2,1,1,2,3,1,0,0,1,1,3,1,4,4,5,5,4,9,Serie B - Brazil,2987942
CRB,América Mineiro,7,1,3,4,y,0,0,0,0,0,1,3,3,1,4,5,2,7,4,2,2,4,6,Serie B - Brazil,2987943
Guarani,Coritiba,8,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,4,7,2,7,7,2,9,Serie B - Brazil,2987944
RB Bragantino,América Mineiro,8,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,2,2,8,4,4,8,12,Serie B - Brazil,2987945
Oeste,Vitória,8,3,0,3,n,1,0,0,1,1,2,0,0,2,2,6,2,8,6,4,4,6,10,Serie B - Brazil,2987946
Vila Nova,São Bento,8,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,2,6,5,6,6,5,11,Serie B - Brazil,2987947
Paraná,Operário PR,8,1,0,1,n,0,0,0,0,0,1,0,0,1,1,5,2,7,8,12,12,8,20,Serie B - Brazil,2987948
Londrina,Ponte Preta,8,1,3,4,y,1,2,2,1,3,0,1,1,0,1,2,2,4,5,3,3,5,8,Serie B - Brazil,2987949
Figueirense,Botafogo SP,8,2,1,3,y,1,0,0,1,1,1,1,1,1,2,0,4,4,5,4,4,5,9,Serie B - Brazil,2987950
Brasil de Pelotas,Criciúma,8,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,6,7,4,3,3,4,7,Serie B - Brazil,2987951
Sport Recife,CRB,8,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,2,5,7,4,4,7,11,Serie B - Brazil,2987952
Cuiabá,Atlético GO,8,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,3,5,5,6,6,5,11,Serie B - Brazil,2987953
Ponte Preta,Oeste,9,3,2,5,y,3,1,1,3,4,0,1,1,0,1,1,4,5,4,6,6,4,10,Serie B - Brazil,2987954
Botafogo SP,Brasil de Pelotas,9,2,3,5,y,1,3,3,1,4,1,0,0,1,1,1,4,5,6,1,1,6,7,Serie B - Brazil,2987955
São Bento,Sport Recife,9,2,2,4,y,1,1,1,1,2,1,1,1,1,2,3,1,4,2,5,5,2,7,Serie B - Brazil,2987956
Atlético GO,Vila Nova,9,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,4,6,4,7,7,4,11,Serie B - Brazil,2987957
Paraná,RB Bragantino,9,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,3,4,3,7,7,3,10,Serie B - Brazil,2987958
Operário PR,Londrina,9,2,0,2,n,2,0,0,2,2,0,0,0,0,0,3,2,5,8,4,4,8,12,Serie B - Brazil,2987959
Criciúma,Coritiba,9,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,4,6,9,2,2,9,11,Serie B - Brazil,2987960
América Mineiro,Figueirense,9,0,4,4,n,0,1,1,0,1,0,3,3,0,3,1,2,3,11,2,2,11,13,Serie B - Brazil,2987961
Vitória,Cuiabá,9,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,4,6,8,3,3,8,11,Serie B - Brazil,2987962
CRB,Guarani,9,2,1,3,y,2,1,1,2,3,0,0,0,0,0,2,4,6,5,7,7,5,12,Serie B - Brazil,2987963
Ponte Preta,Atlético GO,10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,2,6,1,3,3,1,4,Serie B - Brazil,2987964
Botafogo SP,Guarani,10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,3,6,9,5,5,9,14,Serie B - Brazil,2987965
Oeste,RB Bragantino,10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,3,1,4,Serie B - Brazil,2987966
Vila Nova,América Mineiro,10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,0,1,1,6,2,2,6,8,Serie B - Brazil,2987967
Coritiba,São Bento,10,2,1,3,y,0,1,1,0,1,2,0,0,2,2,4,5,9,5,6,6,5,11,Serie B - Brazil,2987968
Operário PR,CRB,10,2,1,3,y,0,1,1,0,1,2,0,0,2,2,2,2,4,6,1,1,6,7,Serie B - Brazil,2987969
Figueirense,Londrina,10,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,4,6,7,1,1,7,8,Serie B - Brazil,2987970
Brasil de Pelotas,Paraná,10,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,3,4,3,4,4,3,7,Serie B - Brazil,2987971
Vitória,Criciúma,10,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,5,7,4,7,7,4,11,Serie B - Brazil,2987972
Cuiabá,Sport Recife,10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,4,7,14,1,1,14,15,Serie B - Brazil,2987973
Guarani,Cuiabá,11,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,2,2,4,4,4,4,8,Serie B - Brazil,2987974
RB Bragantino,Ponte Preta,11,2,1,3,y,0,1,1,0,1,2,0,0,2,2,4,3,7,3,7,7,3,10,Serie B - Brazil,2987975
São Bento,Operário PR,11,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,4,5,8,2,2,8,10,Serie B - Brazil,2987976
Atlético GO,Botafogo SP,11,1,2,3,y,1,0,0,1,1,0,2,2,0,2,2,3,5,3,3,3,3,6,Serie B - Brazil,2987977
Coritiba,Vila Nova,11,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,3,4,6,10,10,6,16,Serie B - Brazil,2987978
Londrina,Vitória,11,3,1,4,y,1,1,1,1,2,2,0,0,2,2,4,1,5,3,5,5,3,8,Serie B - Brazil,2987979
Figueirense,Paraná,11,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,4,6,3,2,2,3,5,Serie B - Brazil,2987980
América Mineiro,Oeste,11,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,2,2,9,2,2,9,11,Serie B - Brazil,2987981
Sport Recife,Brasil de Pelotas,11,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,11,1,1,11,12,Serie B - Brazil,2987982
CRB,Criciúma,11,2,0,2,n,0,0,0,0,0,2,0,0,2,2,4,4,8,4,8,8,4,12,Serie B - Brazil,2987983
Guarani,São Bento,12,2,1,3,y,1,0,0,1,1,1,1,1,1,2,2,3,5,4,5,5,4,9,Serie B - Brazil,2987984
Botafogo SP,CRB,12,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,4,6,6,3,3,6,9,Serie B - Brazil,2987985
Oeste,Londrina,12,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,2,3,13,8,8,13,21,Serie B - Brazil,2987986
Vila Nova,RB Bragantino,12,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,1,5,5,2,2,5,7,Serie B - Brazil,2987987
Paraná,Sport Recife,12,0,1,1,n,0,1,1,0,1,0,0,0,0,0,4,5,9,9,2,2,9,11,Serie B - Brazil,2987988
Operário PR,Coritiba,12,1,1,2,y,1,0,0,1,1,0,1,1,0,1,5,2,7,-1,-1,-1,-1,-1,Serie B - Brazil,2987989
Criciúma,Figueirense,12,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,1,2,8,0,0,8,8,Serie B - Brazil,2987990
América Mineiro,Atlético GO,12,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,2,5,7,4,4,7,11,Serie B - Brazil,2987991
Vitória,Ponte Preta,12,2,1,3,y,2,1,1,2,3,0,0,0,0,0,4,4,8,6,6,6,6,12,Serie B - Brazil,2987992
Cuiabá,Brasil de Pelotas,12,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,1,2,9,3,3,9,12,Serie B - Brazil,2987993
Ponte Preta,América Mineiro,13,0,1,1,n,0,0,0,0,0,0,1,1,0,1,5,1,6,5,4,4,5,9,Serie B - Brazil,2987994
RB Bragantino,Cuiabá,13,2,2,4,y,2,1,1,2,3,0,1,1,0,1,3,3,6,9,1,1,9,10,Serie B - Brazil,2987995
São Bento,Criciúma,13,1,0,1,n,1,0,0,1,1,0,0,0,0,0,5,6,11,3,7,7,3,10,Serie B - Brazil,2987996
Atlético GO,Operário PR,13,4,2,6,y,0,2,2,0,2,4,0,0,4,4,5,3,8,9,3,3,9,12,Serie B - Brazil,2987997
Coritiba,Botafogo SP,13,3,2,5,y,2,2,2,2,4,1,0,0,1,1,5,4,9,9,3,3,9,12,Serie B - Brazil,2987998
Londrina,Paraná,13,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,1,2,4,2,2,4,6,Serie B - Brazil,2987999
Figueirense,Vitória,13,1,1,2,y,1,1,1,1,2,0,0,0,0,0,3,3,6,4,4,4,4,8,Serie B - Brazil,2988000
Brasil de Pelotas,Vila Nova,13,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,2,4,5,5,5,5,10,Serie B - Brazil,2988001
Sport Recife,Guarani,13,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,2,4,8,1,1,8,9,Serie B - Brazil,2988002
CRB,Oeste,13,2,2,4,y,1,1,1,1,2,1,1,1,1,2,3,4,7,7,7,7,7,14,Serie B - Brazil,2988003
Guarani,RB Bragantino,14,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,1,3,2,5,5,2,7,Serie B - Brazil,2988004
Botafogo SP,Oeste,14,3,2,5,y,1,2,2,1,3,2,0,0,2,2,2,1,3,7,2,2,7,9,Serie B - Brazil,2988005
São Bento,Ponte Preta,14,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,9,2,2,9,11,Serie B - Brazil,2988006
Vila Nova,Figueirense,14,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,4,7,11,Serie B - Brazil,2988007
Paraná,América Mineiro,14,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,3,6,4,5,5,4,9,Serie B - Brazil,2988008
Londrina,Atlético GO,14,1,1,2,y,1,1,1,1,2,0,0,0,0,0,6,2,8,2,6,6,2,8,Serie B - Brazil,2988009
Criciúma,Operário PR,14,1,2,3,y,1,0,0,1,1,0,2,2,0,2,4,2,6,10,4,4,10,14,Serie B - Brazil,2988010
Brasil de Pelotas,Vitória,14,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,3,7,8,7,7,8,15,Serie B - Brazil,2988011
Sport Recife,Coritiba,14,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,3,4,7,4,4,7,11,Serie B - Brazil,2988012
CRB,Cuiabá,14,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,1,4,11,6,6,11,17,Serie B - Brazil,2988013
Ponte Preta,Guarani,15,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,2,4,3,10,10,3,13,Serie B - Brazil,2988014
RB Bragantino,Botafogo SP,15,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,4,7,3,8,8,3,11,Serie B - Brazil,2988015
Oeste,Brasil de Pelotas,15,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,1,4,8,5,5,8,13,Serie B - Brazil,2988016
Atlético GO,CRB,15,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,1,4,9,3,3,9,12,Serie B - Brazil,2988017
Coritiba,Figueirense,15,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,3,4,14,3,3,14,17,Serie B - Brazil,2988018
Operário PR,Vila Nova,15,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,8,1,1,8,9,Serie B - Brazil,2988019
Criciúma,Sport Recife,15,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,2,2,9,7,7,9,16,Serie B - Brazil,2988020
América Mineiro,Londrina,15,4,3,7,y,1,2,2,1,3,3,1,1,3,4,3,6,9,5,2,2,5,7,Serie B - Brazil,2988021
Vitória,Paraná,15,2,0,2,n,2,0,0,2,2,0,0,0,0,0,2,1,3,2,8,8,2,10,Serie B - Brazil,2988022
Cuiabá,São Bento,15,3,2,5,y,1,0,0,1,1,2,2,2,2,4,4,3,7,5,12,12,5,17,Serie B - Brazil,2988023
Guarani,Vila Nova,16,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,4,6,9,4,4,9,13,Serie B - Brazil,2988024
RB Bragantino,Operário PR,16,4,0,4,n,2,0,0,2,2,2,0,0,2,2,0,0,0,12,3,3,12,15,Serie B - Brazil,2988025
São Bento,Paraná,16,2,1,3,y,0,1,1,0,1,2,0,0,2,2,2,2,4,10,2,2,10,12,Serie B - Brazil,2988026
Atlético GO,Oeste,16,2,0,2,n,2,0,0,2,2,0,0,0,0,0,1,2,3,5,1,1,5,6,Serie B - Brazil,2988027
Coritiba,Brasil de Pelotas,16,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,3,4,7,6,6,7,13,Serie B - Brazil,2988028
Londrina,Criciúma,16,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,4,6,4,9,9,4,13,Serie B - Brazil,2988029
Figueirense,Ponte Preta,16,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,4,7,3,1,1,3,4,Serie B - Brazil,2988030
América Mineiro,Cuiabá,16,2,1,3,y,2,0,0,2,2,0,1,1,0,1,2,2,4,0,5,5,0,5,Serie B - Brazil,2988031
Sport Recife,Botafogo SP,16,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,Serie B - Brazil,2988032
CRB,Vitória,16,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,5,6,12,6,6,12,18,Serie B - Brazil,2988033
Ponte Preta,CRB,17,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,1,2,12,3,3,12,15,Serie B - Brazil,2988034
Botafogo SP,Londrina,17,2,1,3,y,1,1,1,1,2,1,0,0,1,1,2,3,5,2,3,3,2,5,Serie B - Brazil,2988035
Oeste,Coritiba,17,0,2,2,n,0,0,0,0,0,0,2,2,0,2,4,2,6,3,5,5,3,8,Serie B - Brazil,2988036
Vila Nova,Sport Recife,17,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,1,3,5,6,6,5,11,Serie B - Brazil,2988037
Paraná,Atlético GO,17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,8,Serie B - Brazil,2988038
Operário PR,Guarani,17,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,4,8,4,4,4,4,8,Serie B - Brazil,2988039
Criciúma,RB Bragantino,17,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,1,2,7,5,5,7,12,Serie B - Brazil,2988040
Brasil de Pelotas,São Bento,17,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,3,4,4,1,1,4,5,Serie B - Brazil,2988041
Vitória,América Mineiro,17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,6,Serie B - Brazil,2988042
Cuiabá,Figueirense,17,3,0,3,n,3,0,0,3,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,Serie B - Brazil,2988043
Ponte Preta,Sport Recife,18,2,2,4,y,0,0,0,0,0,2,2,2,2,4,5,1,6,4,1,1,4,5,Serie B - Brazil,2988044
RB Bragantino,Coritiba,18,1,1,2,y,1,0,0,1,1,0,1,1,0,1,4,2,6,3,2,2,3,5,Serie B - Brazil,2988045
Oeste,Vila Nova,18,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,5,8,9,5,5,9,14,Serie B - Brazil,2988046
Atlético GO,Brasil de Pelotas,18,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,4,7,14,0,0,14,14,Serie B - Brazil,2988047
Paraná,Criciúma,18,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,6,9,8,3,3,8,11,Serie B - Brazil,2988048
Londrina,São Bento,18,2,4,6,y,1,3,3,1,4,1,1,1,1,2,3,0,3,15,4,4,15,19,Serie B - Brazil,2988049
Figueirense,CRB,18,2,2,4,y,1,1,1,1,2,1,1,1,1,2,1,3,4,6,5,5,6,11,Serie B - Brazil,2988050
América Mineiro,Guarani,18,3,2,5,y,1,1,1,1,2,2,1,1,2,3,3,5,8,7,2,2,7,9,Serie B - Brazil,2988051
Vitória,Operário PR,18,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,3,5,8,2,2,8,10,Serie B - Brazil,2988052
Cuiabá,Botafogo SP,18,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,1,4,8,3,3,8,11,Serie B - Brazil,2988053
Guarani,Londrina,19,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,2,5,5,5,5,5,10,Serie B - Brazil,2988054
Botafogo SP,Paraná,19,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,1,4,6,3,3,6,9,Serie B - Brazil,2988055
São Bento,América Mineiro,19,0,2,2,n,0,2,2,0,2,0,0,0,0,0,4,2,6,10,2,2,10,12,Serie B - Brazil,2988056
Vila Nova,Cuiabá,19,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,6,4,4,6,10,Serie B - Brazil,2988057
Coritiba,Vitória,19,1,1,2,y,1,0,0,1,1,0,1,1,0,1,6,3,9,8,3,3,8,11,Serie B - Brazil,2988058
Operário PR,Figueirense,19,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,7,9,6,4,4,6,10,Serie B - Brazil,2988059
Criciúma,Oeste,19,3,1,4,y,1,1,1,1,2,2,0,0,2,2,3,4,7,9,3,3,9,12,Serie B - Brazil,2988060
Brasil de Pelotas,Ponte Preta,19,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,2,6,5,6,6,5,11,Serie B - Brazil,2988061
