AEK Athens,Xanthi,2019-08-25,1,2,3,y,0,0,0,0,0,1,2,2,1,3,5,4,9,3,3,3,3,6,Super League 1 - Greece,3051869
Aris,OFI,2019-08-24,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,4,5,7,1,1,7,8,Super League 1 - Greece,3051870
Atromitos,Larissa,2019-08-25,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,5,7,7,2,2,7,9,Super League 1 - Greece,3051871
Olympiakos Piraeus,Asteras Tripolis,2019-08-24,1,0,1,n,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,4,5,Super League 1 - Greece,3051872
Panionios,Volos NFC,2019-08-25,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,2,4,7,2,2,7,9,Super League 1 - Greece,3051873
PAOK,Panaitolikos,2019-08-25,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,2,3,6,2,2,6,8,Super League 1 - Greece,3051874
Lamia,Panathinaikos,2019-08-24,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,3,5,6,5,5,6,11,Super League 1 - Greece,3051875
Larissa,Olympiakos Piraeus,2019-09-01,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,2,4,1,8,8,1,9,Super League 1 - Greece,3051876
Asteras Tripolis,AEK Athens,2019-09-01,2,3,5,y,1,1,1,1,2,1,2,2,1,3,4,4,8,3,7,7,3,10,Super League 1 - Greece,3051877
Volos NFC,Aris,2019-08-31,1,0,1,n,0,0,0,0,0,1,0,0,1,1,0,1,1,1,8,8,1,9,Super League 1 - Greece,3051878
Panathinaikos,OFI,2019-08-31,1,3,4,y,0,1,1,0,1,1,2,2,1,3,7,3,10,1,1,1,1,2,Super League 1 - Greece,3051879
Panaitolikos,Xanthi,2019-08-31,1,2,3,y,0,0,0,0,0,1,2,2,1,3,1,1,2,5,0,0,5,5,Super League 1 - Greece,3051880
PAOK,Panionios,2019-09-01,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,3,4,9,2,2,9,11,Super League 1 - Greece,3051881
