Crvena Zvezda,Javor Ivanjica,2019-07-20,2,0,2,n,2,0,0,2,2,0,0,0,0,0,1,3,4,14,4,4,14,18,Super Liga - Serbia,3030015
Radnički Niš,Proleter Novi Sad,2019-07-21,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,0,0,7,5,5,7,12,Super Liga - Serbia,3030016
Voždovac,Bačka Topola,2019-07-19,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,4,6,3,5,5,3,8,Super Liga - Serbia,3030017
Mladost Lučani,Radnik Surdulica,2019-07-20,2,1,3,y,0,1,1,0,1,2,0,0,2,2,3,3,6,11,4,4,11,15,Super Liga - Serbia,3030018
Spartak Subotica,Rad Beograd,2019-07-20,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,1,2,2,4,4,2,6,Super Liga - Serbia,3030019
Čukarički,Napredak,2019-07-20,1,0,1,n,1,0,0,1,1,0,0,0,0,0,6,5,11,2,11,11,2,13,Super Liga - Serbia,3030020
Vojvodina,Mačva Šabac,2019-07-20,3,1,4,y,0,0,0,0,0,3,1,1,3,4,4,5,9,-1,-1,-1,-1,-1,Super Liga - Serbia,3030021
Inđija,Partizan,2019-07-21,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,2,3,0,6,6,0,6,Super Liga - Serbia,3030022
Javor Ivanjica,Partizan,2019-09-25,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,1,4,6,5,5,6,11,Super Liga - Serbia,3030023
Mačva Šabac,Inđija,2019-07-27,2,2,4,y,0,1,1,0,1,2,1,1,2,3,3,5,8,-1,-1,-1,-1,-1,Super Liga - Serbia,3030024
Napredak,Vojvodina,2019-07-28,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,5,7,3,6,6,3,9,Super Liga - Serbia,3030025
Rad Beograd,Čukarički,2019-08-28,2,3,5,y,2,1,1,2,3,0,2,2,0,2,8,2,10,-1,-1,-1,-1,-1,Super Liga - Serbia,3030026
Radnik Surdulica,Spartak Subotica,2019-07-27,4,0,4,n,2,0,0,2,2,2,0,0,2,2,1,2,3,7,0,0,7,7,Super Liga - Serbia,3030027
Bačka Topola,Mladost Lučani,2019-07-27,5,1,6,y,3,0,0,3,3,2,1,1,2,3,1,5,6,7,6,6,7,13,Super Liga - Serbia,3030028
Proleter Novi Sad,Voždovac,2019-07-27,2,2,4,y,0,0,0,0,0,2,2,2,2,4,4,1,5,6,3,3,6,9,Super Liga - Serbia,3030029
Crvena Zvezda,Radnički Niš,2019-07-27,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,0,0,5,4,4,5,9,Super Liga - Serbia,3030030
Radnički Niš,Javor Ivanjica,2019-08-03,2,1,3,y,2,1,1,2,3,0,0,0,0,0,1,0,1,8,6,6,8,14,Super Liga - Serbia,3030031
Voždovac,Crvena Zvezda,2019-09-25,1,3,4,y,1,2,2,1,3,0,1,1,0,1,0,0,0,0,3,3,0,3,Super Liga - Serbia,3030032
Mladost Lučani,Proleter Novi Sad,2019-08-02,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,4,8,9,4,4,9,13,Super Liga - Serbia,3030033
Spartak Subotica,Bačka Topola,2019-08-04,1,2,3,y,1,1,1,1,2,0,1,1,0,1,3,6,9,8,3,3,8,11,Super Liga - Serbia,3030034
Čukarički,Radnik Surdulica,2019-08-04,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,2,4,5,4,4,5,9,Super Liga - Serbia,3030035
Vojvodina,Rad Beograd,2019-08-03,5,0,5,n,3,0,0,3,3,2,0,0,2,2,2,2,4,12,0,0,12,12,Super Liga - Serbia,3030036
Inđija,Napredak,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,0,1,1,0,1,Super Liga - Serbia,3030037
Partizan,Mačva Šabac,2019-08-04,4,0,4,n,2,0,0,2,2,2,0,0,2,2,0,2,2,-1,-1,-1,-1,-1,Super Liga - Serbia,3030038
Javor Ivanjica,Mačva Šabac,2019-08-10,3,1,4,y,1,0,0,1,1,2,1,1,2,3,2,6,8,5,4,4,5,9,Super Liga - Serbia,3030039
Napredak,Partizan,2019-08-11,2,2,4,y,2,1,1,2,3,0,1,1,0,1,4,3,7,3,14,14,3,17,Super Liga - Serbia,3030040
Rad Beograd,Inđija,2019-08-10,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,4,8,2,2,2,2,4,Super Liga - Serbia,3030041
