Zemplín Michalovce,Žilina,2019-07-20,0,3,3,n,0,3,3,0,3,0,0,0,0,0,2,3,5,5,4,4,5,9,Super Liga - Slovakia,3032576
Senica,Trenčín,2019-07-20,3,1,4,y,0,1,1,0,1,3,0,0,3,3,3,1,4,5,8,8,5,13,Super Liga - Slovakia,3032577
Pohronie,Slovan Bratislava,2019-07-20,1,3,4,y,0,1,1,0,1,1,2,2,1,3,3,1,4,4,7,7,4,11,Super Liga - Slovakia,3032578
Ružomberok,Nitra,2019-07-21,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,7,4,4,7,11,Super Liga - Slovakia,3032579
Spartak Trnava,Sereď,2019-07-21,2,0,2,n,1,0,0,1,1,1,0,0,1,1,4,6,10,2,6,6,2,8,Super Liga - Slovakia,3032580
Zlaté Moravce,DAC,2019-07-21,1,2,3,y,1,0,0,1,1,0,2,2,0,2,3,2,5,6,12,12,6,18,Super Liga - Slovakia,3032581
Nitra,Zlaté Moravce,2019-07-27,0,1,1,n,0,1,1,0,1,0,0,0,0,0,5,4,9,1,7,7,1,8,Super Liga - Slovakia,3032582
Slovan Bratislava,Zemplín Michalovce,2019-07-27,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,2,3,5,3,3,5,8,Super Liga - Slovakia,3032583
Trenčín,Ružomberok,2019-07-27,1,1,2,y,1,1,1,1,2,0,0,0,0,0,3,4,7,5,3,3,5,8,Super Liga - Slovakia,3032584
Sereď,Senica,2019-07-27,2,1,3,y,0,0,0,0,0,2,1,1,2,3,1,2,3,3,5,5,3,8,Super Liga - Slovakia,3032585
Žilina,Spartak Trnava,2019-07-28,4,2,6,y,2,0,0,2,2,2,2,2,2,4,3,5,8,4,6,6,4,10,Super Liga - Slovakia,3032586
DAC,Pohronie,2019-07-28,5,1,6,y,2,0,0,2,2,3,1,1,3,4,0,1,1,5,1,1,5,6,Super Liga - Slovakia,3032587
Senica,Slovan Bratislava,2019-08-03,0,3,3,n,0,2,2,0,2,0,1,1,0,1,3,0,3,8,3,3,8,11,Super Liga - Slovakia,3032588
Žilina,Trenčín,2019-08-03,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,2,5,4,8,8,4,12,Super Liga - Slovakia,3032589
Ružomberok,Pohronie,2019-08-03,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,2,6,7,3,3,7,10,Super Liga - Slovakia,3032590
Spartak Trnava,Nitra,2019-08-04,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,3,5,8,5,5,8,13,Super Liga - Slovakia,3032591
Sereď,DAC,2019-08-04,3,1,4,y,0,0,0,0,0,3,1,1,3,4,3,4,7,4,4,4,4,8,Super Liga - Slovakia,3032592
Zlaté Moravce,Zemplín Michalovce,2019-08-03,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,1,3,3,9,9,3,12,Super Liga - Slovakia,3032593
Ružomberok,Žilina,2019-08-10,2,3,5,y,0,3,3,0,3,2,0,0,2,2,2,2,4,10,6,6,10,16,Super Liga - Slovakia,3032594
Slovan Bratislava,Zlaté Moravce,2019-08-10,4,0,4,n,1,0,0,1,1,3,0,0,3,3,3,2,5,6,1,1,6,7,Super Liga - Slovakia,3032595
Trenčín,DAC,2019-08-10,2,1,3,y,0,1,1,0,1,2,0,0,2,2,2,3,5,5,4,4,5,9,Super Liga - Slovakia,3032596
Pohronie,Spartak Trnava,2019-08-11,2,2,4,y,0,1,1,0,1,2,1,1,2,3,4,3,7,4,10,10,4,14,Super Liga - Slovakia,3032597
Zemplín Michalovce,Senica,2019-08-10,3,0,3,n,3,0,0,3,3,0,0,0,0,0,1,3,4,2,1,1,2,3,Super Liga - Slovakia,3032598
Nitra,Sereď,2019-08-10,3,2,5,y,1,0,0,1,1,2,2,2,2,4,2,4,6,5,3,3,5,8,Super Liga - Slovakia,3032599
Spartak Trnava,Trenčín,2019-08-17,1,2,3,y,1,1,1,1,2,0,1,1,0,1,1,4,5,4,0,0,4,4,Super Liga - Slovakia,3032600
Senica,Ružomberok,2019-08-17,2,2,4,y,2,1,1,2,3,0,1,1,0,1,4,3,7,4,4,4,4,8,Super Liga - Slovakia,3032601
Zlaté Moravce,Pohronie,2019-08-17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,-1,-1,-1,-1,-1,Super Liga - Slovakia,3032602
DAC,Zemplín Michalovce,2019-08-18,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,1,1,10,4,4,10,14,Super Liga - Slovakia,3032603
Žilina,Nitra,2019-08-17,3,0,3,n,2,0,0,2,2,1,0,0,1,1,1,2,3,3,1,1,3,4,Super Liga - Slovakia,3032604
Sereď,Slovan Bratislava,2019-08-17,0,4,4,n,0,2,2,0,2,0,2,2,0,2,3,0,3,3,9,9,3,12,Super Liga - Slovakia,3032605
Pohronie,Trenčín,2019-08-24,0,4,4,n,0,2,2,0,2,0,2,2,0,2,2,2,4,4,9,9,4,13,Super Liga - Slovakia,3032606
Slovan Bratislava,Žilina,2019-08-25,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,2,3,9,4,4,9,13,Super Liga - Slovakia,3032607
Senica,Zlaté Moravce,2019-08-23,1,3,4,y,1,1,1,1,2,0,2,2,0,2,1,4,5,6,2,2,6,8,Super Liga - Slovakia,3032608
Zemplín Michalovce,Sereď,2019-08-24,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,3,5,5,6,6,5,11,Super Liga - Slovakia,3032609
Ružomberok,Spartak Trnava,2019-08-24,0,1,1,n,0,1,1,0,1,0,0,0,0,0,2,4,6,5,4,4,5,9,Super Liga - Slovakia,3032610
Nitra,DAC,2019-08-25,1,2,3,y,1,1,1,1,2,0,1,1,0,1,2,5,7,1,8,8,1,9,Super Liga - Slovakia,3032611
Žilina,Senica,2019-08-31,5,0,5,n,1,0,0,1,1,4,0,0,4,4,2,4,6,5,5,5,5,10,Super Liga - Slovakia,3032612
Spartak Trnava,Zemplín Michalovce,2019-08-31,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,2,3,7,5,5,7,12,Super Liga - Slovakia,3032613
Zlaté Moravce,Ružomberok,2019-08-31,4,2,6,y,3,0,0,3,3,1,2,2,1,3,2,0,2,6,0,0,6,6,Super Liga - Slovakia,3032614
Trenčín,Nitra,2019-09-01,2,2,4,y,2,0,0,2,2,0,2,2,0,2,3,2,5,4,0,0,4,4,Super Liga - Slovakia,3032615
DAC,Slovan Bratislava,2019-09-01,5,2,7,y,2,1,1,2,3,3,1,1,3,4,2,4,6,9,3,3,9,12,Super Liga - Slovakia,3032616
Sereď,Pohronie,2019-08-31,3,3,6,y,1,2,2,1,3,2,1,1,2,3,1,1,2,7,4,4,7,11,Super Liga - Slovakia,3032617
Zemplín Michalovce,Trenčín,2019-09-14,2,1,3,y,2,0,0,2,2,0,1,1,0,1,2,1,3,3,2,2,3,5,Super Liga - Slovakia,3032618
Senica,DAC,2019-09-14,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,1,1,0,6,6,0,6,Super Liga - Slovakia,3032619
Zlaté Moravce,Žilina,2019-09-14,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,2,7,7,2,9,Super Liga - Slovakia,3032620
Pohronie,Nitra,2019-09-14,0,3,3,n,0,2,2,0,2,0,1,1,0,1,2,1,3,4,3,3,4,7,Super Liga - Slovakia,3032621
