KuPS,RoPS,1,2,2,4,y,0,1,1,0,1,2,1,1,2,3,3,3,6,5,2,2,5,7,Veikkausliiga - Finland,2967551
HJK,Inter Turku,1,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,1,3,9,0,0,9,9,Veikkausliiga - Finland,2967552
SJK,HIFK,1,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,3,6,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967553
RoPS,Honka,1,1,2,3,y,0,0,0,0,0,1,2,2,1,3,2,2,4,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967554
KPV,Ilves,1,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,0,3,3,2,2,3,5,Veikkausliiga - Finland,2967555
Lahti,KuPS,1,3,3,6,y,0,3,3,0,3,3,0,0,3,3,1,4,5,5,1,1,5,6,Veikkausliiga - Finland,2967556
HJK,Mariehamn,2,2,1,3,y,0,0,0,0,0,2,1,1,2,3,1,4,5,6,3,3,6,9,Veikkausliiga - Finland,2967557
VPS,Inter Turku,2,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,2,4,3,9,9,3,12,Veikkausliiga - Finland,2967558
Inter Turku,SJK,2,1,2,3,y,0,2,2,0,2,1,0,0,1,1,1,3,4,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967559
KPV,RoPS,2,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,1,2,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967560
KuPS,HJK,2,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,1,3,4,8,8,4,12,Veikkausliiga - Finland,2967561
Ilves,VPS,2,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,5,2,2,5,7,Veikkausliiga - Finland,2967562
Honka,Mariehamn,3,1,3,4,y,1,1,1,1,2,0,2,2,0,2,2,0,2,2,11,11,2,13,Veikkausliiga - Finland,2967563
HIFK,Lahti,3,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,3,5,4,4,4,4,8,Veikkausliiga - Finland,2967564
SJK,HJK,3,0,0,0,n,0,0,0,0,0,0,0,0,0,0,4,2,6,6,4,4,6,10,Veikkausliiga - Finland,2967565
Lahti,Inter Turku,3,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,2,3,2,3,3,2,5,Veikkausliiga - Finland,2967566
VPS,KPV,3,2,2,4,y,1,0,0,1,1,1,2,2,1,3,2,3,5,3,5,5,3,8,Veikkausliiga - Finland,2967567
Mariehamn,RoPS,3,2,0,2,n,1,0,0,1,1,1,0,0,1,1,5,1,6,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967568
KuPS,Honka,4,0,3,3,n,0,1,1,0,1,0,2,2,0,2,1,1,2,7,6,6,7,13,Veikkausliiga - Finland,2967569
SJK,Ilves,4,0,1,1,n,0,0,0,0,0,0,1,1,0,1,9,3,12,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967570
HJK,HIFK,4,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,2,3,5,9,9,5,14,Veikkausliiga - Finland,2967571
Honka,Inter Turku,4,3,2,5,y,1,1,1,1,2,2,1,1,2,3,1,3,4,7,2,2,7,9,Veikkausliiga - Finland,2967572
KPV,Mariehamn,4,0,4,4,n,0,2,2,0,2,0,2,2,0,2,1,0,1,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967573
VPS,SJK,4,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,2,5,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967574
Ilves,Lahti,5,1,0,1,n,1,0,0,1,1,0,0,0,0,0,0,1,1,5,2,2,5,7,Veikkausliiga - Finland,2967575
RoPS,KuPS,5,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,0,0,2,5,5,2,7,Veikkausliiga - Finland,2967576
HIFK,Honka,5,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,2,4,4,3,3,4,7,Veikkausliiga - Finland,2967577
Inter Turku,HJK,5,4,1,5,y,2,1,1,2,3,2,0,0,2,2,4,3,7,1,3,3,1,4,Veikkausliiga - Finland,2967578
Lahti,VPS,5,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,0,2,5,6,6,5,11,Veikkausliiga - Finland,2967579
SJK,KPV,5,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,4,4,4,4,8,Veikkausliiga - Finland,2967580
Mariehamn,KuPS,6,3,4,7,y,3,0,0,3,3,0,4,4,0,4,3,2,5,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967581
RoPS,HIFK,6,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,2,3,-1,-1,-1,-1,-1,Veikkausliiga - Finland,2967582
HJK,Ilves,6,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,3,4,4,1,1,4,5,Veikkausliiga - Finland,2967583
Lahti,SJK,6,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,3,4,6,0,0,6,6,Veikkausliiga - Finland,2967584
KuPS,KPV,6,3,1,4,y,0,1,1,0,1,3,0,0,3,3,2,1,3,4,3,3,4,7,Veikkausliiga - Finland,2967585
Ilves,Honka,7,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,3,4,7,4,4,7,11,Veikkausliiga - Finland,2967587
VPS,HJK,7,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,5,6,1,8,8,1,9,Veikkausliiga - Finland,2967588
