Gil Vicente,Porto,2019-08-10,2,1,3,y,0,0,0,0,0,2,1,1,2,3,3,3,6,4,6,6,4,10,Primeira Liga - Portugal,3064644
Sporting Braga,Moreirense,2019-08-11,3,1,4,y,1,0,0,1,1,2,1,1,2,3,2,2,4,7,4,4,7,11,Primeira Liga - Portugal,3064645
Marítimo,Sporting CP,2019-08-11,1,1,2,y,1,1,1,1,2,0,0,0,0,0,4,4,8,2,8,8,2,10,Primeira Liga - Portugal,3064646
Vitória Setúbal,Tondela,2019-08-12,0,0,0,n,0,0,0,0,0,0,0,0,0,0,7,2,9,3,3,3,3,6,Primeira Liga - Portugal,3064647
Santa Clara,Famalicão,2019-08-10,0,2,2,n,0,1,1,0,1,0,1,1,0,1,0,3,3,14,6,6,14,20,Primeira Liga - Portugal,3064648
Benfica,Paços de Ferreira,2019-08-10,5,0,5,n,2,0,0,2,2,3,0,0,3,3,0,4,4,10,3,3,10,13,Primeira Liga - Portugal,3064649
Boavista,Desportivo Aves,2019-08-11,2,1,3,y,1,1,1,1,2,1,0,0,1,1,5,3,8,3,8,8,3,11,Primeira Liga - Portugal,3064650
Portimonense,Belenenses,2019-08-09,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,5,5,10,Primeira Liga - Portugal,3064651
Rio Ave,Vitoria Guimaraes,2019-09-08,1,1,2,y,1,1,1,1,2,0,0,0,0,0,3,2,5,5,8,8,5,13,Primeira Liga - Portugal,3064652
Famalicão,Rio Ave,2019-08-16,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,6,9,5,2,2,5,7,Primeira Liga - Portugal,3064653
Paços de Ferreira,Santa Clara,2019-08-18,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,1,4,8,3,3,8,11,Primeira Liga - Portugal,3064654
Desportivo Aves,Marítimo,2019-08-18,3,1,4,y,2,1,1,2,3,1,0,0,1,1,2,4,6,4,7,7,4,11,Primeira Liga - Portugal,3064655
Belenenses,Benfica,2019-08-17,0,2,2,n,0,0,0,0,0,0,2,2,0,2,7,1,8,5,4,4,5,9,Primeira Liga - Portugal,3064656
Porto,Vitória Setúbal,2019-08-17,4,0,4,n,2,0,0,2,2,2,0,0,2,2,0,2,2,7,0,0,7,7,Primeira Liga - Portugal,3064657
Moreirense,Gil Vicente,2019-08-17,3,0,3,n,2,0,0,2,2,1,0,0,1,1,0,3,3,3,5,5,3,8,Primeira Liga - Portugal,3064658
Vitoria Guimaraes,Boavista,2019-08-18,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,4,6,4,2,2,4,6,Primeira Liga - Portugal,3064659
Sporting CP,Sporting Braga,2019-08-18,2,1,3,y,2,0,0,2,2,0,1,1,0,1,3,5,8,2,7,7,2,9,Primeira Liga - Portugal,3064660
Tondela,Portimonense,2019-08-19,1,2,3,y,0,2,2,0,2,1,0,0,1,1,1,1,2,6,3,3,6,9,Primeira Liga - Portugal,3064661
Gil Vicente,Sporting Braga,2019-08-25,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,2,4,5,1,1,5,6,Primeira Liga - Portugal,3064662
Benfica,Porto,2019-08-24,0,2,2,n,0,1,1,0,1,0,1,1,0,1,2,5,7,5,4,4,5,9,Primeira Liga - Portugal,3064663
Marítimo,Tondela,2019-08-25,2,3,5,y,0,1,1,0,1,2,2,2,2,4,2,5,7,4,6,6,4,10,Primeira Liga - Portugal,3064664
Portimonense,Sporting CP,2019-08-25,1,3,4,y,1,2,2,1,3,0,1,1,0,1,1,0,1,3,6,6,3,9,Primeira Liga - Portugal,3064665
Vitoria Guimaraes,Famalicão,2019-08-25,1,1,2,y,0,0,0,0,0,1,1,1,1,2,4,1,5,12,5,5,12,17,Primeira Liga - Portugal,3064666
Boavista,Paços de Ferreira,2019-08-24,1,1,2,y,1,1,1,1,2,0,0,0,0,0,5,2,7,6,8,8,6,14,Primeira Liga - Portugal,3064667
Rio Ave,Desportivo Aves,2019-08-23,5,1,6,y,2,0,0,2,2,3,1,1,3,4,0,3,3,3,6,6,3,9,Primeira Liga - Portugal,3064668
