Feirense,Vilafranquense,2019-08-11,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,3,9,9,3,12,Segunda Liga - Portugal,3065081
Académica,Leixões,2019-08-11,3,2,5,y,1,0,0,1,1,2,2,2,2,4,2,5,7,9,10,10,9,19,Segunda Liga - Portugal,3065082
Sporting Covilhã,Porto II,2019-08-11,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,2,4,2,11,11,2,13,Segunda Liga - Portugal,3065083
Penafiel,Academico Viseu,2019-08-11,0,2,2,n,0,1,1,0,1,0,1,1,0,1,3,6,9,10,4,4,10,14,Segunda Liga - Portugal,3065084
Farense,Casa Pia,2019-08-10,3,1,4,y,1,1,1,1,2,2,0,0,2,2,1,1,2,5,2,2,5,7,Segunda Liga - Portugal,3065085
Nacional,Chaves,2019-08-10,3,0,3,n,0,0,0,0,0,3,0,0,3,3,3,4,7,3,6,6,3,9,Segunda Liga - Portugal,3065086
Benfica II,Estoril,2019-08-11,2,1,3,y,1,1,1,1,2,1,0,0,1,1,3,2,5,10,2,2,10,12,Segunda Liga - Portugal,3065087
Varzim,UD Oliveirense,2019-08-10,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,5,6,4,4,4,4,8,Segunda Liga - Portugal,3065088
Mafra,Cova Piedade,2019-08-10,3,2,5,y,2,0,0,2,2,1,2,2,1,3,6,3,9,5,5,5,5,10,Segunda Liga - Portugal,3065089
Chaves,Mafra,2019-08-17,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,0,3,3,6,6,3,9,Segunda Liga - Portugal,3065090
Estoril,Farense,2019-08-18,1,2,3,y,1,1,1,1,2,0,1,1,0,1,4,6,10,5,6,6,5,11,Segunda Liga - Portugal,3065091
Porto II,Varzim,2019-08-18,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,4,7,6,4,4,6,10,Segunda Liga - Portugal,3065092
Leixões,Nacional,2019-08-18,1,1,2,y,0,1,1,0,1,1,0,0,1,1,6,7,13,10,3,3,10,13,Segunda Liga - Portugal,3065093
Cova Piedade,Feirense,2019-08-18,2,1,3,y,1,0,0,1,1,1,1,1,1,2,3,2,5,1,6,6,1,7,Segunda Liga - Portugal,3065094
Vilafranquense,Benfica II,2019-08-18,4,0,4,n,3,0,0,3,3,1,0,0,1,1,1,3,4,2,3,3,2,5,Segunda Liga - Portugal,3065095
Academico Viseu,Académica,2019-08-17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,4,8,Segunda Liga - Portugal,3065096
UD Oliveirense,Sporting Covilhã,2019-08-17,0,2,2,n,0,0,0,0,0,0,2,2,0,2,3,1,4,9,2,2,9,11,Segunda Liga - Portugal,3065097
Casa Pia,Penafiel,2019-08-17,1,2,3,y,1,2,2,1,3,0,0,0,0,0,3,3,6,5,0,0,5,5,Segunda Liga - Portugal,3065098
Nacional,Mafra,2019-08-25,0,0,0,n,0,0,0,0,0,0,0,0,0,0,5,2,7,3,3,3,3,6,Segunda Liga - Portugal,3065099
Feirense,Academico Viseu,2019-08-24,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,4,6,8,6,6,8,14,Segunda Liga - Portugal,3065100
Benfica II,UD Oliveirense,2019-08-23,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,1,3,2,3,3,2,5,Segunda Liga - Portugal,3065101
Sporting Covilhã,Vilafranquense,2019-08-24,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,0,2,3,7,7,3,10,Segunda Liga - Portugal,3065102
