Racing Club,Unión,2019-07-27,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,2,5,9,2,2,9,11,Superliga - Argentina,3070319
Colón,Patronato,2019-07-27,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,3,6,5,6,6,5,11,Superliga - Argentina,3070320
San Lorenzo,Godoy Cruz,2019-07-27,3,2,5,y,1,0,0,1,1,2,2,2,2,4,0,6,6,7,2,2,7,9,Superliga - Argentina,3070321
Lanús,Gimnasia La Plata,2019-07-27,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,7,8,13,7,7,13,20,Superliga - Argentina,3070322
Argentinos Juniors,River Plate,2019-07-28,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,5,8,5,5,5,5,10,Superliga - Argentina,3070323
Estudiantes,Aldosivi,2019-07-28,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,3,5,6,4,4,6,10,Superliga - Argentina,3070324
Newell's Old Boys,Central Córdoba SdE,2019-07-28,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,5,8,9,6,6,9,15,Superliga - Argentina,3070325
Talleres de Córdoba,Vélez Sarsfield,2019-07-28,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,1,2,2,4,4,2,6,Superliga - Argentina,3070326
Defensa y Justicia,Independiente,2019-07-28,0,1,1,n,0,1,1,0,1,0,0,0,0,0,6,1,7,2,6,6,2,8,Superliga - Argentina,3070327
Boca Juniors,Huracán,2019-07-29,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,3,5,10,6,6,10,16,Superliga - Argentina,3070328
Arsenal - Superliga - Argentina,Banfield,2019-07-30,1,0,1,n,1,0,0,1,1,0,0,0,0,0,3,1,4,7,5,5,7,12,Superliga - Argentina,3070329
Atlético Tucumán,Rosario Central,2019-07-30,1,2,3,y,0,1,1,0,1,1,1,1,1,2,3,0,3,2,3,3,2,5,Superliga - Argentina,3070330
Huracán,Colón,2019-08-03,2,0,2,n,0,0,0,0,0,2,0,0,2,2,3,3,6,4,5,5,4,9,Superliga - Argentina,3070331
Aldosivi,Argentinos Juniors,2019-08-03,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,2,2,9,2,2,9,11,Superliga - Argentina,3070332
Rosario Central,Talleres de Córdoba,2019-08-03,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,2,5,3,4,4,3,7,Superliga - Argentina,3070333
