Sivasspor,Beşiktaş,2019-08-17,3,0,3,n,1,0,0,1,1,2,0,0,2,2,4,3,7,7,0,0,7,7,Süper Lig - Turkey,3081777
Fenerbahçe,Gaziantep FK,2019-08-19,5,0,5,n,3,0,0,3,3,2,0,0,2,2,1,4,5,4,2,2,4,6,Süper Lig - Turkey,3081778
Yeni Malatyaspor,Istanbul Basaksehir,2019-08-18,3,0,3,n,0,0,0,0,0,3,0,0,3,3,3,2,5,2,11,11,2,13,Süper Lig - Turkey,3081779
Gençlerbirliği,Rizespor,2019-08-17,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,2,6,4,2,2,4,6,Süper Lig - Turkey,3081780
Kasımpaşa,Trabzonspor,2019-08-18,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,0,2,5,9,9,5,14,Süper Lig - Turkey,3081781
Kayserispor,Alanyaspor,2019-08-17,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,1,5,6,9,9,6,15,Süper Lig - Turkey,3081782
Konyaspor,Ankaragücü,2019-08-18,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,1,4,5,Süper Lig - Turkey,3081783
Denizlispor,Galatasaray,2019-08-16,2,0,2,n,0,0,0,0,0,2,0,0,2,2,4,5,9,6,2,2,6,8,Süper Lig - Turkey,3081784
Göztepe,Antalyaspor,2019-08-18,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,3,6,5,5,5,5,10,Süper Lig - Turkey,3081785
Gaziantep FK,Gençlerbirliği,2019-08-26,4,1,5,y,2,0,0,2,2,2,1,1,2,3,1,3,4,4,6,6,4,10,Süper Lig - Turkey,3081786
Galatasaray,Konyaspor,2019-08-25,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,2,5,5,2,7,Süper Lig - Turkey,3081787
Ankaragücü,Kayserispor,2019-08-24,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,1,4,1,7,7,1,8,Süper Lig - Turkey,3081788
Alanyaspor,Kasımpaşa,2019-08-24,4,1,5,y,1,1,1,1,2,3,0,0,3,3,4,4,8,1,4,4,1,5,Süper Lig - Turkey,3081789
Istanbul Basaksehir,Fenerbahçe,2019-08-24,1,2,3,y,1,0,0,1,1,0,2,2,0,2,0,0,0,4,4,4,4,8,Süper Lig - Turkey,3081790
Rizespor,Sivasspor,2019-08-25,2,1,3,y,0,0,0,0,0,2,1,1,2,3,2,2,4,1,12,12,1,13,Süper Lig - Turkey,3081791
Beşiktaş,Göztepe,2019-08-23,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,1,2,8,3,3,8,11,Süper Lig - Turkey,3081792
Trabzonspor,Yeni Malatyaspor,2019-08-25,2,1,3,y,1,0,0,1,1,1,1,1,1,2,1,2,3,4,5,5,4,9,Süper Lig - Turkey,3081793
Antalyaspor,Denizlispor,2019-08-25,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,3,4,5,3,3,5,8,Süper Lig - Turkey,3081794
Göztepe,Denizlispor,2019-08-31,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,4,7,5,1,1,5,6,Süper Lig - Turkey,3081795
Gençlerbirliği,Istanbul Basaksehir,2019-09-01,1,2,3,y,1,0,0,1,1,0,2,2,0,2,5,2,7,4,5,5,4,9,Süper Lig - Turkey,3081796
Kasımpaşa,Ankaragücü,2019-08-30,0,1,1,n,0,1,1,0,1,0,0,0,0,0,1,5,6,10,1,1,10,11,Süper Lig - Turkey,3081797
Sivasspor,Gaziantep FK,2019-09-01,1,1,2,y,0,1,1,0,1,1,0,0,1,1,3,4,7,7,5,5,7,12,Süper Lig - Turkey,3081798
Fenerbahçe,Trabzonspor,2019-09-01,1,1,2,y,1,1,1,1,2,0,0,0,0,0,1,3,4,6,3,3,6,9,Süper Lig - Turkey,3081799
Yeni Malatyaspor,Alanyaspor,2019-09-01,2,3,5,y,0,3,3,0,3,2,0,0,2,2,4,2,6,5,3,3,5,8,Süper Lig - Turkey,3081800
Konyaspor,Antalyaspor,2019-08-31,2,2,4,y,0,1,1,0,1,2,1,1,2,3,2,2,4,5,7,7,5,12,Süper Lig - Turkey,3081801
Beşiktaş,Rizespor,2019-08-31,1,1,2,y,0,1,1,0,1,1,0,0,1,1,5,1,6,11,2,2,11,13,Süper Lig - Turkey,3081802
Kayserispor,Galatasaray,2019-08-30,2,3,5,y,1,0,0,1,1,1,3,3,1,4,8,6,14,1,4,4,1,5,Süper Lig - Turkey,3081803
Alanyaspor,Fenerbahçe,2019-09-16,3,1,4,y,1,1,1,1,2,2,0,0,2,2,1,1,2,3,3,3,3,6,Süper Lig - Turkey,3081804
Istanbul Basaksehir,Sivasspor,2019-09-14,1,1,2,y,0,1,1,0,1,1,0,0,1,1,2,2,4,7,4,4,7,11,Süper Lig - Turkey,3081805
Denizlispor,Konyaspor,2019-09-15,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,2,6,3,5,5,3,8,Süper Lig - Turkey,3081806
Ankaragücü,Yeni Malatyaspor,2019-09-15,0,4,4,n,0,3,3,0,3,0,1,1,0,1,4,3,7,4,2,2,4,6,Süper Lig - Turkey,3081807
Trabzonspor,Gençlerbirliği,2019-09-15,2,2,4,y,1,1,1,1,2,1,1,1,1,2,2,2,4,2,4,4,2,6,Süper Lig - Turkey,3081808
Gaziantep FK,Beşiktaş,2019-09-14,3,2,5,y,1,0,0,1,1,2,2,2,2,4,5,6,11,4,14,14,4,18,Süper Lig - Turkey,3081809
