1 December 2019,Everton,0.0 Asian Card Handicap,Premier League
1 December 2019,Leicester City,Over 3 Team Corners,Premier League
30 November 2019,Liverpool,Over 3 Team Corners,Premier League
30 November 2019,Liverpool,Corner Match Bet,Premier League
30 November 2019,Manchester City,Corner Match Bet,Premier League
30 November 2019,Tottenham Hotspur vs AFC Bournemouth,Over 1.0 FH Goal Line,Premier League
30 November 2019,AFC Bournemouth,Over 3 Team Corners,Premier League
5 December 2019,Arsenal - Premier League - England,Corner Match Bet,Premier League
4 December 2019,Watford,0.0 Asian Card Handicap,Premier League
4 December 2019,Leicester City,Over 3 Team Corners,Premier League
4 December 2019,Manchester United vs Tottenham Hotspur,Over 1.0 FH Goal Line,Premier League
5 December 2019,Sheffield United,Over 3 Team Corners,Premier League
5 December 2019,Sheffield United,Corner Match Bet,Premier League
3 December 2019,AFC Bournemouth,Over 3 Team Corners,Premier League
4 December 2019,Everton,0.0 Asian Card Handicap,Premier League
4 December 2019,Liverpool,Over 3 Team Corners,Premier League
7 December 2019,AFC Bournemouth vs Liverpool,Over 8 Corners,Premier League
7 December 2019,Liverpool,Over 3 Team Corners,Premier League
8 December 2019,Leicester City,Over 3 Team Corners,Premier League
7 December 2019,Everton,Over 3 Team Corners,Premier League
7 December 2019,Manchester City,Corner Match Bet,Premier League
8 December 2019,Norwich City vs Sheffield United,Under 5 Match Cards,Premier League
15 December 2019,Arsenal - Premier League - England vs Manchester City,Over 1.0 FH Goal Line,Premier League
14 December 2019,Burnley vs Newcastle United,Over 8 Corners,Premier League
14 December 2019,AFC Bournemouth,Over 3 Team Corners,Premier League
14 December 2019,Leicester City vs Norwich City,Under 5 Match Cards,Premier League
14 December 2019,Leicester City vs Norwich City,Over 8 Corners,Premier League
14 December 2019,Leicester City,Over 3 Team Corners,Premier League
14 December 2019,Leicester City,Corner Match Bet,Premier League
14 December 2019,Watford,0.0 Asian Card Handicap,Premier League
14 December 2019,Liverpool,Over 3 Team Corners,Premier League
14 December 2019,Sheffield United,Over 3 Team Corners,Premier League
21 December 2019,AFC Bournemouth vs Burnley,Over 8 Corners,Premier League
21 December 2019,Everton,Over 3 Team Corners,Premier League
21 December 2019,Manchester City,0.0 Asian Card Handicap,Premier League
21 December 2019,Manchester City vs Leicester City,Under 5 Match Cards,Premier League
21 December 2019,Manchester City vs Leicester City,Over 8 Corners,Premier League
21 December 2019,Leicester City,Over 3 Team Corners,Premier League
22 December 2019,Tottenham Hotspur vs Chelsea,Over 1.0 FH Goal Line,Premier League
26 December 2019,Everton,Over 3 Team Corners,Premier League
26 December 2019,Leicester City vs Liverpool,Over 8 Corners,Premier League
26 December 2019,Leicester City,Over 3 Team Corners,Premier League
26 December 2019,Liverpool,Over 3 Team Corners,Premier League
26 December 2019,Manchester United vs Newcastle United,Under 13 Corners,Premier League
26 December 2019,Sheffield United,Over 3 Team Corners,Premier League
27 December 2019,Manchester City,Corner Match Bet,Premier League
29 December 2019,Arsenal - Premier League - England,Corner Match Bet,Premier League
28 December 2019,AFC Bournemouth,Over 3 Team Corners,Premier League
29 December 2019,Wolverhampton Wanderers,0.0 Asian Card Handicap,Premier League
29 December 2019,Liverpool,Over 3 Team Corners,Premier League
29 December 2019,Manchester City vs Sheffield United,Under 5 Match Cards,Premier League
29 December 2019,Manchester City,Corner Match Bet,Premier League
28 December 2019,Norwich City vs Tottenham Hotspur,Over 1.0 FH Goal Line,Premier League
28 December 2019,West Ham United,0.0 Asian Card Handicap,Premier League
28 December 2019,Leicester City,Over 3 Team Corners,Premier League
7 December 2019,Blackpool vs Fleetwood Town,Over 1.0 FH Goal Line,League One
7 December 2019,Gillingham vs Sunderland,Over 1.0 FH Goal Line,League One
14 December 2019,Sunderland vs Blackpool,Over 1.0 FH Goal Line,League One
