20 June 2020,Köln vs Eintracht Frankfurt,Over 2.5 Goals,Bundesliga
20 June 2020,Radomiak Radom vs Chojniczanka Chojnice,Over 3 Match Cards,Poland 2
30 June 2020,Lokomotiv Moscow vs Krylya Sovetov,Over 3 Match Cards,Russia Premier
9 June 2020,Honvéd vs Fehérvár,Over 3 Match Cards,Hungary
13 June 2020,Debrecen vs Puskás,Over 3 Match Cards,Hungary
16 June 2020,Honvéd vs Ferencvaros,Over 3 Match Cards,Hungary
20 June 2020,Mezőkövesd-Zsóry vs Fehérvár,Over 3 Match Cards,Hungary
24 June 2020,Mezőkövesd-Zsóry vs Debrecen,Over 3 Match Cards,Hungary
24 June 2020,Kisvárda vs Puskás,Over 3 Match Cards,Hungary
12 June 2020,Gorodeya vs Slutsk,Over 3 Match Cards,Belarus
13 June 2020,Neman Grodno vs Smolevichy-STI,Over 3 Match Cards,Belarus
19 June 2020,Slutsk vs Neman Grodno,Over 3 Match Cards,Belarus
26 June 2020,Smolevichy-STI vs Slutsk,Over 3 Match Cards,Belarus
7 June 2020,Vitebsk vs BATE,Over 3 Match Cards,Belarus
