Watford vs Liverpool,Premier League,29 February 2020
Torquay United vs Halifax Town,National League,22 February 2020
Torquay United vs Chorley,National League,29 February 2020
Brescia vs Napoli,Serie A,21 February 2020
Torino vs Parma,Serie A,23 February 2020
Bologna vs Udinese,Serie A,22 February 2020
Napoli vs Torino,Serie A,29 February 2020
Perugia vs Empoli,Serie B,24 February 2020
Virtus Entella vs Crotone,Serie B,28 February 2020
Empoli vs Pordenone,Serie B,29 February 2020
Atletico Madrid vs Villarreal,La Liga,23 February 2020
Eibar vs Levante,La Liga,29 February 2020
Albacete vs Numancia,Spain Segunda,22 February 2020
Arminia Bielefeld vs Hannover 96,2. Bundesliga,23 February 2020
Zwickau vs Würzburger Kickers,3. Liga,29 February 2020
Lille vs Toulouse,Ligue 1,22 February 2020
Guingamp vs Sochaux,Ligue 2,21 February 2020
Niort vs Valenciennes,Ligue 2,21 February 2020
Auxerre vs Niort,Ligue 2,28 February 2020
Châteauroux vs Le Havre,Ligue 2,28 February 2020
Belenenses vs Marítimo,Primeira Liga,22 February 2020
PEC Zwolle vs Vitesse,Eredivisie,29 February 2020
Eindhoven vs Excelsior,Eerste Divisie,28 February 2020
Randers vs OB,Superliga,23 February 2020
Kortrijk vs Genk,Belgium Pro,21 February 2020
Zürich vs Neuchâtel Xamax,Swiss Super,22 February 2020
Konyaspor vs Kasımpaşa,Super-Lig,29 February 2020
Zlaté Moravce vs Sereď,Slovakia,22 February 2020
Fehérvár vs Kaposvári Rákóczi,Hungary,29 February 2020
San Lorenzo vs Racing Club,Argentina,22 February 2020
Colón vs Boca Juniors,Argentina,29 February 2020
