21 December 2019,Aston Villa vs Southampton,Over 10 Match Corners,Premier League
21 December 2019,Aston Villa vs Southampton,Over 9 Match Corners,Premier League
21 December 2019,Brighton & Hove Albion vs Sheffield United,Under 5 Match Cards,Premier League
21 December 2019,Norwich City vs Wolverhampton Wanderers,BTTS Yes,Premier League
21 December 2019,Norwich City vs Wolverhampton Wanderers,Over 1.0 FH Goal Line,Premier League
26 December 2019,Aston Villa vs Norwich City,Over 9 Match Corners,Premier League
26 December 2019,Chelsea vs Southampton,Over 9 Match Corners,Premier League
26 December 2019,Everton vs Burnley,Under 5 Match Cards,Premier League
26 December 2019,Tottenham Hotspur vs Brighton & Hove Albion,BTTS Yes,Premier League
27 December 2019,Wolverhampton Wanderers vs Manchester City,Over 0.5/1.0 FH Goal Line,Premier League
29 December 2019,Liverpool vs Wolverhampton Wanderers,Over 1.0 FH Goal Line,Premier League
28 December 2019,Norwich City vs Tottenham Hotspur,BTTS Yes,Premier League
28 December 2019,Norwich City vs Tottenham Hotspur,Over 1.0 FH Goal Line,Premier League
21 December 2019,Coventry City vs Lincoln City,Under 1.5 SH Goals,League One
21 December 2019,Doncaster Rovers vs Accrington Stanley,Under 4 Match Cards,League One
21 December 2019,Doncaster Rovers vs Accrington Stanley,Under 5 Match Cards,League One
21 December 2019,Oxford United vs Wycombe Wanderers,BTTS No,League One
21 December 2019,Tranmere Rovers vs AFC Wimbledon,Over 0.5/1.0 FH Goal Line,League One
26 December 2019,Oxford United vs Lincoln City,BTTS No,League One
26 December 2019,Shrewsbury Town vs Rotherham United,Over 3 Match Cards,League One
26 December 2019,Sunderland vs Bolton Wanderers,Over 0.5/1.0 FH Goal Line,League One
29 December 2019,Accrington Stanley vs Burton Albion,Over 0.5/1.0 FH Goal Line,League One
29 December 2019,Lincoln City vs Ipswich Town,Over 3 Match Cards,League One
29 December 2019,Rotherham United vs Peterborough United,Over 1.0 FH Goal Line,League One
21 December 2019,Hull City vs Birmingham City,Over 1.5 SH Goals,Championship
21 December 2019,Millwall vs Barnsley,BTTS Yes,Championship
21 December 2019,Millwall vs Barnsley,Over 1.5 SH Goals,Championship
21 December 2019,Queens Park Rangers vs Charlton Athletic,Over 0.5/1.0 FH Goal Line,Championship
21 December 2019,Queens Park Rangers vs Charlton Athletic,Over 3 Match Cards,Championship
22 December 2019,Sheffield Wednesday vs Bristol City,Under 5 Match Cards,Championship
26 December 2019,Blackburn Rovers vs Birmingham City,Under 5 Match Cards,Championship
26 December 2019,Hull City vs Nottingham Forest,Over 0.5/1.0 FH Goal Line,Championship
26 December 2019,Stoke City vs Sheffield Wednesday,Over 0.5/1.0 FH Goal Line,Championship
29 December 2019,Bristol City vs Luton Town,Over 1.0 FH Goal Line,Championship
29 December 2019,Bristol City vs Luton Town,Goal In Each Half,Championship
29 December 2019,Bristol City vs Luton Town,Under 5 Match Cards,Championship
30 December 2019,Derby County vs Charlton Athletic,Over 0.5/1.0 FH Goal Line,Championship
29 December 2019,Fulham vs Stoke City,Over 0.5/1.0 FH Goal Line,Championship
