League,matchGoalsAvg,firstHalfTotalGoalsAvg,secondHalfTotalGoalsAvg,matchCardsAvg,matchGoals2.5,firstHalfTotalGoals0.5,secondHalfTotalGoals0.5,matchCards3.5,matchCards4.5
Premier League - England,2.715492957746479,1.2338028169014084,1.4816901408450704,3.5774647887323945,0.5295774647887324,0.723943661971831,0.8225352112676056,0.48450704225352115,0.30422535211267604,
Championship - England,2.5958254269449714,1.1290322580645162,1.4667931688804554,3.5161290322580645,0.4857685009487666,0.6925996204933587,0.7741935483870968,0.47248576850094876,0.2656546489563567,
Serie A - Italy,3.018292682926829,1.3140243902439024,1.704268292682927,5.4176829268292686,0.625,0.7408536585365854,0.8384146341463414,0.823170731707317,0.649390243902439,
Serie B - Italy,2.4676470588235295,1.1205882352941177,1.3470588235294119,5.491176470588235,0.4294117647058823,0.7058823529411765,0.7558823529411764,0.8264705882352941,0.6676470588235294,
La Liga - Spain,2.4694444444444446,1.0527777777777778,1.4166666666666667,5.330555555555556,0.45,0.6305555555555555,0.775,0.7666666666666667,0.6166666666666667,
Segunda División - Spain,2.268181818181818,0.9318181818181818,1.3363636363636364,5.665909090909091,0.37272727272727274,0.6113636363636363,0.740909090909091,0.8340909090909091,0.6954545454545454,
Primeira Liga - Portugal,2.454861111111111,1.1041666666666667,1.3506944444444444,5.357638888888889,0.4305555555555556,0.6770833333333334,0.7361111111111112,0.7534722222222222,0.625,
2. Liga - Austria,3.2744186046511627,1.3255813953488371,1.9488372093023256,5.111627906976744,0.6232558139534884,0.7581395348837209,0.8511627906976744,0.7348837209302326,0.5767441860465117,
1st Division - Denmark,2.9344262295081966,1.3333333333333333,1.6010928961748634,2.4863387978142075,0.5628415300546448,0.726775956284153,0.8087431693989071,0.40437158469945356,0.28415300546448086,
Eliteserien - Norway,3.096774193548387,1.3548387096774193,1.7419354838709677,3.596774193548387,0.6451612903225806,0.7258064516129032,0.7741935483870968,0.45161290322580644,0.3225806451612903,
